generation,agents,score,stepsize
0,13,0.3,0.468637
1,26,0.766667,0.457573
2,39,6.76667,0.461173
3,52,8,0.473813
4,65,5.43333,0.504166
5,78,6.1,0.530456
6,91,11.3667,0.559828
7,104,17.9,0.582948
8,117,13.7333,0.610862
9,130,7.33333,0.638419
10,143,15.7333,0.66275
11,156,63.5667,0.686087
12,169,80.7667,0.713992
13,182,68.1,0.737506
14,195,79.5333,0.755061
15,208,66.3333,0.782163
16,221,91.7667,0.825358
17,234,89.7,0.872712
18,247,111.267,0.911613
19,260,133.767,0.945764
20,273,181.933,0.963493
21,286,178.7,0.969945
22,299,182.5,0.968936
23,312,223.533,1.00427
24,325,255.567,1.05257
25,338,255.033,1.10744
26,351,147.7,1.13406
27,364,168.633,1.16217
28,377,331.833,1.17742
29,390,292.7,1.17487
30,403,250.167,1.19789
31,416,242,1.22604
32,429,180.933,1.21985
33,442,180.667,1.20166
34,455,168.067,1.1458
35,468,224,1.13619
36,481,179.3,1.13933
37,494,180.4,1.14363
38,507,200.6,1.17806
39,520,302.233,1.21134
40,533,276.767,1.26768
41,546,418.667,1.32453
42,559,492.933,1.37267
43,572,383.4,1.39986
44,585,371.067,1.44393
45,598,382.033,1.42746
46,611,576.4,1.44311
47,624,479,1.46503
48,637,514.033,1.43874
49,650,385.267,1.42999
50,663,419.233,1.38635
51,676,434.233,1.33521
52,689,422.9,1.31355
53,702,277.933,1.2952
54,715,366.667,1.30134
55,728,339.367,1.29736
56,741,333.767,1.29369
57,754,320.8,1.28594
58,767,380,1.26792
59,780,322.8,1.24102
60,793,349.233,1.22144
61,806,433.267,1.2236
62,819,434.067,1.26786
63,832,503,1.28908
64,845,469.9,1.28363
65,858,564.667,1.27495
66,871,508.533,1.27246
67,884,561.8,1.28759
68,897,433.633,1.23347
69,910,641.633,1.21143
70,923,624,1.1668
71,936,507.5,1.14833
72,949,496.767,1.12666
73,962,339.433,1.07394
74,975,339.7,1.01782
75,988,410.267,0.965252
76,1001,379.6,0.943383
77,1014,500.233,0.925561
78,1027,347.933,0.897515
79,1040,402.333,0.866261
80,1053,501.733,0.850309
81,1066,532.167,0.835758
82,1079,450.667,0.811416
83,1092,526.667,0.784608
84,1105,463.733,0.732487
85,1118,535.867,0.707103
86,1131,662.867,0.679222
87,1144,553.167,0.662372
88,1157,543.233,0.657399
89,1170,513.5,0.661612
90,1183,402.233,0.682366
91,1196,404.867,0.686359
92,1209,476.2,0.700816
93,1222,464.7,0.742494
94,1235,359.3,0.774529
95,1248,403.033,0.801101
96,1261,355.3,0.82169
97,1274,391.467,0.852707
98,1287,358.933,0.853816
99,1300,479.367,0.85306
100,1313,399.433,0.854736
101,1326,424.167,0.848083
102,1339,468.533,0.84129
103,1352,617.2,0.819626
104,1365,509.767,0.808322
105,1378,650.233,0.810279
106,1391,509.133,0.813226
107,1404,472.933,0.838728
108,1417,412.167,0.853988
109,1430,408.967,0.847134
110,1443,331.233,0.84224
111,1456,370.067,0.852225
112,1469,446.6,0.865409
113,1482,370.533,0.866695
114,1495,361.633,0.863717
115,1508,565.467,0.855898
116,1521,444.533,0.823171
117,1534,551.967,0.799776
118,1547,690.967,0.785367
119,1560,446.3,0.769673
120,1573,553.567,0.752553
121,1586,500.367,0.735925
122,1599,454.333,0.722042
123,1612,658.2,0.69957
124,1625,474.5,0.683492
125,1638,461.6,0.657448
126,1651,420.6,0.636353
127,1664,788.133,0.628409
128,1677,509.133,0.638315
129,1690,429.233,0.613337
130,1703,517.467,0.585086
131,1716,449.367,0.569178
132,1729,499.267,0.551917
133,1742,550.1,0.541095
134,1755,593.833,0.525141
135,1768,444.767,0.527555
136,1781,433.267,0.538869
137,1794,512.367,0.549712
138,1807,524.233,0.567425
139,1820,683.233,0.573681
140,1833,427.133,0.575629
141,1846,540.633,0.571418
142,1859,506.1,0.556748
143,1872,665.9,0.555186
144,1885,461.633,0.573464
145,1898,526.767,0.586307
146,1911,458.3,0.599396
147,1924,293.6,0.61
148,1937,584.033,0.612138
149,1950,354.433,0.633115
150,1963,377.333,0.654768
151,1976,366.733,0.662795
152,1989,480.233,0.68762
153,2002,512,0.700151
154,2015,523.2,0.720575
155,2028,523.033,0.737439
156,2041,338.6,0.737763
157,2054,423.233,0.731364
158,2067,395.4,0.741564
159,2080,331.3,0.744425
160,2093,366.3,0.75204
161,2106,404.767,0.761434
162,2119,342.533,0.746302
163,2132,309.4,0.750658
164,2145,344.267,0.746226
165,2158,317.5,0.759129
166,2171,368.933,0.760921
167,2184,380.267,0.778201
168,2197,433.567,0.816587
169,2210,338.967,0.830911
170,2223,383.1,0.843383
171,2236,367.267,0.863738
172,2249,355.967,0.862332
173,2262,404.933,0.872287
174,2275,552.333,0.880364
175,2288,415.833,0.88641
176,2301,425.433,0.867462
177,2314,362.267,0.865178
