agents,score,clow,chigh,Q1,Q2,Q3,means
13,0.93333434,1.4534418131674356,0.6873642147241785,0.09999985,0.366667,1.9666700000000001,"[0.0666667, 0.0666667, 0.133333, 0.133333, 0.3, 0.366667, 0.566667, 0.93333434, 1.16667, 2.76667, 3.76667]"
26,1.2566656999999999,1.9569519680946534,0.9254851075674663,0.2833335,0.7,2.38333,"[0.0, 0.2, 0.366667, 0.6, 0.633333, 0.7, 0.766667, 1.2566656999999999, 1.53333, 3.23333, 4.53333]"
39,3.2533336699999995,5.066277951546781,2.395952926488572,0.28333335,2.13333,5.81667,"[0.0, 0.0666667, 0.5, 1.26667, 1.4, 2.13333, 2.23333, 3.25333367, 4.86667, 6.76667, 13.3]"
52,5.0299999699999995,7.833004705075939,3.704398125372406,0.1666665,4.03333,7.333335,"[0.0666667, 0.133333, 0.2, 1.1, 1.93333, 4.03333, 4.06667, 5.02999997, 6.66667, 8.0, 24.1]"
65,8.873330599999997,13.818059792054887,6.534860722961317,0.1666665,5.43333,7.520000299999999,"[0.1, 0.1, 0.233333, 0.933333, 3.06667, 5.43333, 5.96667, 6.1, 6.16667, 8.873330599999997, 60.6333]"
78,12.619994299999997,19.652579586383478,9.294131909732485,0.7000014999999999,7.36667,16.9333,"[0.0, 0.133333, 1.26667, 2.56667, 6.1, 7.36667, 8.9, 12.619994299999998, 14.8333, 19.0333, 66.0]"
91,11.383334,17.726781175597285,8.383379996339835,1.333335,10.9333,19.15,"[0.0, 0.1, 2.56667, 2.96667, 6.9, 10.9333, 11.3667, 11.383334, 16.7, 21.6, 40.7]"
104,12.4266733,19.351529027413005,9.151758558983715,1.4166665,10.0667,22.183349999999997,"[0.1, 0.233333, 2.6, 2.73333, 7.36667, 10.0667, 12.4266733, 13.2333, 17.9, 26.4667, 43.5667]"
117,16.529997,25.741460248138168,12.173695877618764,1.6500015000000001,8.73333,33.5649985,"[0.266667, 0.333333, 2.96667, 5.4, 6.0, 8.73333, 9.56667, 13.7333, 16.529997, 50.6, 67.7]"
130,17.580000000000002,27.376585196129735,12.946981994524126,3.0166684999999998,9.7,31.340000000000003,"[0.433333, 0.866667, 5.16667, 6.16667, 7.33333, 9.7, 9.93333, 13.3, 17.580000000000002, 45.1, 77.8]"
143,23.159996699999997,36.066076382231714,17.056431187038577,4.2833335,14.9,26.546648349999998,"[0.6, 0.866667, 7.7, 11.9667, 12.9, 14.9, 15.7333, 18.4, 23.159996699999997, 29.9333, 118.6]"
156,32.496657,50.60565978099577,23.932516101321184,5.7,25.4333,57.25,"[1.26667, 2.73333, 8.66667, 24.0333, 24.2333, 25.4333, 27.1333, 32.496657, 50.9333, 63.5667, 96.9667]"
169,45.59671000000001,71.00581433323212,33.58019245617396,4.5,45.59671000000001,73.61670000000001,"[2.1, 2.96667, 6.03333, 26.2, 33.3333, 45.59671000000001, 59.4667, 64.4667, 66.4667, 80.7667, 114.167]"
182,56.533303000000004,88.03690477804987,41.63456518953224,6.616665,56.533303000000004,104.9665,"[3.8, 3.9, 9.33333, 23.3, 34.1, 56.533303000000004, 68.1, 82.7667, 102.4, 107.533, 130.1]"
195,60.41,94.07391989182008,44.48960081281015,7.6499999999999995,60.410000000000004,118.26650000000001,"[5.3, 6.6, 8.7, 16.5667, 56.8, 60.410000000000004, 65.9, 79.5333, 109.4, 127.133, 128.167]"
208,71.673327,111.61381927790477,52.78460035020705,15.5333,71.673327,119.0,"[3.36667, 11.5333, 19.5333, 24.3667, 66.3333, 71.673327, 89.1667, 98.9333, 117.533, 120.467, 165.5]"
221,69.04003,107.51309802265943,50.84528016560897,24.65,77.5,109.35,"[3.3, 20.9667, 28.3333, 32.4333, 69.04003, 77.5, 91.7667, 97.6333, 100.4, 118.3, 119.767]"
234,86.25662999999999,134.32377587747666,63.524632282043775,33.05,89.7,124.6165,"[4.9, 27.2667, 38.8333, 85.6333, 86.25663, 89.7, 105.8, 106.933, 110.133, 139.1, 154.267]"
247,128.16344,199.5834661085928,94.38735779500985,58.5667,111.267,182.33350000000002,"[3.0, 47.7667, 69.3667, 89.5, 100.067, 111.267, 128.16343999999998, 133.733, 143.967, 220.7, 362.267]"
