generation,agents,minScore,maxScore,meanScore,standardDeviation,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21
0,100,1,18,7.4,4.46905,-3.31741,0.733554,3.45645,0.558053,2.19817,-1.96767,-1.66572,-3.60814,0.202046,-11.4012,-3.52875,2.34221,-1.35509,0.00888205,-5.4185,-2.51995,-7.61509,-2.38648,-1.82932,0.0434547,-4.45118,-9.0567
1,200,3,42,17,8.29208,-0.0697597,2.91377,2.81003,-1.14739,2.55592,-0.94672,-3.00497,-6.53052,-9.49213,-9.9949,-8.87051,-3.25347,-1.55714,-1.42527,-3.59193,-3.28829,-7.60118,-0.294052,1.84578,-3.28294,-7.84184,-13.0194
2,300,1,78,22.8333,14.0445,0.52079,2.06574,3.00441,-3.50982,2.89932,-4.85932,-5.56476,-6.54235,-11.5516,-12.8733,-8.71682,-10.3266,-2.16579,-1.39912,-7.04135,-4.81008,-10.7891,-0.574827,-3.12343,-6.94111,-17.3977,-15.6532
3,400,12,94,49.8667,21.0529,0.82592,0.714249,3.17806,-3.16525,1.96818,-3.42296,-4.14615,-7.76202,-7.9334,-12.7573,-4.74471,-11.6163,-2.97883,-2.48312,-8.25386,-6.3115,-11.5199,-2.83817,-2.89952,-8.04239,-22.0112,-18.7355
4,500,29,98,56.3667,19.0525,-0.041039,1.02464,1.86558,-3.87236,-1.07066,-9.94605,-3.47796,-3.95262,-2.79112,-11.8355,-3.87266,-13.2136,-4.29002,-1.70255,-8.26403,-7.11674,-12.0572,-4.22101,-6.31089,-8.93787,-25.4773,-21.84
5,600,31,223,74.8333,36.9156,-0.233475,2.52928,0.837351,-3.80257,-3.46548,-11.7972,-5.87486,-4.89688,-0.54473,-10.9364,-2.76869,-15.1288,-4.48303,-3.88172,-7.80867,-8.69976,-9.58266,-4.29938,-5.61309,-9.47461,-31.7483,-23.4081
6,700,24,144,78.0667,33.2793,-4.1575,2.66027,0.94846,-5.14522,-2.91782,-9.80162,-6.9194,-5.70466,-5.17,-7.23714,-1.90307,-15.1857,-6.48178,-4.57217,-7.7751,-11.2234,-8.77699,-5.80843,-7.37242,-8.28979,-30.0601,-25.5683
7,800,14,169,88.8333,41.8364,-7.40733,0.867026,-0.457905,-2.71986,-2.18438,-8.66444,-5.89628,-6.12581,-4.4886,-8.7668,-1.43422,-14.4855,-7.13513,-3.72693,-9.39869,-11.1305,-11.3553,-4.79268,-7.42873,-6.94798,-26.3997,-27.0878
8,900,17,328,114.9,67.0766,-7.52619,1.00116,-4.66188,-2.25051,-3.65732,-8.10292,-4.55983,-6.15547,-5.63198,-6.62647,-0.464732,-13.1068,-4.68826,-3.8146,-9.31179,-11.5232,-12.3075,-3.48636,-7.46086,-7.57731,-28.4211,-29.5003
9,1000,48,483,186.867,110.319,-5.69443,1.00469,-7.19774,-1.17138,-5.35441,-7.66652,-4.33325,-5.28136,-6.18739,-7.36441,2.85669,-14.2867,-1.86281,-4.1606,-9.56929,-12.6592,-10.3632,-4.95447,-7.57455,-5.49552,-26.2435,-31.3228
10,1100,50,611,220.8,151.305,-11.3599,1.50268,-10.8264,-3.03758,-5.26992,-9.17079,-3.85928,-5.48223,-4.95709,-5.36451,4.48226,-12.9675,-2.76358,-3.60086,-9.5747,-11.5909,-8.90617,-3.47533,-7.91003,-5.87562,-23.8891,-32.4987
11,1200,51,578,182.5,119.331,-12.6756,2.05859,-10.6487,-2.76153,-6.43827,-9.08479,-2.47303,-5.4196,-3.65305,-8.31086,5.61545,-12.7994,-1.35737,-5.36545,-8.93225,-10.0486,-8.68699,-3.80979,-6.76485,-5.38551,-22.8646,-32.7847
12,1300,76,1188,293.767,229.62,-5.37529,0.225631,-11.2759,-1.90058,-7.15728,-7.30234,-1.95836,-5.14495,-3.29001,-7.86206,5.24205,-11.6961,-1.98394,-4.08113,-10.2394,-10.3788,-9.32229,-4.1913,-8.46363,-4.32708,-21.5893,-34.7657
13,1400,78,617,281.967,165.014,-7.00884,-0.807565,-11.5036,-2.29137,-6.79656,-8.49228,-3.64327,-3.09405,-3.21557,-7.5216,6.83835,-11.896,-4.26599,-5.04096,-10.5526,-7.76076,-9.11664,-4.95614,-8.31359,-3.78616,-19.7071,-35.6897
14,1500,61,829,305.9,198.994,-8.24207,-0.918789,-8.55018,-3.07682,-7.05779,-7.89319,-3.1389,-4.26885,-4.85735,-5.51136,7.21636,-11.8815,-3.37006,-5.11095,-11.7428,-8.27413,-9.70863,-3.15305,-7.71358,-1.56714,-17.3735,-35.6935
15,1600,67,1274,496.067,342.03,-3.32357,-0.890607,-9.40013,-2.15325,-5.68271,-6.28889,-2.91557,-4.18104,-4.38292,-5.20446,6.7221,-12.7632,-3.67354,-6.99827,-11.0584,-6.98395,-9.97259,-4.61708,-7.18791,-3.39803,-15.5966,-37.1748
16,1700,133,1567,718.3,400.436,-6.97681,0.217262,-7.41092,-1.21397,-5.52262,-5.35226,-4.14908,-4.23034,-5.78625,-4.64266,6.57724,-13.4924,-4.58471,-6.34427,-10.4308,-8.35853,-9.35354,-5.47219,-8.81042,-2.45693,-15.6355,-39.2615
17,1800,58,5485,1274.43,1335.15,-6.97411,1.83596,-8.17473,-2.41418,-4.53441,-2.89275,-5.08817,-3.05706,-5.9735,-4.48308,5.89166,-12.691,-3.89177,-7.5587,-9.42756,-7.5812,-7.71999,-6.30862,-10.5151,-2.60239,-15.7371,-44.1106
18,1900,203,7280,1947.4,1626.9,-3.83676,3.4809,-8.91604,-0.830375,-3.60914,-2.73646,-2.9507,-1.66086,-7.32778,-4.95854,5.96961,-13.6181,-5.92327,-8.1948,-7.83819,-8.73176,-7.78108,-7.44609,-11.5861,-2.04736,-12.6685,-44.1529
