agents,meanScore,clow,chigh,Q1,Q2,Q3,means
100,6.320003599999999,9.84187241156124,4.6544353136818915,1.6000015,4.9,9.0,"[0.133333, 0.433333, 2.76667, 2.8, 4.4, 5.4, 7.1, 7.4, 10.6, 22.1667]"
200,24.253341,37.76869489063062,17.86163647520215,4.1,12.033335000000001,41.916700000000006,"[2.56667, 3.9, 4.3, 6.56667, 7.06667, 17.0, 23.0333, 37.4667, 46.3667, 94.2667]"
300,41.713374,64.95846058754397,30.720267469217912,11.816685,27.9833,70.2167,"[4.56667, 6.66667, 16.9667, 18.8667, 22.8333, 33.1333, 63.5, 68.2667, 72.1667, 110.167]"
400,75.48004,117.54185128937885,55.588095496357276,22.9,74.53335,124.36699999999999,"[13.5, 13.6333, 32.1667, 49.8667, 56.1, 92.9667, 93.8, 122.667, 126.067, 154.033]"
500,98.45670000000001,153.3224252377581,72.5095063788546,50.45,86.1165,134.317,"[27.6, 44.5333, 56.3667, 57.4, 63.6, 108.633, 112.7, 128.867, 139.767, 245.1]"
600,194.53336,302.9385155591226,143.26620644222297,75.35,95.35015,146.85000000000002,"[66.5, 74.8333, 75.8667, 88.9333, 89.5333, 101.167, 120.1, 134.067, 159.633, 1034.7]"
700,244.75296999999995,381.14337515419703,180.2509838280036,82.44999999999999,135.8665,279.6835,"[78.0667, 80.8, 84.1, 108.933, 129.633, 142.1, 185.2, 220.267, 339.1, 1079.33]"
800,294.03003,457.8804417813187,216.54161002613134,108.35,167.4835,393.15,"[88.8333, 97.9, 118.8, 120.567, 144.367, 190.6, 193.233, 257.933, 528.367, 1199.7]"
900,283.48010000000005,441.45148515684747,208.7719994599488,143.8,175.667,447.0335,"[114.9, 138.2, 149.4, 157.267, 175.167, 176.167, 188.3, 395.167, 498.9, 841.333]"
1000,322.4167,502.0857938683164,237.44728154914034,170.0,208.96699999999998,555.35,"[147.933, 158.1, 181.9, 186.867, 197.667, 220.267, 276.833, 408.367, 702.333, 743.9]"
1100,476.16040000000004,741.50430930735,350.6734997329583,165.1,303.6,772.8335,"[145.267, 147.767, 182.433, 220.8, 275.567, 331.633, 382.1, 484.167, 1061.5, 1530.37]"
1200,697.5133000000001,1086.2077521549263,513.6912477839082,227.10000000000002,386.3335,1327.0665,"[182.5, 203.8, 250.4, 300.0, 343.6, 429.067, 538.433, 625.233, 2028.9, 2073.2]"
