agents,meanScore,clow,chigh,Q1,Q2,Q3,means
100,1.1466663300000002,1.7856546345152684,0.84447487646399677,0.15666679999999999,0.26666650000000003,0.61000009999999993,"[0.0, 0.0333333, 0.133333, 0.166667, 0.2, 0.333333, 0.5, 0.866667, 1.83333, 7.4]"
200,0.83333404000000022,1.2977156053978949,0.61371790735517928,0.16666700000000001,0.43333300000000002,1.0066668999999999,"[0.0666667, 0.0666667, 0.166667, 0.166667, 0.233333, 0.633333, 0.966667, 1.1, 1.76667, 3.16667]"
300,5.4933343700000004,8.5545356308949199,4.0456257780597582,0.20000000000000001,1.5666685,3.6366699999999996,"[0.0666667, 0.1, 0.2, 0.2, 0.366667, 2.76667, 3.06667, 4.96667, 15.8333, 27.3667]"
400,3.8833363000000007,6.0473542128653719,2.8599252078943089,0.16999999999999998,0.93333149999999998,5.1333310000000001,"[0.0333333, 0.0666667, 0.1, 0.2, 0.433333, 1.43333, 4.93333, 5.6, 7.96667, 18.0667]"
500,6.6433403699999989,10.345390991251024,4.8925601907784548,0.61666699999999985,2.1499999999999999,7.7866689999999981,"[0.0666667, 0.133333, 0.266667, 0.766667, 0.8, 3.5, 5.46667, 13.2, 19.4667, 22.7667]"
600,8.3733233300000016,13.039419767831957,6.1666249367371355,1.2699999999999998,5.5666650000000004,12.176658999999997,"[0.0333333, 0.3, 0.5, 1.6, 4.4, 6.73333, 9.36667, 18.7333, 20.9333, 21.1333]"
700,15.513340400000001,24.158264228507473,11.424968079278939,1.7,8.9333349999999996,19.256699999999995,"[0.466667, 0.666667, 1.7, 1.7, 8.5, 9.36667, 14.6667, 29.9667, 41.1333, 46.9667]"
800,25.326693300000002,39.440180708970324,18.652118437766489,5.326667999999998,11.51665,20.289999999999999,"[0.533333, 0.9, 1.03333, 7.16667, 9.4, 13.6333, 14.8, 33.1, 54.8333, 117.867]"
900,26.256672999999999,40.888398484153541,19.337012091416824,6.4699989999999987,16.183350000000001,28.296699999999994,"[0.4, 0.5, 1.03333, 8.8, 15.5, 16.8667, 18.3667, 51.4667, 57.2333, 92.4]"
1000,41.013370000000002,63.868374174368121,30.204741918359279,8.0599999999999969,19.13335,39.003320000000002,"[1.4, 1.7, 3.3, 10.1, 16.9, 21.3667, 31.7333, 55.9667, 69.1, 198.567]"
1100,47.416666000000006,73.839954292686471,34.920518824935399,7.2433319999999997,23.799999999999997,42.520000000000003,"[1.13333, 4.43333, 5.86667, 7.83333, 19.4667, 28.1333, 39.7, 49.1, 121.633, 196.867]"
1200,73.299996000000021,114.14696162514046,53.982578407889122,10.419998999999999,25.216650000000001,49.119999999999997,"[3.23333, 3.7, 8.83333, 11.1, 18.8333, 31.6, 43.0, 63.4, 142.967, 406.333]"
1300,82.150030000000001,127.9287426143125,60.500282096679001,13.75001,31.4833,61.629999999999995,"[5.36667, 7.93333, 11.0667, 14.9, 20.9333, 42.0333, 60.4, 64.5, 132.367, 462.0]"
1400,100.43337,156.40060923432424,73.965246475505083,26.336689999999997,39.316649999999996,61.980009999999993,"[7.2, 9.8, 22.3, 28.0667, 30.3333, 48.3, 59.8, 67.0667, 142.967, 588.5]"
1500,79.250039999999998,123.41271170970928,58.364552954796174,21.449999999999999,44.083350000000003,82.026589999999999,"[11.2667, 11.4333, 20.4, 21.9, 26.8, 61.3667, 73.3667, 102.233, 150.967, 312.767]"
1600,88.269959999999998,137.45904893054401,65.007371033979808,39.203309999999995,58.600000000000001,81.059989999999999,"[12.3333, 16.1667, 30.5, 42.9333, 49.3, 67.9, 76.4, 91.9333, 156.6, 338.633]"
1700,100.03,155.77245831449702,73.668180256669416,59.486699999999992,72.633299999999991,92.05668,"[14.4667, 30.3333, 33.8667, 70.4667, 70.7333, 74.5333, 89.6667, 97.6333, 136.233, 382.367]"
1800,113.45350000000001,176.67630310290701,83.554062668699842,88.330009999999987,103.06700000000001,112.15689999999998,"[13.6, 38.6333, 66.4667, 97.7, 101.767, 104.367, 108.967, 119.6, 143.767, 339.667]"
1900,137.62327000000002,214.31485643486721,101.35415237301096,87.926699999999983,113.53315000000001,140.95310000000001,"[15.2, 69.8, 74.0667, 93.8667, 99.7333, 127.333, 137.633, 148.7, 172.7, 437.2]"
2000,153.07329999999996,238.37453007410264,112.73249482038621,88.046689999999998,137.75,186.08690000000001,"[15.8, 71.4333, 86.6, 88.6667, 109.4, 166.1, 185.567, 187.3, 220.533, 399.333]"
