agents,meanScore,clow,chigh,Q1,Q2,Q3,means
10,0.73999937,1.1523694993109972,0.544980575617133,0.23333335,0.7,1.25,"[0.0, 0.0666667, 0.4, 0.466667, 0.533333, 0.866667, 1.03333, 1.03333, 1.46667, 1.53333]"
20,0.74333224,1.1575596358014764,0.5474351039379571,0.08333335,0.733333,1.2666650000000002,"[0.0666667, 0.0666667, 0.1, 0.233333, 0.733333, 0.733333, 1.03333, 1.23333, 1.3, 1.93333]"
30,0.9766670000000002,1.5209219188707874,0.7192770229605175,0.15000000000000002,0.5,1.4166699999999999,"[0.0, 0.133333, 0.166667, 0.266667, 0.366667, 0.633333, 0.933333, 1.06667, 1.76667, 4.43333]"
40,1.4199989900000003,2.2113039435809547,1.045773683491038,0.0333333,0.7166650000000001,1.25,"[0.0333333, 0.0333333, 0.0333333, 0.2, 0.4, 1.03333, 1.13333, 1.16667, 1.33333, 8.83333]"
50,1.12333274,1.749318228680993,0.8272906006052021,0.0666667,0.866667,2.216665,"[0.0, 0.0666667, 0.0666667, 0.7, 0.866667, 0.866667, 0.9, 1.23333, 3.2, 3.33333]"
60,1.6933327000000002,2.636954887766917,1.2470732638019868,0.05,0.6833335,3.83333,"[0.0, 0.0333333, 0.0666667, 0.4, 0.566667, 0.8, 1.13333, 1.73333, 5.93333, 6.26667]"
70,1.3600007,2.1178711621357267,1.0015872909806718,0.05,0.6,2.86667,"[0.0, 0.0333333, 0.0666667, 0.266667, 0.533333, 0.666667, 1.43333, 1.56667, 4.16667, 4.86667]"
80,1.7599995700000002,2.740772364804136,1.2961708045028562,0.18333300000000002,1.0000015,2.58333,"[0.0666667, 0.133333, 0.233333, 0.8, 0.833333, 1.16667, 1.4, 1.83333, 3.33333, 7.8]"
90,1.6399997,2.553901678536815,1.20779559652588,0.1833335,1.0499985,2.3666650000000002,"[0.0, 0.166667, 0.2, 0.733333, 0.966667, 1.13333, 1.26667, 2.33333, 2.4, 7.2]"
100,1.7400003000000002,2.709628353483578,1.2814421248331387,0.1166665,0.7,2.333335,"[0.1, 0.1, 0.133333, 0.366667, 0.566667, 0.833333, 0.833333, 1.76667, 2.9, 9.8]"
110,1.68666707,2.6265747860842725,1.242164288171033,0.11666685,0.8166685,2.233335,"[0.0, 0.0666667, 0.166667, 0.4, 0.466667, 1.16667, 1.2, 2.06667, 2.4, 8.93333]"
120,2.0233330300000003,3.1508503456165147,1.4901055920555148,0.28333315,0.8833335,4.316665,"[0.0, 0.0333333, 0.533333, 0.666667, 0.766667, 1.0, 1.26667, 3.1, 5.53333, 7.33333]"
130,2.36666567,3.6855076419516766,1.742956644854857,0.38333334999999996,1.2833299999999999,4.8,"[0.0, 0.0666667, 0.7, 1.0, 1.13333, 1.43333, 1.53333, 3.53333, 6.06667, 8.2]"
140,2.4033330299999998,3.742608159867327,1.769960720492327,0.3,1.3666649999999998,4.766665,"[0.0333333, 0.1, 0.5, 0.566667, 1.33333, 1.4, 1.56667, 3.1, 6.43333, 9.0]"
150,2.2100006,3.4415398014447,1.627578951995877,0.3666665,1.26667,3.0,"[0.1, 0.133333, 0.6, 0.833333, 1.16667, 1.36667, 2.16667, 2.56667, 3.43333, 9.73333]"
160,2.8599994,4.453755246585889,2.106277630042651,0.466667,1.0999985,4.08333,"[0.0, 0.166667, 0.766667, 0.933333, 0.966667, 1.23333, 1.36667, 3.53333, 4.63333, 15.0]"
170,2.7633370000000004,4.30322700831158,2.0350895553926236,0.55,1.5,4.16667,"[0.0, 0.0, 1.1, 1.23333, 1.26667, 1.73333, 3.1, 4.06667, 4.26667, 10.8667]"
180,3.4033293000000002,5.299859757220397,2.5064188378007057,0.4666665,1.2999999999999998,5.9,"[0.0, 0.1, 0.833333, 1.03333, 1.13333, 1.46667, 4.43333, 4.73333, 7.06667, 13.2333]"
190,3.7666700000000004,5.865674753168714,2.7740050437607624,0.25,1.15,5.266665,"[0.0, 0.0, 0.5, 1.0, 1.13333, 1.16667, 4.46667, 5.23333, 5.3, 18.8667]"
200,3.6133313400000007,5.626886989269377,2.661077121685424,0.33333335,2.0666700000000002,5.96667,"[0.0666667, 0.0666667, 0.6, 1.2, 1.66667, 2.46667, 4.0, 5.46667, 6.46667, 14.1333]"
210,4.123329270000001,6.421085042767374,3.03667063800821,0.26666650000000003,2.183335,6.533329999999999,"[0.0666667, 0.1, 0.433333, 0.833333, 1.96667, 2.4, 4.03333, 5.33333, 7.73333, 18.3333]"
220,4.0566673600000005,6.317275289726888,2.987576750153227,0.35000015,1.95,6.7666699999999995,"[0.0333333, 0.0333333, 0.666667, 1.3, 1.9, 2.0, 2.6, 5.96667, 7.56667, 18.5]"
