generation,agents,minScore,maxScore,meanScore,standardDeviation,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21
0,22,1,20,7.3,4.21941,-5.07947,-5.94247,-14.7333,1.94697,1.6824,-3.36957,-0.476006,-0.202194,-9.91178,-13.2138,2.14131,3.19465,-3.85196,0.117727,3.61026,-10.193,0.744565,0.0293772,-15.8946,-3.54931,-3.30852,-10.8398
1,44,0,26,11.6,7.64109,-4.53649,-0.370761,-13.4563,6.38465,-1.28987,-18.3789,-6.44361,-1.84736,-10.226,-10.4907,0.624957,-6.16156,-3.20393,-2.03621,1.79354,-10.5594,-2.00365,0.669734,-14.3502,-1.6992,-2.4705,-18.058
2,66,3,42,20,10.5602,-4.27784,-1.15246,-13.5719,3.49812,-0.779326,-23.8635,-2.66041,-0.159545,-8.31783,-12.1946,-1.39699,-5.09303,-2.44351,0.527775,-10.7288,-12.9342,-0.179398,0.969285,-13.9303,-1.34511,-0.870928,-16.8895
3,88,16,92,42.9667,20.7372,-7.07915,0.211546,-14.926,3.14309,-2.98872,-24.4387,3.09667,-1.26545,-9.03146,-9.91615,-0.821619,-7.5996,-2.31763,-1.40556,-12.8188,-12.7053,-2.178,-1.78201,-15.0665,-3.59241,-4.03011,-17.4366
4,110,18,94,44.8333,19.6856,-7.29763,2.76398,-15.9469,1.74608,-4.41211,-21.5739,2.6793,-3.23038,-6.69895,-14.0416,-0.626062,-6.91424,-0.28757,0.207678,-9.53078,-13.4361,-3.02775,-3.07611,-14.6157,-1.294,-5.65516,-17.3061
5,132,9,96,46.8667,21.2501,-6.89517,1.94516,-14.3275,1.05657,-5.03757,-19.9599,1.1609,-4.01071,-5.41035,-14.4867,-1.03162,-6.63017,-0.386048,-1.79539,-6.85782,-17.3387,-3.54688,-1.17314,-12.3933,-3.61002,-5.24024,-15.2909
6,154,18,175,60.9,30.2271,-6.43784,-0.600922,-15.19,-0.603649,-7.77033,-19.4264,-0.180488,-7.41845,-6.65551,-15.9547,-1.46005,-8.47055,1.4614,-2.92339,-8.52449,-12.1015,-2.51625,0.446217,-13.0641,-4.75157,-6.38021,-15.772
7,176,28,221,94.4333,47.8811,-5.84055,-2.26624,-15.505,-2.52714,-7.08056,-19.196,0.373917,-6.44371,-6.22951,-13.7609,-0.786485,-8.13188,-5.64352,-0.217902,-8.78081,-14.8297,-1.87124,-2.43049,-12.023,-2.79816,-6.81355,-14.8067
8,198,24,429,101.933,72.8664,-6.29523,-2.0707,-14.9726,-3.3322,-4.71119,-18.3739,-0.93289,-6.04261,-5.30107,-15.9534,-0.725802,-9.29067,-9.2724,-0.133189,-9.51549,-16.6717,-3.19744,-4.06219,-14.5858,-4.07574,-4.94862,-15.5152
9,220,26,149,73.8,36.8786,-8.88473,-1.33714,-16.3928,-1.90272,-3.28895,-19.4834,-1.74987,-6.87819,-6.05704,-15.485,-0.0273913,-9.47331,-10.8038,0.711569,-10.4269,-16.3253,-3.70029,-3.66274,-13.6275,-6.46481,-5.35998,-16.1831
