agents,meanScore,clow,chigh,Q1,Q2,Q3,means
100,3.18111079,4.9538083367896801,2.3427636018610025,1.4266689999999995,2.6666650000000001,3.8433320000000002,"[0.0666667, 0.2, 0.466667, 0.5, 0.6, 0.8, 0.9, 1.06667, 1.1, 1.56667, 1.6, 1.63333, 1.83333, 2.0, 2.43333, 2.9, 3.4, 3.5, 3.73333, 3.73333, 3.83333, 3.86667, 4.5, 5.3, 5.5, 5.86667, 5.96667, 8.23333, 8.33333, 10.0]"
200,11.571108100000004,18.019193783462853,8.5216682723203814,6.2900009999999984,8.4833350000000003,13.689989999999998,"[0.533333, 1.26667, 2.86667, 3.4, 4.16667, 4.3, 4.83333, 5.23333, 5.56667, 6.6, 6.86667, 7.3, 7.43333, 8.0, 8.36667, 8.6, 8.8, 9.6, 10.6667, 12.1333, 13.5, 14.1333, 14.8333, 16.5667, 21.2667, 22.5, 24.0333, 24.0333, 26.3333, 43.4]"
300,26.571110000000001,41.378057831099824,19.568582636207054,15.816679999999998,26.199999999999999,32.950009999999992,"[3.8, 6.23333, 6.36667, 8.0, 9.8, 11.4667, 12.3667, 12.8667, 15.2333, 16.0667, 16.9333, 17.6333, 22.1, 25.0, 25.9333, 26.4667, 26.7333, 26.7333, 26.9333, 29.0333, 32.3, 34.4667, 34.7, 37.8, 44.6, 44.7, 47.7, 54.6667, 58.7, 61.8]"
400,39.015561000000005,60.757271313498102,28.73343377549817,27.133319999999998,35.933350000000004,45.359989999999982,"[7.63333, 9.8, 15.0333, 16.0667, 16.3, 18.2, 22.9, 25.6, 26.6667, 27.3333, 28.6333, 30.4, 31.5333, 33.9, 35.8667, 36.0, 41.4, 41.4, 41.6333, 42.3667, 44.0, 48.5333, 48.7, 49.9, 52.5333, 58.6333, 60.5, 67.8333, 70.6, 120.567]"
500,56.025563333333338,87.24622342185225,41.260634795775765,48.306699999999999,58.150000000000006,63.566699999999997,"[10.2667, 21.8333, 27.2667, 34.1333, 34.5, 35.8667, 43.1667, 44.1, 46.0667, 49.2667, 49.3333, 53.2667, 53.6667, 54.6667, 57.7, 58.6, 59.9667, 61.0333, 63.0, 63.0667, 63.5667, 63.5667, 64.1667, 68.5333, 71.6333, 74.0333, 86.0, 86.5333, 88.4667, 93.5]"
600,67.984423333333325,105.86924672325085,50.067867167506961,57.076679999999996,68.283349999999999,78.179989999999989,"[30.1333, 38.9333, 41.1333, 41.7, 48.1667, 49.8667, 53.1667, 53.6333, 55.9333, 57.5667, 57.9333, 57.9333, 67.3333, 67.9333, 68.1, 68.4667, 68.5333, 71.1667, 72.6333, 76.4333, 77.6, 79.5333, 81.4333, 81.8333, 86.3, 86.9, 88.4333, 89.8667, 100.833, 120.1]"
700,80.653263333333342,125.59789163770687,59.397972023679159,65.796690000000012,79.400000000000006,90.553319999999999,"[38.2, 49.7333, 51.9, 52.3, 53.3, 55.8333, 56.8333, 60.2, 65.4, 65.9667, 70.4333, 74.6, 75.3667, 76.3333, 79.2333, 79.5667, 80.2667, 80.2667, 80.9333, 82.0, 89.7333, 92.4667, 93.9333, 101.033, 102.433, 103.1, 108.633, 127.233, 127.233, 145.133]"
800,94.868893333333318,147.73528673507076,69.867227180153392,77.396699999999996,95.066649999999996,101.55699999999999,"[53.3, 55.1, 55.5, 58.3667, 64.8667, 67.4, 69.0667, 70.7, 75.3667, 78.2667, 86.4667, 86.6333, 89.9667, 93.0333, 93.8333, 96.3, 96.6667, 99.3333, 100.233, 100.233, 100.267, 104.567, 108.367, 108.767, 111.367, 112.133, 121.167, 139.633, 154.933, 194.233]"
900,107.17113000000001,166.89303589365733,78.927343028600944,80.386700000000005,95.366649999999993,123.14679999999998,"[64.5, 68.2667, 69.1667, 70.0667, 73.7, 73.8667, 75.2, 76.7, 78.5667, 81.1667, 84.1333, 89.3667, 90.5667, 90.9667, 95.2, 95.5333, 98.6, 108.233, 111.067, 112.867, 120.967, 128.233, 141.2, 143.533, 144.6, 144.6, 147.767, 166.733, 176.967, 192.8]"
1000,112.27778666666669,174.84541480733105,82.688195811055451,84.603309999999993,99.916500000000013,120.16699999999994,"[64.0, 66.4333, 71.5667, 72.3667, 76.2, 80.1333, 81.4, 84.0333, 84.3, 84.7333, 91.3333, 94.1667, 94.6333, 95.5667, 97.9, 101.933, 107.3, 108.833, 111.833, 113.367, 113.867, 134.867, 135.3, 138.1, 138.5, 138.5, 181.433, 187.367, 199.2, 219.167]"
