agents,meanScore,clow,chigh,Q1,Q2,Q3,means
100,4.5955536666666665,7.1564599817341508,3.3844454253243832,1.9366699999999999,3.5333350000000001,4.4399990000000003,"[0.366667, 0.433333, 1.1, 1.23333, 1.66667, 1.76667, 1.83333, 1.86667, 1.86667, 1.96667, 2.13333, 2.36667, 2.93333, 3.36667, 3.5, 3.56667, 3.56667, 3.66667, 3.73333, 4.33333, 4.4, 4.53333, 5.5, 6.2, 6.83333, 7.0, 8.96667, 12.0333, 17.3333, 17.8]"
200,11.010003766666667,17.14540990488392,8.108436890027086,4.0600009999999997,8.8666699999999992,11.383309999999998,"[0.733333, 1.3, 1.6, 2.16667, 2.76667, 2.76667, 3.3, 3.93333, 3.96667, 4.1, 4.63333, 5.5, 5.6, 6.43333, 8.86667, 8.86667, 9.36667, 9.7, 10.3, 11.2667, 11.3333, 11.5, 12.3667, 13.9667, 19.2667, 19.6333, 20.0333, 31.1, 37.8667, 46.0667]"
300,26.133333333333333,40.696326874792781,19.246177253900104,10.81,19.516649999999998,36.489989999999992,"[1.93333, 2.66667, 5.1, 8.23333, 8.56667, 9.5, 10.1667, 10.2667, 10.6, 10.9, 10.9, 12.6667, 14.8333, 17.8333, 18.4, 20.6333, 21.8333, 26.0, 29.7, 34.3667, 36.3, 36.9333, 37.2333, 39.7, 43.0667, 47.8, 48.9, 49.7333, 67.9667, 91.2667]"
400,41.531112333333326,64.674632257311387,30.58603888465446,28.779989999999998,37.566699999999997,49.020009999999999,"[6.0, 8.56667, 14.1667, 14.3333, 17.6667, 19.9667, 22.7333, 27.1, 28.0333, 29.1, 29.9667, 34.6, 35.5667, 35.9333, 37.5667, 37.5667, 39.0, 41.2, 44.8333, 46.6667, 48.4, 50.4667, 52.0333, 56.4667, 57.9333, 64.2, 76.6333, 81.1, 82.8333, 105.3]"
500,56.549974333333331,88.06286633534981,41.646842974088059,45.249990000000004,55.200000000000003,71.703320000000005,"[8.53333, 15.6333, 28.8333, 30.8333, 34.4667, 39.0333, 39.1333, 43.7333, 44.4333, 45.6, 45.6, 47.7, 50.3333, 51.4, 52.6333, 57.7667, 59.5667, 60.2333, 64.0333, 67.3333, 71.6333, 71.8667, 74.6, 75.3333, 76.3333, 77.0333, 81.6333, 89.8667, 89.9333, 101.433]"
600,66.297759999999997,103.24267775611843,48.825705631244695,53.023310000000002,63.0,76.716679999999997,"[18.7333, 22.3333, 44.8, 44.8333, 47.7, 48.8, 48.8, 51.1, 51.6, 53.6333, 55.8333, 57.2333, 58.9, 59.9, 61.0, 65.0, 65.3333, 68.3333, 69.2, 73.3, 76.6667, 76.8333, 79.6667, 85.0333, 86.9667, 97.1, 99.0, 99.0667, 103.133, 119.1]"
700,78.151149999999987,121.70145711891435,57.555263475617416,62.58999,73.333300000000008,89.456699999999984,"[31.9, 49.6667, 52.0667, 53.8667, 55.0, 59.6, 60.8667, 60.8667, 60.9333, 63.3, 66.4, 67.7667, 68.8, 69.7333, 72.2333, 74.4333, 74.5, 80.7333, 83.7667, 86.0333, 88.7667, 91.0667, 93.5667, 96.3667, 101.167, 106.067, 107.0, 107.5, 120.867, 139.7]"
800,91.300006666666675,142.17761154250357,67.238881821004895,73.150009999999995,84.983350000000002,100.20679,"[58.3, 59.7, 61.9, 63.6333, 67.3, 68.1667, 68.7333, 71.4667, 71.8667, 73.7, 77.1667, 79.9667, 80.7667, 84.3667, 84.3667, 85.6, 86.1333, 89.5667, 95.7333, 97.9, 99.9667, 100.767, 101.533, 104.667, 105.533, 107.233, 120.333, 136.667, 153.967, 182.0]"
900,110.68774333333334,172.36930805075892,81.517191123502556,87.700000000000003,101.25,116.34989999999999,"[56.5, 63.5667, 66.0667, 67.5, 70.5, 79.2333, 83.1667, 85.7333, 87.7, 87.7, 92.3333, 98.0667, 98.4333, 98.5333, 98.7, 103.8, 106.967, 107.067, 108.3, 114.433, 116.1, 116.933, 120.233, 122.067, 130.833, 134.533, 150.1, 180.833, 183.3, 291.4]"
1000,118.45549,184.46568907476077,87.237832547356817,95.766700000000014,109.1665,135.50310000000002,"[58.6667, 67.6, 70.7333, 79.1, 83.4, 87.7333, 88.1333, 88.3667, 92.9667, 96.9667, 97.3, 100.167, 102.533, 104.7, 108.233, 110.1, 110.1, 115.233, 120.7, 132.8, 134.733, 137.3, 137.467, 142.9, 144.033, 153.3, 155.833, 172.8, 214.533, 245.233]"
