agents,meanScore,clow,chigh,Q1,Q2,Q3,means
100,5.5466663666666669,8.6375872776767562,4.0849027064201309,1.6833320000000001,2.7166649999999999,5.1666689999999997,"[0.366667, 0.766667, 0.766667, 1.1, 1.13333, 1.26667, 1.3, 1.56667, 1.56667, 1.73333, 2.16667, 2.43333, 2.46667, 2.7, 2.7, 2.73333, 2.76667, 2.96667, 4.43333, 4.96667, 5.06667, 5.4, 5.66667, 6.76667, 6.86667, 7.3, 8.5, 22.1333, 23.8667, 32.9333]"
200,11.39666233333333,17.747536821389225,8.3931957922262761,4.9933310000000004,7.6833299999999998,11.613299999999997,"[1.43333, 2.0, 2.16667, 2.26667, 2.4, 3.03333, 3.8, 4.36667, 4.9, 5.03333, 5.4, 6.06667, 6.26667, 7.43333, 7.43333, 7.93333, 8.16667, 8.3, 8.36667, 8.6, 11.4333, 12.0333, 17.1667, 18.8, 20.6333, 21.0, 23.8, 30.6333, 38.7333, 42.3]"
300,24.441107666666667,38.061095922882807,17.999919276823604,11.616679999999999,17.566649999999999,23.263309999999983,"[4.53333, 5.1, 5.2, 6.86667, 6.86667, 9.73333, 9.93333, 10.7333, 11.0333, 11.8667, 14.1, 14.5333, 14.6667, 16.4667, 17.4, 17.7333, 20.6333, 20.7333, 20.8, 21.4667, 21.5333, 27.3, 34.7, 39.5667, 48.2333, 51.2, 53.6, 56.1667, 69.0333, 71.5]"
400,32.85667466666667,51.16629995867563,24.197655023280454,18.96332,32.450000000000003,40.703319999999998,"[4.76667, 8.26667, 11.9667, 12.3333, 12.3667, 16.0667, 17.5667, 18.3333, 18.5667, 19.1333, 21.0667, 23.6667, 24.1333, 25.1, 31.9333, 32.9667, 33.3, 35.8667, 39.0, 39.2, 40.6333, 40.8667, 41.8667, 47.1667, 47.9, 48.7, 60.7, 66.5333, 70.6667, 75.0667]"
500,44.093329999999995,68.664664694315292,32.473011921991493,36.703319999999991,45.7333,50.683299999999988,"[14.1, 14.1667, 14.2667, 19.9333, 22.0333, 24.2, 28.7667, 29.4667, 34.7667, 37.5333, 39.0333, 41.1, 43.4333, 43.8667, 45.1333, 46.3333, 46.8, 46.9667, 47.5333, 49.3667, 50.5333, 51.0333, 59.8667, 60.1333, 61.2333, 61.5, 67.1333, 67.3, 74.3667, 80.9]"
600,55.823323333333327,86.931283684078309,41.111692950578224,42.046689999999998,55.783349999999999,63.626679999999993,"[17.4, 22.0667, 32.6, 33.6667, 34.4333, 38.3333, 40.2667, 40.4, 42.0, 42.0667, 43.1667, 47.3333, 48.6, 49.6333, 55.4, 56.1667, 56.2667, 56.5333, 58.9333, 61.5, 63.0667, 64.9333, 66.1, 71.7, 72.7667, 75.0, 89.5, 90.5, 91.0333, 113.333]"
700,67.628899999999987,105.31560537943903,49.806038146158848,52.453309999999995,61.533299999999997,71.780010000000004,"[30.0667, 32.6667, 34.2667, 42.3, 45.5333, 45.6, 48.0333, 49.0, 50.4, 53.3333, 57.7333, 57.7667, 59.2, 59.4667, 60.4333, 62.6333, 64.6333, 64.6667, 66.9333, 70.3, 71.4, 72.6667, 81.7667, 83.3667, 83.9333, 84.0333, 90.2667, 117.4, 135.8, 153.267]"
800,78.827809999999971,122.75519091520631,58.053597084059653,66.296699999999987,71.7667,89.079989999999981,"[35.7333, 36.8667, 40.2, 43.7333, 45.3, 50.1333, 55.4, 59.7667, 64.9667, 66.8667, 67.1667, 67.3, 67.3333, 67.5333, 70.9667, 72.5667, 73.7667, 82.3333, 82.7, 86.7333, 87.6, 92.5333, 93.9, 97.2333, 101.267, 108.5, 110.367, 117.8, 143.567, 174.7]"
900,87.124419999999972,135.67514828176274,64.163725655481088,66.523299999999992,81.199999999999989,103.90989999999999,"[35.0667, 37.6, 43.6667, 44.9, 46.7333, 55.1333, 56.8333, 57.9333, 65.3333, 67.0333, 67.2333, 73.1, 73.2667, 75.0, 80.3, 82.1, 90.0667, 96.0333, 96.5667, 99.5667, 102.7, 106.733, 107.267, 112.233, 115.767, 116.633, 117.9, 119.033, 157.967, 214.033]"
1000,93.193300000000008,145.12595660742193,68.633218265659011,70.456700000000012,93.416650000000004,109.90000000000001,"[36.9, 37.7, 50.4333, 51.4667, 53.8, 59.8333, 63.5, 66.2667, 69.9667, 70.6667, 70.8, 71.3333, 88.5667, 89.4333, 89.5333, 97.3, 99.7, 102.4, 104.1, 107.567, 109.9, 109.9, 114.8, 119.033, 124.733, 130.7, 134.5, 145.033, 157.0, 168.933]"
