agents,meanScore,clow,chigh,Q1,Q2,Q3,means
100,1975.4380999999998,3076.2656111678411,1454.8328505117718,423.18690000000004,705.16650000000004,2254.4109999999996,"[127.667, 154.733, 163.5, 224.833, 235.667, 288.2, 315.133, 357.433, 405.5, 430.767, 438.767, 445.767, 502.5, 508.133, 660.333, 750.0, 768.3, 1064.97, 1775.1, 2081.07, 2197.63, 2386.9, 2689.53, 3244.1, 3331.07, 4104.53, 4328.87, 6216.47, 7812.77, 11252.9]"
200,10742.567100000002,16728.942175101845,7911.4802513462628,5173.4709999999995,7805.8850000000002,13505.719999999999,"[815.733, 3066.53, 3093.1, 3422.57, 3716.6, 4015.63, 4740.3, 4765.03, 4802.8, 5332.33, 5588.3, 5966.63, 6271.83, 6290.9, 7015.97, 8595.8, 8973.43, 9078.7, 9406.93, 13048.4, 13423.7, 13697.1, 14249.5, 15459.3, 20437.9, 21497.9, 22849.6, 23866.7, 25562.1, 33225.7]"
300,20926.834666666669,32588.468267196888,15411.794745831439,14712.849999999999,21509.150000000001,25923.209999999999,"[7470.07, 9160.47, 11250.4, 11778.4, 11843.3, 12714.1, 12807.5, 13265.1, 13887.2, 15066.7, 17346.6, 18032.3, 18086.5, 20209.3, 21305.8, 21712.5, 23666.2, 23982.6, 24625.0, 24997.4, 25810.5, 26186.2, 26288.5, 27324.8, 27560.3, 30232.2, 30902.6, 32748.5, 32842.5, 34701.5]"
400,24669.709999999999,38417.088599477458,18168.275948812956,20837.190000000002,24343.75,28085.259999999995,"[12766.6, 14389.4, 16337.5, 17532.2, 17921.1, 18377.6, 20698.6, 20787.3, 20798.2, 20853.9, 21164.2, 22550.6, 22665.0, 23731.9, 23889.1, 24798.4, 24866.6, 25369.1, 27169.2, 27427.4, 27635.2, 29135.4, 29469.0, 30035.1, 30624.3, 31956.7, 32335.4, 33119.7, 34719.6, 36967.0]"
500,23921.726666666669,37252.286014137011,17617.415496658763,21971.969999999998,23337.900000000001,24981.970000000001,"[14446.9, 17820.9, 18750.3, 19170.7, 20008.7, 20165.9, 20376.6, 20788.0, 21141.7, 22327.8, 22332.2, 22557.3, 22636.8, 22706.5, 23328.8, 23347.0, 23486.7, 23546.9, 23815.1, 24633.5, 24910.6, 25148.5, 25349.0, 25805.0, 26397.1, 28839.9, 31101.3, 32096.8, 32464.0, 38151.3]"
600,27847.973333333335,43366.462713284927,20508.942510276149,25029.759999999998,27000.349999999999,31460.749999999993,"[15722.4, 19063.7, 20088.3, 21128.9, 21856.5, 22363.0, 24192.4, 24510.9, 24871.0, 25097.8, 25492.1, 25828.3, 26062.6, 26407.0, 26488.0, 27512.7, 27800.8, 28564.2, 29076.1, 30235.7, 30841.4, 32905.9, 33050.0, 33614.6, 33913.2, 33985.4, 34103.6, 34795.8, 34846.5, 41020.4]"
700,26575.663333333338,41385.148543154792,19571.935988009202,24358.279999999999,25779.449999999997,27231.729999999996,"[17756.8, 20227.7, 21426.8, 21921.0, 22289.2, 22420.2, 23024.0, 23294.2, 24346.8, 24363.2, 24487.4, 24933.2, 24993.1, 25066.6, 25617.3, 25941.6, 26087.9, 26370.5, 26419.9, 26721.7, 27124.9, 27481.0, 28087.7, 28471.9, 29082.2, 32152.2, 34325.4, 35204.8, 38745.9, 38884.8]"
800,27665.253333333334,43081.920640074641,20374.376381149905,26146.400000000001,27246.849999999999,30983.599999999999,"[15503.8, 19094.1, 20736.7, 20866.4, 21650.6, 21812.6, 22872.1, 24420.8, 25904.2, 26250.2, 26283.2, 26402.3, 26489.7, 26598.4, 26635.0, 27858.7, 27959.9, 28938.2, 30352.8, 30745.7, 30853.4, 31287.4, 32013.4, 32041.3, 32411.9, 33098.2, 33253.2, 33570.1, 34384.3, 39669.0]"
900,27847.03666666667,43365.004082181382,20508.252691933252,24638.709999999995,27676.75,31177.5,"[14746.7, 16556.3, 16810.9, 17772.3, 18460.6, 20891.0, 21249.0, 22407.5, 22656.8, 25488.1, 25683.5, 25886.3, 26580.4, 27329.2, 27626.4, 27727.1, 28944.3, 29220.4, 29725.8, 30128.4, 30909.6, 31802.6, 32947.9, 34784.0, 36144.0, 36192.3, 36981.5, 37652.8, 40055.0, 42050.4]"
1000,29743.896666666671,46318.903365180842,21905.215847003386,25633.549999999999,29480.949999999997,32210.259999999998,"[18924.6, 20238.5, 20612.8, 21706.7, 22006.6, 22682.6, 23274.1, 24805.3, 25300.7, 25776.2, 26963.2, 28714.5, 29132.9, 29165.5, 29268.3, 29693.6, 30074.8, 30089.7, 31080.8, 31350.4, 32198.8, 32237.0, 32426.0, 33114.3, 33439.7, 34528.6, 35307.0, 36938.7, 42135.6, 59129.4]"
