agents,meanScore,clow,chigh,Q1,Q2,Q3,means
100,1401.8853633333338,2183.0963643061605,1032.4337063403632,280.22320000000002,615.76649999999995,983.47409999999991,"[51.1333, 71.5333, 72.4333, 134.233, 138.167, 207.367, 215.367, 245.067, 259.667, 289.033, 375.9, 382.4, 413.667, 492.833, 587.933, 643.6, 870.933, 892.067, 917.867, 966.867, 974.433, 1004.57, 1057.47, 1503.83, 2334.93, 3015.13, 3588.57, 4109.9, 7587.03, 8652.63]"
200,7568.1646333333347,11785.580424504322,5573.6570670853798,3095.0900000000001,6594.9799999999996,9108.2609999999968,"[462.333, 515.333, 802.833, 1540.27, 1760.7, 1838.3, 2354.07, 2965.87, 3068.07, 3106.67, 4107.47, 4380.47, 4667.37, 5406.13, 6068.83, 7121.13, 7313.93, 7689.13, 8196.13, 8268.47, 8732.73, 9984.5, 10406.9, 11025.9, 11240.4, 12169.0, 16867.2, 19301.3, 19937.0, 25746.5]"
300,18773.714333333333,29235.505682269737,13826.105884186929,14161.259999999998,17790.300000000003,24227.039999999997,"[2119.03, 2861.3, 9941.63, 9970.77, 10531.9, 10612.8, 12117.7, 12496.0, 14155.8, 14163.6, 15751.9, 16019.2, 16145.1, 16644.8, 17778.9, 17801.7, 18726.7, 18914.3, 19392.5, 20549.5, 23931.3, 24917.1, 25114.2, 26430.7, 26434.9, 30723.2, 30800.7, 31352.1, 32754.8, 34057.3]"
400,22855.280000000002,35591.554044448247,16832.019262787682,19723.039999999997,22237.0,24166.039999999994,"[12254.4, 13044.2, 13548.0, 14867.6, 15850.8, 16566.5, 16869.8, 18569.1, 18908.8, 20072.0, 20907.5, 20963.3, 21277.5, 21372.4, 21627.2, 22846.8, 23051.4, 23074.1, 23262.7, 23382.6, 23717.6, 25212.4, 27195.0, 28514.4, 28558.6, 29895.4, 30285.4, 30553.1, 35830.0, 43579.8]"
500,26756.396666666667,41666.596864985302,19705.03901488502,23862.290000000001,26830.449999999997,30071.670000000002,"[17995.5, 19595.3, 19750.7, 20127.1, 20400.4, 20697.3, 20966.8, 20979.4, 23030.2, 24218.9, 25464.5, 25622.8, 25784.9, 26631.1, 26723.6, 26937.3, 27359.1, 27820.7, 27995.9, 28506.9, 30041.4, 30142.3, 30477.3, 31473.1, 31543.4, 31621.2, 32461.2, 34216.9, 36397.2, 37709.5]"
600,25999.249999999996,40487.524610948574,19147.430126344218,23254.540000000001,25437.75,27609.059999999998,"[16701.2, 18935.1, 19522.1, 19644.2, 20898.1, 22347.5, 22463.4, 22886.4, 23169.7, 23290.9, 23424.2, 24605.7, 24703.7, 25207.1, 25367.8, 25507.7, 26252.2, 26338.5, 26464.9, 27300.3, 27601.8, 27626.0, 28434.7, 28444.8, 29521.5, 30186.4, 32050.4, 33151.4, 37538.4, 40391.4]"
700,29871.766666666666,46518.029869676247,21999.387097722374,26863.400000000001,28778.800000000003,32978.490000000005,"[20027.1, 21668.9, 23700.1, 24030.6, 24899.3, 25355.8, 25887.8, 26117.8, 26418.2, 27054.2, 27766.6, 27853.3, 27906.9, 28708.4, 28715.2, 28842.4, 29378.7, 31335.0, 31623.4, 32796.5, 32964.3, 33011.6, 33073.9, 33957.7, 34414.2, 34815.7, 37215.5, 37866.8, 37921.4, 40825.7]"
800,29315.076666666671,45651.120244372876,21589.406699171093,26413.370000000003,28574.799999999999,31436.109999999997,"[18562.1, 20197.6, 20390.3, 23894.3, 24037.9, 24241.0, 24375.6, 25953.2, 26152.9, 26525.0, 26773.6, 26933.8, 27152.1, 27305.5, 27868.6, 29281.0, 29288.2, 29428.4, 29725.8, 30607.7, 31268.8, 31826.5, 32072.8, 33420.6, 33488.5, 35782.8, 38120.1, 38305.8, 42011.5, 44460.3]"
900,28987.953333333331,45141.705010889244,21348.493166369302,25417.579999999998,28075.199999999997,32002.950000000001,"[18179.3, 22169.4, 22707.9, 23396.0, 23593.2, 23937.6, 23979.9, 24293.5, 25277.3, 25477.7, 25830.4, 25838.3, 25857.4, 27331.8, 27773.6, 28376.8, 30165.1, 30390.5, 31157.1, 31854.1, 31924.5, 32186.0, 32334.5, 32622.1, 34659.8, 34811.6, 36182.8, 37636.2, 38139.5, 41554.7]"
1000,28884.883333333335,44981.198490060742,21272.586145085141,24899.120000000003,27960.349999999999,31577.049999999999,"[20346.6, 20806.2, 20966.8, 21210.1, 21646.2, 22898.6, 23957.4, 24552.2, 24871.4, 24911.0, 25154.3, 25335.0, 25662.1, 25806.0, 27431.2, 28489.5, 28505.1, 29713.5, 30108.0, 30630.7, 31551.7, 31636.2, 31879.2, 32341.9, 32550.9, 37060.9, 39480.3, 40438.8, 42906.8, 43697.9]"
