agents,meanScore,clow,chigh,Q1,Q2,Q3,means
100,2073.7417233333335,3229.3496566327594,1527.2296219163879,310.26999999999998,557.28300000000002,1662.2289999999975,"[65.3667, 104.733, 131.8, 132.5, 182.433, 192.133, 254.1, 273.467, 290.6, 318.7, 339.6, 359.367, 486.433, 508.333, 538.433, 576.133, 606.0, 641.7, 814.7, 1075.43, 1398.1, 2278.53, 2515.8, 3205.6, 3799.63, 4714.8, 5490.83, 7964.2, 8355.4, 14597.4]"
200,7955.179900000001,12388.262814726329,5858.678664874873,3143.1589999999997,6903.6999999999998,9704.6309999999976,"[532.767, 659.7, 1392.73, 1687.83, 1938.57, 2667.57, 2779.53, 2782.13, 3029.5, 3191.87, 4836.6, 5305.27, 5726.83, 6305.5, 6530.53, 7276.87, 8017.93, 8061.07, 8590.37, 9338.3, 9465.03, 10263.7, 11845.3, 12304.3, 12722.9, 13925.3, 14878.0, 16109.4, 19203.5, 27286.5]"
300,19094.126666666667,29734.470161302201,14062.077028128346,15195.039999999997,19287.75,21980.299999999996,"[4663.37, 9356.23, 10247.9, 10524.6, 11483.4, 12201.9, 12553.0, 12602.1, 14494.2, 15495.4, 15924.3, 16126.5, 18316.4, 18598.8, 19271.8, 19303.7, 19321.6, 19542.0, 20201.3, 21146.6, 21628.1, 22802.1, 23108.6, 23312.0, 24909.9, 27330.2, 28105.6, 28639.3, 28757.2, 42855.7]"
400,25222.063333333335,39277.244918497163,18575.062562082701,21491.079999999998,25819.599999999999,27874.919999999998,"[16134.3, 16420.0, 16797.4, 17357.5, 18007.1, 19594.7, 20398.8, 20555.4, 20835.6, 21772.0, 23290.9, 23394.5, 23447.1, 24309.8, 25213.6, 26425.6, 27152.6, 27375.6, 27582.7, 27583.8, 27771.0, 28117.4, 29701.9, 29844.5, 30556.7, 31094.5, 31910.3, 33143.2, 34914.3, 35959.1]"
500,27932.173333333336,43497.583786863666,20570.952515050838,24011.360000000001,27901.400000000001,30017.82,"[14847.8, 18235.9, 18386.0, 19090.1, 19512.6, 20885.4, 21165.9, 22538.5, 23560.0, 24204.8, 24521.4, 25642.1, 26258.0, 27247.9, 27644.2, 28158.6, 28928.1, 28933.6, 28948.1, 29860.3, 29886.0, 30325.4, 30332.0, 31500.9, 33820.2, 36653.8, 38996.8, 40368.4, 42923.2, 44589.2]"
600,27347.246666666666,42586.70240327502,20140.176916561053,24423.610000000001,27517.950000000001,29365.25,"[17270.3, 19261.6, 19729.1, 20533.0, 20604.2, 22748.7, 23130.0, 23463.8, 24006.2, 24602.5, 25218.9, 25228.9, 26978.4, 27155.4, 27297.2, 27738.7, 27846.9, 27929.4, 28576.4, 28885.5, 29265.5, 29598.0, 30038.8, 30926.8, 31556.3, 33731.5, 34680.1, 35297.0, 38268.6, 38849.7]"
700,28111.240000000002,43776.436679684302,20702.828107152811,26331.18,27619.900000000001,30055.119999999999,"[14774.3, 17904.2, 22217.6, 23212.1, 23856.6, 24656.1, 25202.7, 25346.8, 25420.9, 26721.3, 26934.9, 27077.0, 27241.9, 27542.6, 27589.5, 27650.3, 28110.3, 28206.0, 28492.2, 29349.6, 29952.1, 30295.5, 30645.2, 30699.7, 31854.4, 34196.6, 34316.5, 35550.0, 37984.5, 40335.8]"
800,26270.673333333332,40910.20060692227,19347.322789004083,23361.269999999997,25354.200000000001,28671.0,"[16867.7, 19381.3, 19716.9, 20172.5, 20588.4, 21920.9, 22029.1, 22734.5, 22853.7, 23578.8, 24353.5, 24375.0, 24608.8, 24637.7, 24849.2, 25859.2, 26102.1, 26106.2, 26123.2, 26928.6, 28596.3, 28845.3, 29733.4, 30913.7, 31357.6, 32181.0, 33139.7, 34834.0, 35967.7, 38764.2]"
900,26752.306666666664,41660.22768219508,19702.026889950004,24257.419999999998,27154.0,28970.389999999999,"[13561.6, 15849.4, 20476.2, 21989.7, 22219.5, 22401.8, 22990.5, 23699.4, 23841.2, 24435.8, 25031.2, 25774.8, 26338.0, 26698.0, 26716.6, 27591.4, 27810.6, 27966.9, 28438.3, 28758.1, 28865.6, 29214.9, 29332.6, 30476.0, 31252.7, 31542.7, 31606.1, 34031.4, 34445.4, 39212.8]"
1000,28622.753333333338,44572.994606246102,21079.537658724243,26292.66,28320.400000000001,31493.760000000002,"[19272.7, 21019.8, 21542.2, 21992.8, 22155.7, 22933.8, 23049.8, 25179.5, 25592.8, 26592.6, 26701.6, 27404.6, 27466.2, 28201.8, 28263.2, 28377.6, 28743.6, 29016.8, 29147.2, 31360.3, 31425.0, 31654.2, 31697.6, 31699.1, 32480.4, 33396.5, 34970.4, 37647.9, 39564.2, 40132.7]"
