agents,meanScore,clow,chigh,Q1,Q2,Q3,means
13,1.4422217666666666,2.2459105271252979,1.0621398888022815,0.20333299999999993,0.5,1.3333299999999999,"[0.0, 0.0, 0.0, 0.0333333, 0.0666667, 0.1, 0.1, 0.1, 0.133333, 0.233333, 0.233333, 0.266667, 0.366667, 0.433333, 0.5, 0.5, 0.666667, 1.0, 1.13333, 1.16667, 1.33333, 1.33333, 1.7, 1.73333, 2.66667, 3.33333, 4.63333, 5.1, 5.43333, 8.96667]"
26,1.8655561966666667,2.9051512034250719,1.3739091290111629,0.2933330999999999,0.91666499999999995,2.7566689999999983,"[0.0, 0.0333333, 0.0333333, 0.0333333, 0.0333333, 0.0666667, 0.133333, 0.166667, 0.2, 0.333333, 0.433333, 0.433333, 0.666667, 0.7, 0.7, 1.13333, 1.13333, 1.56667, 1.66667, 2.0, 2.56667, 3.2, 3.23333, 3.56667, 3.96667, 4.56667, 5.06667, 5.36667, 6.46667, 6.5]"
39,3.952224366666667,6.1546306648617684,2.9106585730121077,0.66999999999999993,1.05,3.0466679999999964,"[0.0, 0.0333333, 0.0666667, 0.1, 0.366667, 0.4, 0.4, 0.566667, 0.6, 0.7, 0.8, 0.866667, 0.933333, 0.966667, 1.03333, 1.06667, 1.16667, 1.3, 1.93333, 2.13333, 2.66667, 3.93333, 4.5, 5.0, 5.33333, 6.66667, 12.1667, 14.8333, 20.1667, 27.8667]"
52,5.0477778566666665,7.8606894507492679,3.7174908431524978,0.89999999999999991,2.1333299999999999,4.9766689999999993,"[0.0, 0.0666667, 0.1, 0.233333, 0.3, 0.633333, 0.7, 0.733333, 0.9, 0.9, 1.3, 1.33333, 1.36667, 1.46667, 1.53333, 2.73333, 2.8, 3.3, 4.53333, 4.8, 4.96667, 5.0, 6.56667, 8.06667, 8.2, 9.06667, 9.13333, 12.8, 25.2, 32.7]"
65,7.2022198533333324,11.215710205690387,5.3041530581177962,1.3366679999999997,3.3666700000000001,8.2199989999999943,"[0.0, 0.0333333, 0.0333333, 0.233333, 0.433333, 0.5, 0.7, 0.933333, 1.03333, 1.46667, 2.1, 2.23333, 2.93333, 3.06667, 3.26667, 3.46667, 4.13333, 5.6, 6.1, 6.7, 7.7, 9.43333, 10.6, 11.8, 12.4333, 17.1667, 19.1667, 20.3333, 22.9333, 39.5333]"
78,8.1255542133333325,12.653579475943738,5.9841526789281181,2.5433299999999996,4.1999999999999993,9.2699899999999928,"[0.0666667, 0.0666667, 0.133333, 0.9, 1.26667, 1.26667, 1.66667, 2.13333, 2.33333, 2.63333, 3.26667, 3.53333, 3.56667, 3.6, 4.1, 4.3, 5.63333, 6.83333, 7.83333, 8.2, 8.6, 10.8333, 12.5, 14.6667, 15.8333, 18.5333, 20.6, 24.0667, 25.2, 29.6]"
91,9.3311124433333319,14.530943957882894,6.8719991349668188,3.2033309999999995,7.3333349999999999,11.926689999999999,"[0.0, 0.0333333, 0.133333, 0.966667, 1.0, 1.83333, 1.86667, 2.73333, 2.9, 3.33333, 3.5, 3.76667, 4.06667, 5.63333, 7.3, 7.36667, 7.96667, 8.96667, 10.1, 11.1, 11.7667, 12.3, 13.0333, 14.6667, 15.7333, 19.5667, 20.8, 24.8667, 29.2333, 33.4]"
104,14.096666099999998,21.952137683051415,10.381642899858852,4.2066679999999996,8.3000000000000007,13.883299999999998,"[0.0, 0.0, 0.233333, 1.1, 2.4, 2.43333, 2.5, 3.43333, 3.83333, 4.36667, 4.83333, 5.36667, 5.83333, 7.93333, 8.16667, 8.43333, 8.43333, 10.1, 11.1, 12.7667, 13.7333, 14.2333, 15.2, 23.7, 25.2, 30.6667, 37.4, 38.3667, 49.6333, 71.5]"
117,15.995557333333334,24.909200119202374,11.780101978785268,6.2266699999999995,10.183335,19.803309999999996,"[0.0, 0.0, 0.366667, 0.733333, 2.16667, 3.3, 3.6, 3.9, 5.66667, 6.46667, 7.1, 8.5, 8.76667, 9.56667, 9.96667, 10.4, 11.5667, 12.4667, 12.9, 15.1667, 19.3333, 20.9, 23.0, 29.4667, 30.3333, 31.0, 31.3667, 39.7333, 42.5333, 79.6]"
130,17.618890876666665,27.437148301841745,12.975623603167733,5.0233299999999996,10.383335000000001,23.919989999999995,"[0.0, 0.0333333, 0.633333, 1.26667, 2.1, 3.43333, 3.66667, 4.0, 4.53333, 5.23333, 6.03333, 6.9, 7.7, 9.43333, 9.96667, 10.8, 11.5667, 17.2333, 21.9667, 22.4333, 23.4, 25.1333, 25.4333, 29.3, 34.0667, 37.2667, 40.8667, 43.9667, 48.4, 71.8]"
143,21.104451009999998,32.865062633265715,15.542602231557824,5.0900009999999991,15.166700000000001,32.39669,"[0.0, 0.0333333, 0.766667, 2.53333, 2.6, 3.13333, 3.63333, 3.73333, 4.36667, 5.4, 6.36667, 8.76667, 10.9, 12.3, 12.4667, 17.8667, 20.5667, 22.8667, 24.5667, 31.8667, 32.2667, 32.7, 32.9667, 33.2, 39.9667, 41.4333, 42.4, 46.6, 53.6333, 83.2333]"
156,27.614447766666672,43.002803295120849,20.336960069610942,8.1233319999999978,23.199999999999999,40.223319999999994,"[0.0, 0.1, 0.533333, 2.56667, 2.9, 3.46667, 4.83333, 6.13333, 6.46667, 8.83333, 8.9, 10.8667, 13.5333, 19.0, 21.2, 25.2, 27.0667, 34.1667, 35.4667, 37.7333, 40.0333, 40.6667, 40.7, 43.9667, 52.1, 54.3333, 59.0667, 66.3, 79.7, 82.6]"
169,28.000003110000002,43.603212208919949,20.620906491000547,10.749998999999995,26.433349999999997,40.30668,"[0.0, 0.0333333, 0.7, 3.53333, 3.76667, 5.06667, 5.63333, 6.73333, 8.53333, 11.7, 12.2667, 12.5667, 14.6667, 22.9333, 26.4, 26.4667, 28.4333, 29.5, 35.3, 38.2333, 39.8667, 41.3333, 49.7333, 50.4, 53.8667, 55.9667, 57.7333, 57.9, 64.0667, 76.6667]"
182,33.716661000000002,52.5055200452517,24.831001301619676,9.0966679999999993,32.166649999999997,50.086679999999987,"[0.0, 0.0, 0.8, 3.66667, 5.13333, 6.1, 6.73333, 6.8, 8.23333, 9.46667, 12.2, 12.3333, 24.1, 26.0, 30.7, 33.6333, 38.2333, 42.7667, 44.2, 47.0, 48.8667, 52.9333, 59.0333, 59.3333, 60.6333, 62.5333, 64.4667, 65.2667, 74.1333, 106.2]"
195,34.902217766666666,54.351737100285717,25.704117462684493,11.533309999999998,37.333299999999994,51.749989999999997,"[0.0333333, 0.0666667, 0.633333, 4.96667, 5.2, 7.1, 7.73333, 8.4, 10.6, 11.9333, 14.2667, 17.9, 19.5333, 28.3333, 36.0333, 38.6333, 40.4667, 45.4667, 45.6333, 46.1667, 51.5, 52.3333, 53.2667, 53.5333, 55.2, 58.0333, 72.9, 74.8, 87.0667, 99.3333]"
208,35.619996776666667,55.469503779424436,26.232733612770808,11.879989999999999,39.200000000000003,50.843319999999999,"[0.0, 0.0333333, 1.1, 3.66667, 4.8, 5.7, 10.8, 11.6333, 11.8333, 11.9, 13.5333, 31.7333, 34.8, 37.1, 38.5667, 39.8333, 42.0, 43.8, 47.1333, 49.5667, 50.2333, 52.2667, 52.6333, 60.0, 62.6, 63.2667, 66.1667, 70.9, 71.3, 79.7]"
221,39.63444543333334,61.721033680717028,29.189217940177233,13.316679999999998,45.649999999999999,56.700009999999992,"[0.0, 0.0, 0.833333, 4.96667, 5.63333, 7.83333, 10.2333, 11.9, 12.0333, 13.8667, 15.4333, 27.9667, 31.1667, 32.5333, 45.1333, 46.1667, 50.8333, 51.3, 52.7, 53.6333, 56.2, 57.8667, 63.4, 66.2667, 69.7333, 71.7667, 72.2667, 73.5667, 78.5, 105.3]"
234,43.501126776666666,67.742451838967881,32.036877424289798,16.469989999999999,48.566649999999996,62.696689999999997,"[0.0, 0.0333333, 1.1, 7.03333, 7.76667, 9.86667, 10.9, 15.0667, 15.2333, 17.0, 23.8667, 38.5667, 39.1667, 40.3667, 43.6, 53.5333, 54.5333, 56.7, 58.1333, 59.0, 62.5667, 63.0, 63.3, 64.5, 68.2667, 73.2667, 77.8, 78.2, 87.8, 114.867]"
