agents,meanScore,clow,chigh,Q1,Q2,Q3,means
6,304.99000655666663,474.94794644293233,224.6132038338429,0.5,2.4166650000000001,18.053299999999943,"[0.0, 0.0, 0.0, 0.0666667, 0.1, 0.133333, 0.166667, 0.4, 0.5, 0.5, 0.666667, 0.733333, 1.4, 1.9, 2.13333, 2.7, 4.86667, 5.23333, 7.0, 11.7, 11.9333, 32.3333, 34.1333, 38.6, 38.7333, 56.8, 79.5, 136.0, 365.067, 8316.4]"
12,648.68664110999998,1010.172075991988,477.73232437653616,2.6266679999999996,13.199999999999999,56.933300000000003,"[0.0, 0.0, 0.0333333, 0.4, 0.433333, 0.766667, 1.5, 2.0, 2.53333, 2.66667, 3.63333, 3.9, 4.3, 8.26667, 10.8667, 15.5333, 30.3, 30.4333, 32.2667, 40.7333, 56.9333, 56.9333, 94.1, 153.367, 183.833, 269.833, 405.833, 2990.87, 4824.13, 10234.2]"
18,1061.6765543433332,1653.303676946173,781.88323282659564,38.326679999999996,153.53299999999999,297.29009999999965,"[0.0333333, 0.166667, 1.36667, 2.53333, 4.43333, 25.0333, 29.7333, 33.1667, 37.5333, 38.6667, 51.7667, 52.5, 70.2, 85.0333, 153.533, 153.533, 167.5, 174.167, 177.867, 205.533, 262.8, 377.767, 396.5, 525.233, 695.567, 1235.2, 1432.53, 1789.4, 6339.7, 17331.3]"
24,499.69436566666678,778.15275163250897,368.0053444284124,95.719999999999999,172.0,337.42009999999999,"[0.1, 1.26667, 15.7333, 36.7333, 49.0667, 67.3667, 73.1, 81.9333, 83.4, 101.0, 115.7, 115.7, 121.267, 128.467, 158.3, 185.7, 214.467, 215.7, 238.733, 255.667, 335.6, 341.667, 501.1, 698.9, 706.933, 887.8, 919.9, 1429.6, 1526.5, 5383.43]"
30,2369.7565533333332,3690.320942913354,1745.2329594659966,188.7901,555.79999999999995,1478.2689999999986,"[0.3, 2.1, 13.7333, 34.1333, 59.8667, 99.6333, 133.333, 156.1, 182.467, 191.5, 304.0, 353.9, 391.033, 423.1, 546.3, 565.3, 664.067, 705.067, 824.533, 1168.03, 1351.87, 1773.2, 2498.0, 2498.0, 5919.5, 6465.23, 6727.1, 11769.9, 12027.3, 13244.1]"
36,3500.1534343333337,5450.6398574830819,2577.7260234576479,626.73299999999983,1432.72,2607.3689999999997,"[1.13333, 3.0, 20.4667, 45.8, 68.7, 201.533, 406.067, 459.8, 474.133, 692.133, 776.567, 1051.3, 1114.47, 1386.97, 1386.97, 1478.47, 1520.6, 1869.97, 2007.53, 2412.63, 2551.5, 2737.73, 2934.07, 3542.13, 7125.8, 7402.93, 13261.5, 14600.3, 14774.1, 18696.3]"
42,4152.0868776666666,6465.8680402829241,3057.8494906058154,508.79319999999996,1023.62,3867.8189999999977,"[4.7, 9.03333, 29.5667, 43.3333, 133.533, 274.467, 297.467, 315.067, 416.067, 548.533, 725.533, 725.533, 740.133, 1001.17, 1013.77, 1033.47, 1273.83, 1305.0, 1457.43, 2866.67, 3611.67, 4465.5, 6168.2, 8463.93, 10506.3, 11319.3, 12297.0, 12839.1, 16583.8, 24093.5]"
48,5322.5943333333325,8288.6494443081538,3919.8824230843461,1377.2379999999998,2402.335,6496.8999999999996,"[46.7333, 68.3667, 110.0, 162.6, 633.933, 718.767, 748.0, 1124.93, 1289.43, 1414.87, 1587.97, 1942.67, 1942.67, 2096.8, 2396.57, 2408.1, 2745.73, 2996.1, 5663.83, 6290.93, 6400.0, 6723.0, 8730.33, 10333.4, 10901.5, 11782.5, 12472.6, 16649.8, 17779.2, 21516.5]"
54,6625.1317900000013,10317.035545194683,4879.150284213847,2309.5010000000002,4016.3000000000002,10037.93,"[44.6667, 536.067, 1005.03, 1570.73, 1673.23, 1729.07, 1740.33, 2013.2, 2267.2, 2327.63, 2371.8, 2872.07, 3005.2, 3517.83, 3674.1, 4358.5, 4834.53, 7276.17, 9180.87, 9800.73, 10001.0, 10124.1, 11226.0, 11226.0, 11505.3, 13445.3, 14828.2, 14936.4, 16554.7, 19108.0]"
60,7675.9269999999997,11953.394168075798,5653.0198327805238,2351.3209999999999,4177.4650000000001,11050.639999999996,"[117.733, 228.3, 844.967, 1317.03, 1669.47, 1696.6, 1779.17, 2041.8, 2130.17, 2446.1, 3041.13, 3386.0, 3552.2, 3604.27, 3881.03, 4473.9, 5592.9, 5592.9, 5604.27, 8254.77, 10741.1, 11772.9, 11781.4, 13066.8, 15294.1, 16846.8, 17707.7, 21218.2, 23042.6, 27551.5]"
66,8880.8022000000001,13829.694996488986,6540.363263955076,3964.2400000000002,7788.6000000000004,11800.789999999999,"[199.633, 408.033, 892.1, 1137.07, 1333.47, 1439.9, 3378.73, 3961.23, 3961.23, 3965.53, 4171.27, 5401.43, 7539.57, 7686.27, 7714.77, 7862.43, 10199.9, 10910.0, 11365.8, 11399.0, 11732.3, 11960.6, 12450.4, 13270.3, 13345.8, 16750.1, 17550.9, 18654.4, 20310.3, 25471.6]"
72,9587.7694333333329,14930.624956342348,7061.0169636527562,5949.0289999999995,8226.4799999999996,12197.759999999991,"[137.933, 1217.93, 2023.97, 2133.9, 2783.5, 2940.6, 3722.0, 4652.3, 5945.13, 5950.7, 6615.8, 6615.8, 7244.33, 7825.0, 8009.73, 8443.23, 8551.63, 8702.1, 10001.0, 10966.5, 11338.8, 14202.0, 16024.2, 16376.6, 16529.0, 17886.1, 18926.7, 19892.8, 20293.9, 21679.9]"
78,10435.994999999997,16251.530501927411,7685.7018976077234,5951.3399999999992,9926.0649999999987,12977.16,"[841.1, 1734.1, 1866.73, 2134.3, 2218.3, 3001.13, 3710.97, 4232.37, 5645.93, 6082.23, 6815.3, 8060.73, 8060.73, 8575.8, 9775.63, 10076.5, 10455.6, 10722.6, 11738.1, 11927.2, 12948.0, 13045.2, 14073.4, 17650.8, 18176.7, 18493.1, 18805.4, 19549.1, 20691.6, 31971.2]"
84,12232.565000000002,19049.25243968685,9008.8053925964759,7038.5389999999989,10665.200000000001,16421.809999999998,"[1618.57, 1677.3, 2296.87, 2645.73, 3221.57, 3706.0, 3726.2, 5091.27, 6203.6, 7396.37, 8365.97, 8443.87, 9267.53, 10344.0, 10452.6, 10877.8, 10877.8, 12336.3, 12843.0, 15111.9, 16197.8, 16944.5, 17651.3, 18704.9, 18777.4, 19712.8, 22082.1, 25986.0, 26575.4, 37840.5]"
90,13053.312666666667,20327.367821997694,9613.2539285680923,7474.4290000000001,12636.049999999999,16295.470000000001,"[1030.03, 3219.47, 4317.03, 5645.53, 6049.07, 6122.63, 6122.63, 6587.23, 6984.03, 7684.6, 8409.43, 8846.9, 10786.7, 11886.6, 12467.8, 12804.3, 13456.9, 14481.8, 14741.4, 15175.4, 16257.7, 16383.6, 16801.8, 18705.2, 18925.9, 20937.8, 23295.9, 25404.7, 26242.3, 31825.0]"
96,13278.439,20677.947471849358,9779.0506625931157,7205.6119999999983,12383.4,14869.509999999995,"[1135.47, 1180.4, 3784.8, 3818.0, 4088.07, 4331.2, 4331.2, 5019.13, 5081.07, 8116.13, 8471.87, 8605.3, 9691.23, 11250.7, 11934.4, 12832.4, 12975.0, 13858.3, 14271.1, 14335.5, 14422.3, 15913.0, 16190.2, 20428.6, 24176.3, 26488.3, 26515.1, 28453.0, 31909.0, 34746.1]"
102,13333.695333333335,20763.995806156854,9819.7447895982405,8026.3179999999993,12020.450000000001,16089.349999999999,"[1114.3, 2440.67, 2589.5, 3769.2, 5431.73, 5605.53, 5605.53, 6590.93, 7336.93, 8321.77, 9584.87, 10432.3, 10705.5, 10758.3, 11032.4, 13008.5, 13012.3, 13087.6, 15237.7, 15695.7, 15936.5, 16446.0, 17271.7, 18930.4, 19954.4, 24144.2, 24676.2, 28982.2, 30564.9, 31743.1]"
108,14967.834333333332,23308.770866214774,11023.224209936672,10962.050000000001,15705.599999999999,17753.389999999999,"[1571.87, 3038.47, 3328.83, 5322.73, 6360.47, 7280.93, 8520.93, 10041.0, 10814.7, 11025.2, 12925.8, 12925.8, 13520.3, 14757.7, 15679.4, 15731.8, 15760.5, 16658.5, 16762.3, 16781.4, 17725.1, 17819.4, 19154.6, 19984.2, 20421.7, 21941.6, 22981.5, 25274.2, 29771.2, 35152.9]"
114,14724.921333333335,22930.492797969753,10844.32829200517,11527.629999999997,16869.799999999999,17464.209999999999,"[4395.07, 4939.1, 5865.73, 6057.37, 6097.8, 9277.4, 9321.87, 10028.2, 10053.5, 12159.4, 12392.0, 12727.8, 13313.9, 15789.7, 16829.1, 16910.5, 16918.8, 16918.8, 17216.0, 17355.8, 17369.5, 17685.2, 18871.2, 18952.7, 19502.0, 19826.4, 19975.8, 22168.3, 23957.3, 28871.4]"
120,17326.683333333334,26982.105940919297,12760.424183247324,12679.799999999999,18114.849999999999,22268.989999999998,"[2812.27, 4493.4, 4917.87, 6610.33, 9250.33, 10530.7, 10530.7, 12131.2, 12226.9, 12873.9, 14930.5, 15345.8, 15432.8, 15597.6, 17440.1, 18789.6, 19437.5, 19449.6, 19518.5, 21963.9, 22142.0, 22565.3, 23887.9, 24113.7, 24276.4, 24764.8, 24923.6, 27941.7, 28814.9, 32086.7]"
126,15531.043333333333,24185.832252547367,11438.00559686238,11128.76,16817.75,20601.459999999999,"[2181.2, 3093.6, 5186.4, 5885.5, 9467.57, 9511.63, 10232.8, 10664.8, 10664.8, 11327.6, 11706.4, 12323.0, 12643.7, 15404.6, 16644.8, 16990.7, 17609.8, 18628.1, 19770.1, 19887.7, 20545.3, 20732.5, 20750.5, 21174.2, 22260.2, 22402.8, 22871.5, 23675.4, 24432.3, 27261.8]"
