generation,agents,minScore,maxScore,meanScore,standardDeviation,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21
0,100,0,3,0.2,0.610257,-1.45821,0.195118,0.83278,1.57875,-3.18296,3.11029,1.35678,1.30957,2.10326,6.39398,2.09243,-2.3814,-2.58262,-7.43383,-2.13445,-0.679498,-3.22422,-0.543153,5.13445,-1.98033,-3.02386,-5.39674
1,200,1,19,5.56667,4.1745,-5.10374,8.7641,-5.23772,0.942019,-2.92735,0.335485,-0.338397,-5.60854,-1.10303,-1.01244,5.49908,-2.96623,-0.524898,-4.3048,-6.23291,-0.348443,-1.45686,-3.25655,1.30823,-0.0751843,-3.09675,-9.62715
2,300,0,11,3.8,2.74678,-6.12524,8.69097,-3.95468,-1.31979,-2.46864,1.04977,0.665363,-8.66465,0.625778,-1.56635,1.72282,-7.34171,1.09235,-6.03327,-4.63559,-1.66091,-5.70015,-2.65357,9.64576,0.067217,-0.924383,-12.2835
3,400,0,19,7.63333,5.00678,-5.76334,3.38393,-0.569367,-0.306004,-2.45758,0.421861,1.16251,-8.23354,-2.3342,-3.81377,3.03192,-8.3957,1.96454,-10.0082,-9.97638,-1.45052,-5.9193,-9.76998,4.30813,-4.11303,-1.06293,-13.9257
4,500,5,49,21.8333,10.4257,-3.71837,2.04951,-2.2856,-2.59271,-5.46417,-3.53977,1.68909,-8.34952,-2.77093,-4.41082,-0.883672,-10.1212,0.678563,-9.91775,-13.4064,-2.27403,-5.29114,-9.23234,-3.27752,-8.23359,-1.13685,-16.6361
5,600,12,72,41.7,12.3544,-2.29544,0.253144,-2.71852,-1.67157,-6.20842,-7.6245,2.66707,-7.46429,-6.0508,-5.7224,0.0545135,-9.87896,0.137374,-10.9306,-13.9872,-6.49393,-6.27253,-9.04685,-4.82564,-15.866,-3.92888,-18.7726
6,700,32,177,79.2333,30.4197,-1.82723,-1.65913,-2.33972,-2.00385,-4.34047,-9.54282,0.865514,-5.97449,-2.48508,-3.19628,-3.17822,-6.7666,-1.67394,-11.5464,-12.64,-10.0305,-7.70355,-9.69133,-5.80162,-18.9201,-7.7832,-21.0732
7,800,19,107,58.3667,24.4942,-2.12476,-2.16475,-2.77146,-1.83529,-5.50057,-8.54582,0.87291,-6.64624,-3.24017,-3.11005,-2.24719,-6.56438,-2.08299,-12.7524,-14.3762,-11.6095,-8.27194,-8.66128,-6.30222,-13.4276,-11.4609,-22.0345
8,900,19,241,84.1333,45.311,0.794744,-2.44558,-4.35105,-2.89928,-5.71245,-10.2157,0.910124,-5.32975,-4.8101,-4.35406,-0.214995,-5.98321,-2.86504,-12.9997,-16.1063,-11.7325,-10.1141,-10.3645,-4.70326,-15.1927,-12.9744,-24.3639
9,1000,39,193,71.5667,29.3912,-0.265153,-3.10283,-5.81284,-4.07785,-6.12958,-10.4516,2.62191,-5.00004,-5.59352,-5.88691,0.286313,-5.29259,-1.3741,-12.9495,-14.6059,-11.4181,-9.0709,-12.4335,-3.88285,-16.5515,-14.7742,-25.2141
10,1100,33,255,93.9,49.7486,0.213716,-1.33629,-5.80696,-6.44381,-5.95522,-10.0337,2.10894,-5.85931,-4.00541,-8.54333,-0.494775,-6.20057,-2.62028,-10.7431,-13.0856,-10.6327,-6.96578,-12.1122,-5.64281,-14.9816,-13.9254,-25.4089
11,1200,20,224,94.6,45.4264,-0.276565,-0.680418,-4.93461,-6.9181,-3.5662,-8.98451,1.23348,-5.26832,-3.3314,-9.34517,0.253449,-4.75551,-1.46941,-10.1849,-12.3351,-11.3874,-9.26863,-12.3515,-7.68707,-13.8631,-13.2873,-26.9011
