generation,agents,minScore,maxScore,meanScore,standardDeviation,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21
0,100,0,5,2.13333,1.67607,5.03841,-0.812073,0.643301,-0.15927,2.42954,-2.61374,-3.34588,-4.57877,0.364845,-3.9604,1.55258,-2.20427,0.876129,3.44506,5.14216,-1.65282,-2.70684,0.0228028,-3.45514,-0.449854,3.48391,-3.52777
1,200,0,5,1.3,1.66402,7.0893,-3.78424,0.794581,-4.3965,4.31795,-3.45115,-8.34139,-7.9889,2.70161,-13.2167,5.02983,-6.32508,0.985772,5.5906,3.89555,-4.07299,-2.08874,-5.89856,-6.191,3.29088,6.54074,-6.6557
2,300,0,11,2.66667,2.70801,11.4808,0.255717,-2.58107,-6.93404,-0.854179,-5.83241,-15.8936,-9.29365,1.99115,-11.1067,9.00568,-10.0713,0.44218,-1.08168,0.379255,-7.70289,-3.56745,-3.51177,-5.3992,7.20418,8.3575,-8.06269
3,400,5,34,14.1667,8.14982,4.25948,-2.56716,-2.51769,-5.13571,-2.6271,-5.46265,-15.1853,-11.4565,-0.133146,-12.398,11.8984,-7.80935,-1.32897,-3.96331,-4.00507,-9.48001,-5.19992,-2.21392,-5.73874,4.16778,-0.048138,-11.8007
4,500,8,72,30.8333,13.9434,5.76512,-5.91933,-5.01559,-4.05706,-3.03328,-6.51863,-14.6552,-7.43518,-1.70259,-12.3305,13.6682,-10.3782,-1.43329,-7.48077,-4.42395,-9.78348,-5.51721,-2.11782,-9.06796,1.31288,-6.97861,-14.19
5,600,32,144,65.3333,30.1529,10.5069,-5.53678,-6.29053,-6.10802,-3.28654,-6.14999,-15.6498,-4.14813,-5.87761,-14.4323,9.52286,-8.41459,-2.69041,-6.94547,-5.78645,-10.1437,-5.86058,-2.30084,-9.60042,-0.201953,-12.3555,-15.3993
6,700,22,159,72.2333,36.5322,14.3948,-7.06334,-4.48575,-6.85865,-5.05819,-4.3753,-13.5626,-7.62953,-9.24589,-13.2312,6.31179,-10.0565,-2.58667,-7.86398,-5.96136,-11.0097,-5.40689,-4.41047,-9.31747,-2.48578,-18.0648,-16.0029
7,800,36,164,77.1667,32.7899,13.4305,-6.33883,-3.58467,-9.25546,-10.2791,-2.99376,-11.873,-7.44014,-10.3066,-13.9519,5.96881,-9.41627,-4.5599,-7.09616,-6.23191,-8.63542,-6.21721,-5.16749,-11.1103,-6.15936,-15.7603,-19.1389
8,900,27,263,108.3,54.0026,12.8337,-5.49741,-4.928,-8.24277,-9.48119,-2.83442,-8.68142,-7.07803,-11.8435,-13.6612,2.82495,-7.88184,-4.97497,-5.89246,-7.1051,-9.63736,-8.31437,-6.50068,-10.5545,-7.29107,-15.7011,-21.4494
9,1000,18,200,100.167,51.5759,12.2727,-5.7218,-6.10813,-7.71369,-9.68094,-3.00859,-8.52753,-7.61347,-11.7588,-13.5118,3.44367,-7.94613,-5.3408,-6.78829,-7.3674,-8.68073,-7.51975,-6.31513,-11.5789,-5.34454,-14.3337,-22.723
10,1100,28,224,94.7,46.6906,12.7789,-3.76782,-7.15427,-9.12546,-10.7952,-4.61767,-6.85611,-9.20237,-11.44,-11.8978,2.07943,-8.1525,-8.1294,-5.09679,-10.504,-8.80882,-6.33404,-7.08071,-11.5427,-6.58823,-14.211,-23.0932
11,1200,26,246,119.433,54.7267,12.4707,-4.27193,-9.02199,-10.7012,-10.2405,-5.02972,-6.70958,-10.4621,-10.0883,-12.1656,0.192029,-7.3456,-8.57276,-4.27891,-9.63376,-10.5835,-5.38904,-5.62473,-10.5572,-6.57246,-14.0744,-25.4039
12,1300,42,425,142.833,87.8502,10.9248,-1.86244,-9.77446,-11.7453,-10.9206,-4.72543,-7.9778,-10.6966,-9.98944,-12.6852,2.34013,-8.45957,-6.65272,-4.35001,-10.0332,-10.1671,-5.39322,-6.0806,-8.15186,-7.624,-15.8012,-29.0146
13,1400,44,253,129.767,55.5857,10.9173,-2.59637,-9.82199,-11.5296,-9.91876,-4.72322,-9.3698,-11.414,-9.59898,-13.2644,2.45663,-9.48446,-8.03441,-4.91383,-8.96937,-10.6092,-7.25088,-7.19382,-8.48311,-9.12348,-16.1998,-30.8231
14,1500,35,537,177.767,125.966,9.15238,-2.46728,-10.8552,-10.9122,-9.7794,-5.61123,-9.40004,-10.5023,-11.442,-12.316,-0.542312,-9.67382,-6.21551,-5.71601,-10.08,-10.7727,-11.4457,-8.84241,-9.32216,-8.93535,-13.7953,-31.6055
15,1600,30,493,154.8,87.0439,9.78749,-2.04408,-10.1023,-8.2641,-11.0159,-6.71503,-9.10709,-11.6669,-12.2303,-12.2143,-1.14903,-8.89456,-6.77321,-5.78699,-10.6743,-10.0119,-11.3569,-7.03405,-10.4312,-8.67922,-17.0966,-34.5914
16,1700,26,576,167.6,122.841,10.6828,-2.54614,-11.0739,-8.78214,-9.65764,-6.19223,-8.37056,-11.6682,-10.3539,-12.9191,-0.608125,-7.99187,-6.7281,-4.81222,-7.85068,-9.4356,-11.9968,-9.40864,-10.6016,-9.54198,-15.4208,-36.6952
