generation,agents,minScore,maxScore,meanScore,standardDeviation,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21
0,100,0,4,1.13333,1.22428,0.884296,-2.20432,7.9767,-0.687827,-3.93608,-0.947933,0.229846,-0.786689,-0.323061,-4.23659,-0.0631593,-6.47137,1.57532,-3.26776,-2.79942,1.15971,0.248772,-2.28575,1.54249,2.28109,-0.348156,-3.77814
1,200,0,14,3.03333,3.43896,2.77396,-5.84146,6.42091,-1.43241,-7.69067,-6.65445,-0.976843,-1.27924,-6.23274,-7.54158,-0.982406,-8.0223,2.44725,-1.30668,-7.46324,-4.1832,0.587549,-3.4422,0.119507,6.90323,-0.744623,-9.34153
2,300,1,31,9.73333,7.08049,4.32172,-7.37922,1.96262,-5.04219,-4.17179,-18.0103,-8.28028,0.789672,-8.6571,-8.55497,1.3412,-10.9075,1.3238,-1.33976,-14.5653,-3.11309,-2.9004,-7.42944,0.68587,0.488035,-6.17153,-10.5163
3,400,1,59,19.1333,12.5883,4.91339,-8.25625,-0.475349,-5.23301,-4.65791,-20.3708,-9.10052,-0.790961,-13.0999,-9.23017,2.91655,-12.6476,2.52627,-7.87329,-12.8192,-4.79975,-4.26642,-10.4204,-0.664191,-0.304661,-6.81713,-15.6225
4,500,1,32,14.1667,6.7266,5.38948,-3.71119,-1.11889,-7.16943,-6.89001,-23.3511,-9.22023,-1.06589,-12.0542,-14.7477,1.99989,-14.5018,3.49008,-9.47249,-15.0303,-7.33994,-3.9763,-13.1744,-1.73913,-1.44845,-11.1971,-17.2105
5,600,22,97,42.0667,15.7018,5.7402,-3.04723,-1.9604,-5.91835,-5.29068,-19.8179,-10.4311,-1.10581,-12.417,-10.7134,1.53749,-15.5906,-0.642495,-11.4848,-14.258,-7.1077,-5.09651,-12.6698,-1.87042,-2.0164,-18.0081,-17.9335
6,700,22,117,53.3333,24.792,5.81609,-1.56795,-5.97051,-6.23493,-8.17087,-12.9909,-11.6052,-0.912762,-15.038,-6.81637,-0.448164,-16.4469,-2.43881,-11.6845,-13.6068,-6.65935,-3.78362,-13.3477,-3.33836,-0.686231,-23.1602,-19.6997
7,800,17,123,55.4,27.4322,4.76765,-1.67552,-6.80286,-6.5107,-6.2088,-12.848,-9.68825,-1.11422,-14.9297,-10.7456,1.96125,-15.5627,-0.867385,-7.70755,-14.3496,-7.31091,-2.75366,-12.2548,-2.78276,-0.470823,-26.6804,-20.2054
8,900,8,114,56.8333,23.869,4.88942,-1.56214,-6.01841,-6.8309,-4.89468,-11.0102,-8.92101,-1.51311,-14.8554,-10.9162,1.60446,-13.4257,-0.326988,-8.43826,-13.9737,-8.57974,-3.23909,-11.3508,-4.02773,-0.851086,-26.3201,-20.8628
9,1000,23,146,70.8,31.8871,5.187,-2.15462,-6.53228,-6.41793,-5.4474,-10.6098,-8.1425,-1.32917,-15.4936,-12.5269,1.07303,-11.5812,-0.652893,-6.50892,-12.8554,-9.35591,-3.03281,-11.147,-4.70915,-0.69039,-26.2022,-21.8624
10,1100,22,184,66.4,32.9363,5.67875,-1.99065,-7.15952,-6.55987,-5.06111,-10.8838,-7.04752,-1.35805,-16.2212,-12.0772,1.04939,-11.9118,0.303464,-6.49998,-13.2269,-8.47745,-2.49275,-10.5051,-3.28598,-1.17972,-25.3238,-21.937
11,1200,41,200,81.1667,35.2587,5.75747,-1.24154,-7.97123,-6.61429,-5.98119,-10.6389,-6.2182,-1.38236,-14.7256,-13.7029,1.65875,-9.13556,-0.0726354,-6.31263,-10.2035,-9.36932,-2.6292,-10.1924,-4.48538,-0.721088,-24.6186,-22.3392
12,1300,26,178,75.9333,39.1574,5.21487,-2.47912,-7.96749,-6.6935,-5.62884,-11.2699,-5.38382,-1.12531,-13.6667,-14.4866,2.03927,-7.41016,-0.582794,-7.04997,-11.0286,-9.39419,-2.74621,-10.0158,-4.74619,-0.828611,-22.3464,-22.3488
