generation,agents,minScore,maxScore,meanScore,standardDeviation,w0,w1,w2,w3,w4,w5
0,100,118,9797,2081.07,1897.12,-5.54079,4.39483,-3.88853,-6.76236,-11.268,-8.35701
1,200,452,110646,33225.7,31782.4,-6.41242,4.23371,-6.02694,-12.6039,-13.9365,-5.76803
2,300,485,123295,26288.5,27895.7,-6.92757,4.66537,-6.51023,-16.4019,-15.1291,-7.76519
3,400,308,99276,25369.1,25389.2,-8.18865,5.42628,-7.09466,-14.2814,-19.0764,-6.63688
4,500,501,75895,25349,19959.8,-7.43148,6.52427,-6.91206,-16.1995,-19.9415,-6.58827
5,600,419,89107,26062.6,25351.9,-7.50758,7.23988,-7.20544,-17.3661,-20.0212,-7.86478
6,700,1367,141856,34325.4,31648.3,-9.61558,7.1799,-7.71075,-19.0504,-18.0182,-8.25986
7,800,1504,105525,26598.4,28980.4,-10.0131,6.4908,-7.84018,-18.5245,-19.4512,-7.43834
8,900,407,206250,34784,39989,-10.8743,5.95287,-7.25402,-21.2664,-19.3279,-8.30736
9,1000,441,87174,32198.8,27968.1,-11.69,5.25143,-6.75207,-21.1766,-18.7769,-9.35779
10,1100,1296,103722,31265.8,28534.1,-12.4253,8.19779,-8.39853,-20.2448,-19.7887,-9.00278
11,1200,1526,65537,23536.5,18031.5,-12.3309,9.50041,-8.38229,-21.4968,-19.641,-8.66516
12,1300,2038,158916,33486.2,35234.4,-11.8047,8.47023,-8.67522,-22.2878,-21.0039,-9.33167
13,1400,215,131836,32273.6,32977.7,-11.3713,8.19932,-7.72111,-21.5927,-23.521,-10.3345
14,1500,1127,70769,26921.8,20178.4,-11.7786,8.92644,-8.32514,-23.0088,-22.5464,-10.2559
15,1600,2547,108417,34996.3,27251.8,-12.4359,8.5735,-9.25378,-25.3336,-20.9147,-9.62547
16,1700,335,84298,27728,22360.5,-12.8949,9.97352,-9.30618,-26.4031,-23.2053,-9.08233
17,1800,186,98018,26532.1,25530.3,-12.9006,9.51576,-9.90811,-27.1216,-21.8029,-9.19887
