generation,agents,minScore,maxScore,meanScore,standardDeviation,w0,w1,w2,w3,w4,w5
0,100,181,32762,7587.03,6891.45,-9.0332,3.07822,-5.2754,-10.292,-9.30587,-7.21107
1,200,666,48896,16867.2,13470.1,-10.6573,4.47856,-4.9343,-12.7835,-11.377,-6.78156
2,300,1020,50772,14163.6,12789.2,-10.4319,4.86978,-4.87515,-11.9714,-13.8867,-4.5138
3,400,139,70248,16869.8,16146.2,-8.81215,5.93244,-5.40672,-13.6374,-15.1982,-4.67097
4,500,1509,154359,26631.1,34625.1,-8.61341,5.98908,-6.02224,-13.7618,-15.5327,-6.542
5,600,459,104336,20898.1,22713.4,-10.5926,6.46127,-6.82528,-15.9096,-18.1862,-6.78026
6,700,1043,121039,33957.7,33943,-9.90147,7.21539,-6.80393,-15.1162,-21.0187,-7.25449
7,800,383,123027,27152.1,26277.7,-9.78005,7.75414,-6.44434,-15.2216,-22.3783,-6.85969
8,900,349,88906,37636.2,27998.8,-8.93514,8.64654,-7.63143,-17.0267,-21.5581,-6.78229
9,1000,783,108485,21646.2,22320.8,-9.10483,8.93971,-7.82498,-17.6602,-21.2643,-6.432
10,1100,131,88228,25604.8,23284.6,-8.78477,8.7078,-7.42506,-18.2649,-22.2262,-7.7611
11,1200,1557,121159,32840.3,28397.5,-9.37633,7.15857,-8.05197,-19.7446,-22.4189,-8.11764
12,1300,1657,116492,37117.6,30462.9,-10.6277,7.28526,-7.45782,-19.2231,-23.452,-7.88013
13,1400,2546,102732,22164.9,23046,-10.9031,7.66561,-6.85894,-20.4284,-23.8637,-8.47197
14,1500,2806,109060,35016,29323.4,-8.86325,7.57112,-7.87628,-20.0305,-22.526,-7.77295
15,1600,2054,49754,16388.2,13484.6,-8.45044,7.67343,-8.10554,-20.863,-21.827,-8.70893
16,1700,530,121757,25151.8,26340.4,-9.72511,9.0049,-8.76497,-21.3204,-22.4597,-10.3194
17,1800,145,116467,28653.1,28247.7,-10.1568,9.88141,-9.12806,-23.5217,-23.271,-9.4992
18,1900,223,286005,39678.5,53682.1,-10.7155,9.00107,-9.34329,-25.4336,-21.9132,-9.9189
19,2000,626,99801,27765.4,27818.8,-10.3194,8.57454,-10.3245,-24.1582,-24.4844,-7.98385
20,2100,390,69252,25554.8,19534,-11.0991,8.93461,-10.662,-22.6629,-24.6416,-9.19639
21,2200,1616,109823,43250.3,32730.6,-10.635,10.5139,-9.44105,-22.6681,-25.3789,-9.93323
22,2300,509,166008,37818.4,44523.6,-12.206,9.07154,-9.87768,-24.3053,-25.7879,-10.1277
23,2400,1861,253994,34009.5,51624.2,-13.9964,7.54752,-8.63511,-24.3002,-27.1103,-10.5678
24,2500,990,104683,29816.8,29361.8,-13.1301,6.89654,-8.533,-25.5078,-26.5977,-10.3366
25,2600,746,156138,30013.5,33626.7,-13.0784,6.46731,-9.11941,-25.618,-25.3519,-10.9417
26,2700,400,100948,28006.5,26584.4,-13.5307,6.72442,-9.31818,-25.2957,-24.4228,-11.3215
27,2800,2600,178642,36686,42745.5,-13.9444,6.4202,-8.23384,-26.2481,-23.5055,-11.3947
28,2900,283,222288,42043.5,46063.2,-13.6408,6.79465,-8.5169,-26.2078,-23.2896,-10.588
29,3000,571,122407,28330.7,27467.7,-13.333,5.84177,-8.57527,-26.0513,-23.5488,-11.0081
30,3100,366,309310,44357,57280.6,-13.9303,7.21141,-9.16895,-25.4127,-23.4573,-10.6784
31,3200,2502,119244,28266.6,32308.3,-13.9975,7.81319,-9.74062,-24.7393,-24.4339,-11.23
32,3300,399,98161,23660.5,24591.5,-14.3342,9.10246,-8.78794,-24.3838,-24.0283,-11.0511
33,3400,647,102879,20914,24511.5,-14.2061,9.57772,-8.45315,-23.7161,-23.2964,-11.6149
34,3500,2066,66736,22018.8,18578.5,-13.8229,10.3029,-8.3997,-24.1789,-23.6497,-10.3464
35,3600,5235,111254,31090.9,21033.2,-13.7057,9.92493,-9.63726,-24.5804,-23.6535,-10.6103
36,3700,428,96043,25930.9,24288.2,-14.1106,10.255,-10.1116,-25.1274,-24.4652,-10.7945
37,3800,844,79045,18957.1,20322.7,-13.359,10.5011,-9.80348,-25.3457,-24.9614,-10.2902
38,3900,894,81587,16866.4,16603.3,-14.5343,10.4037,-10.4135,-27.0925,-25.4483,-10.0001
39,4000,303,116140,23297.9,25961.6,-13.0468,10.1094,-10.1964,-26.9317,-25.607,-10.5052
40,4100,5176,83895,28674.5,20982.8,-13.2915,10.2164,-10.1409,-27.1691,-24.7012,-10.1018
41,4200,576,107822,29658.3,28629.5,-13.3534,10.7041,-10.0717,-28.1681,-26.1479,-10.2817
42,4300,255,77174,21257.7,23285.6,-14.031,10.0526,-10.5216,-27.5307,-26.5577,-10.8697
43,4400,567,113914,27212.2,30159.3,-13.5397,9.59679,-10.4786,-29.0681,-26.8578,-10.3263
44,4500,116,131217,33313,33142.8,-14.1208,9.81165,-9.91723,-29.3948,-27.3544,-10.1554
45,4600,366,101486,27388.5,24733.8,-13.738,9.61729,-10.0291,-29.2371,-27.3512,-10.1322
46,4700,734,109561,27366.7,26797.2,-13.8438,9.95165,-9.81804,-29.0518,-27.3285,-10.5939
47,4800,690,106278,28107.1,27222.1,-13.7601,10.0339,-9.90341,-29.4229,-26.4748,-11.055
48,4900,1884,146262,33466.2,29060.5,-13.6514,10.2412,-10.1614,-29.5881,-24.8506,-11.0287
49,5000,628,176053,38728.6,34652.9,-13.5824,10.5991,-10.1259,-29.1218,-24.3486,-11.0729
50,5100,1240,135017,32605,35234.3,-13.5182,10.8268,-10.1914,-29.2956,-24.5266,-11.1342
51,5200,1014,125145,32057.6,30034.6,-13.713,10.717,-10.2956,-29.249,-24.826,-10.9013
52,5300,521,132191,33911.8,29578.7,-13.7626,10.9617,-10.4496,-29.5932,-24.2059,-11.0734
53,5400,422,178454,36948.4,42449.4,-13.7335,10.8497,-10.56,-29.6307,-23.1659,-11.1084
54,5500,1290,233597,31302.5,46365.9,-13.6935,10.9379,-10.5093,-29.7121,-22.2645,-10.8983
55,5600,2628,152184,29585.6,32134.1,-13.5509,11.0019,-10.4463,-29.7895,-21.9098,-10.8703
56,5700,1079,151841,28486.2,34017.7,-13.5488,10.8946,-10.2941,-29.7419,-22.9908,-10.9072
57,5800,1794,111612,36542.9,34044.8,-13.6104,10.763,-10.2968,-29.9339,-22.8971,-10.7202
58,5900,985,93394,25317.5,21243,-13.5913,10.6953,-10.1814,-29.9421,-23.183,-10.7643
59,6000,753,171420,31242.3,37359.7,-13.6414,10.7105,-10.1239,-29.9387,-23.3056,-10.7138
60,6100,2538,138353,25274.4,28860.6,-13.6347,10.7241,-10.1873,-29.8562,-23.2392,-10.7562
61,6200,291,125771,29159.1,32215.2,-13.6511,10.7214,-10.147,-29.8364,-23.2951,-10.755
