generation,agents,minScore,maxScore,meanScore,standardDeviation,w0,w1,w2,w3,w4,w5
0,100,86,2696,606,579.348,-8.07857,-1.80649,-2.30996,-6.79143,-4.38735,-8.64404
1,200,294,32731,8590.37,8066.55,-11.7005,4.69072,-4.50711,-12.2722,-11.1968,-8.33473
2,300,371,80364,21628.1,19650.7,-10.9756,3.16159,-5.75512,-16.9518,-13.5635,-8.16609
3,400,1979,87059,26425.6,22105.2,-11.2147,4.41163,-5.62906,-20.8805,-15.1168,-8.89669
4,500,788,116096,24204.8,23339.2,-11.1158,3.84603,-6.00098,-21.1111,-15.027,-9.55755
5,600,2357,137115,31556.3,34277.2,-12.0248,4.02089,-5.9466,-20.7324,-15.6087,-8.99521
6,700,1371,141758,37984.5,34488.2,-11.8735,4.33379,-5.99644,-21.3068,-15.4671,-9.09422
7,800,357,73421,20588.4,20091.5,-12.5949,3.38081,-5.95409,-21.4121,-15.584,-9.04813
8,900,1766,77722,22219.5,20101.7,-12.8365,2.80586,-6.11575,-20.7215,-15.7529,-8.69565
9,1000,737,112202,26701.6,28381.4,-12.4378,3.23979,-6.13014,-21.5482,-15.9461,-8.6578
10,1100,1071,84273,24845.3,24857.6,-12.1616,2.90281,-6.26508,-21.6817,-15.4118,-8.3957
11,1200,403,64946,21363.3,18041.7,-11.7867,3.15231,-6.35605,-20.51,-15.429,-8.09157
12,1300,514,81311,23210.2,21921.5,-11.4074,3.06459,-6.3149,-20.566,-15.1078,-7.85593
13,1400,293,128652,34481.4,29716.6,-11.14,3.21008,-6.33971,-21.0822,-14.6149,-8.01405
14,1500,3755,129372,39634.3,35094,-10.7251,3.23828,-6.29984,-20.5933,-14.9931,-7.88922
15,1600,1219,195486,28451.8,38074.3,-10.9812,3.27551,-6.31048,-20.8379,-15.124,-7.87891
16,1700,860,124339,30340.7,31826,-11.1343,3.26911,-6.33791,-20.3898,-15.1147,-7.93571
17,1800,1892,99373,30018.1,25636.7,-11.0522,3.29013,-6.33293,-20.1997,-14.9514,-7.89265
18,1900,304,112610,25813,30649.2,-10.8024,3.26623,-6.33116,-20.2706,-14.8341,-7.87932
19,2000,2996,184696,41266.6,40839.7,-11.0741,3.22355,-6.32473,-20.3789,-14.9161,-7.89229
20,2100,933,142826,36684.5,37976.7,-11.0399,3.18027,-6.3301,-20.7111,-15.0138,-7.88391
21,2200,373,94967,26357.2,24630.7,-11.0343,3.19936,-6.32925,-20.7144,-14.9106,-7.78581
22,2300,852,130499,33429,31190.1,-10.9572,3.19829,-6.32181,-20.8109,-14.8216,-7.77525
23,2400,285,169283,35392.4,39814.7,-10.959,3.19492,-6.31916,-19.9742,-14.7875,-7.77652
24,2500,1750,81558,24936.3,20614.6,-10.9467,3.19176,-6.32561,-19.9302,-14.8069,-7.76676
25,2600,827,132637,35591.1,32744.1,-10.9433,3.22056,-6.32559,-20.1692,-14.8061,-7.72818
26,2700,2293,116179,24225.4,25558.1,-10.9741,3.21398,-6.33075,-20.0471,-14.7556,-7.75449
27,2800,1818,58598,21159.2,16671.8,-10.9367,3.20412,-6.32662,-20.0337,-14.7569,-7.73544
28,2900,68,127413,30440.7,35713.2,-10.9181,3.19902,-6.32789,-19.9258,-14.7521,-7.74792
29,3000,191,171602,27557,33757,-10.8602,3.18276,-6.33015,-19.8657,-14.7653,-7.77999
30,3100,636,293266,43386.4,57539.1,-10.825,3.18243,-6.33007,-19.7524,-14.7558,-7.80269
31,3200,474,95391,34248.4,26654,-10.8169,3.18594,-6.33108,-19.7439,-14.7755,-7.81115
32,3300,322,130922,28548.2,28712.5,-10.7741,3.20437,-6.3314,-19.6712,-14.7634,-7.8102
33,3400,502,176063,29519.3,32661.7,-10.7476,3.22262,-6.33277,-19.5574,-14.7721,-7.8195
34,3500,1589,74029,23814.7,20207,-10.7214,3.22983,-6.33138,-19.479,-14.7632,-7.81696
35,3600,604,197546,34115.1,40475,-10.7349,3.22038,-6.33143,-19.5019,-14.7534,-7.82582
36,3700,2754,188527,39234,41228.8,-10.7368,3.22214,-6.33121,-19.4359,-14.7457,-7.80285
37,3800,3139,86149,27102.2,22805.9,-10.7088,3.22453,-6.33168,-19.438,-14.7396,-7.80958
38,3900,150,95334,22301.9,23684,-10.7005,3.23109,-6.33221,-19.4153,-14.7455,-7.81378
39,4000,446,96858,28676,26487,-10.7046,3.22439,-6.33236,-19.4214,-14.7533,-7.82274
40,4100,152,95085,21933.3,26594.6,-10.6806,3.22402,-6.33198,-19.4158,-14.764,-7.81971
41,4200,945,70277,26529.4,21324,-10.6966,3.22256,-6.33198,-19.402,-14.773,-7.81808
42,4300,600,90746,30457.6,24770.1,-10.6931,3.22044,-6.33203,-19.4007,-14.7674,-7.82439
43,4400,1328,114990,32342.6,28252,-10.6968,3.22706,-6.33168,-19.4311,-14.7717,-7.81457
44,4500,169,104896,30071.7,27397.9,-10.6954,3.23637,-6.33181,-19.3999,-14.7712,-7.81951
45,4600,737,89368,28801.9,27257.6,-10.6959,3.21887,-6.33163,-19.4074,-14.773,-7.80056
46,4700,242,76293,22554.5,19510.1,-10.6926,3.22782,-6.33151,-19.414,-14.7717,-7.80249
47,4800,851,90313,32664.1,23533.4,-10.6935,3.22776,-6.33157,-19.3812,-14.7727,-7.80563
48,4900,1482,99534,33845.8,28194,-10.6929,3.22655,-6.33162,-19.3735,-14.7728,-7.80218
49,5000,371,115086,29579.3,26596.5,-10.6898,3.22601,-6.33158,-19.36,-14.7725,-7.80311
50,5100,148,107017,25578.5,30946,-10.6903,3.2282,-6.33163,-19.3373,-14.7741,-7.80016
51,5200,1134,144259,38661.2,32403.9,-10.6915,3.22732,-6.33166,-19.3474,-14.7753,-7.80283
52,5300,1897,96096,26255.6,25129.5,-10.6934,3.22738,-6.33161,-19.3392,-14.7767,-7.79711
53,5400,1644,165207,28986.9,32144,-10.6939,3.23,-6.33165,-19.3285,-14.7773,-7.79955
54,5500,2999,86167,24800.2,21238.7,-10.6944,3.23445,-6.33172,-19.323,-14.7775,-7.80359
55,5600,1646,114605,31280.9,26705,-10.6945,3.23792,-6.33168,-19.3287,-14.7782,-7.80063
56,5700,2650,147613,32081.5,30846.5,-10.6942,3.23751,-6.33154,-19.3252,-14.7773,-7.79976
57,5800,428,125437,29791.5,30713.4,-10.6944,3.237,-6.33153,-19.331,-14.7776,-7.80276
58,5900,2378,144236,24822.5,27505.8,-10.6944,3.23764,-6.33153,-19.3289,-14.7782,-7.79927
59,6000,1344,162549,24799.4,30781.6,-10.6945,3.23763,-6.33154,-19.3283,-14.7801,-7.79665
60,6100,357,102846,24125.8,24839.8,-10.6944,3.23787,-6.33153,-19.3254,-14.78,-7.79684
61,6200,584,140573,32967.5,32722.8,-10.6942,3.23708,-6.33155,-19.3269,-14.7801,-7.79622
62,6300,287,145885,31691.8,37459.4,-10.6939,3.23726,-6.33159,-19.3276,-14.7801,-7.7978
63,6400,49,133912,21565.7,28520.7,-10.6939,3.23806,-6.33162,-19.3272,-14.7798,-7.79819
64,6500,233,91103,29251.4,25628,-10.6939,3.23875,-6.33156,-19.3261,-14.7809,-7.79201
65,6600,207,103533,21825.9,24080.1,-10.6939,3.23885,-6.33155,-19.3239,-14.7816,-7.7895
66,6700,986,115326,30707,27780.8,-10.6938,3.23854,-6.33157,-19.3246,-14.7815,-7.78768
67,6800,259,112359,32777.4,26436,-10.6936,3.23853,-6.33156,-19.3251,-14.7817,-7.78147
68,6900,298,139673,25993,29162.4,-10.6938,3.23856,-6.33154,-19.3264,-14.7812,-7.77807
69,7000,1842,94200,32656.7,28429.6,-10.6938,3.23854,-6.33155,-19.3255,-14.7817,-7.77886
70,7100,642,96922,38505.8,32303.9,-10.6937,3.23858,-6.33154,-19.3249,-14.782,-7.77422
71,7200,878,152729,37592.5,39789.3,-10.6936,3.2386,-6.33152,-19.3257,-14.7818,-7.78128
72,7300,1321,82755,24426.1,21693.7,-10.6935,3.23862,-6.33152,-19.3256,-14.7813,-7.77977
73,7400,1473,94620,28211.1,22108.6,-10.6934,3.23861,-6.3315,-19.3246,-14.7818,-7.7797
74,7500,2457,200324,43987.9,42327.8,-10.6935,3.2386,-6.33151,-19.3248,-14.7822,-7.78058
75,7600,838,128245,33565.9,35576.4,-10.6934,3.23856,-6.33152,-19.3251,-14.7818,-7.77868
76,7700,1432,178770,26722.9,33669.3,-10.6934,3.2387,-6.33154,-19.3248,-14.782,-7.77944
77,7800,1757,144418,30361.5,34609.4,-10.6934,3.23869,-6.33153,-19.3259,-14.7823,-7.77806
78,7900,3196,129076,31497.6,30039.1,-10.6934,3.2387,-6.33152,-19.3253,-14.7826,-7.77403
79,8000,607,164071,30976.5,37212.1,-10.6934,3.23861,-6.33153,-19.3256,-14.7826,-7.77003
80,8100,430,136235,34203.3,31340.8,-10.6934,3.23864,-6.33153,-19.3255,-14.7827,-7.76794
