generation,agents,minScore,maxScore,meanScore,standardDeviation,stepSize,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21
0,13,1,27,8.96667,6.04285,0.928366,0.0601461,0.0646873,-0.256693,0.382282,-0.479104,-0.477436,-0.161874,-0.597169,-0.123557,-0.34817,-0.121072,-1.04554,0.057573,-0.83842,-0.141408,0.0719471,-0.344886,-0.146281,-0.188731,-0.290171,0.811936,-0.884051
1,26,1,9,3.56667,1.88795,0.884575,-1.15923,-0.299928,-0.714812,0.60405,-0.485931,0.105951,-0.333742,-0.149229,-0.110712,-0.661974,0.691219,-1.68588,0.192976,-0.697859,0.00232599,-0.111679,0.312211,-0.418714,-0.834214,-0.131729,0.638118,-0.735738
2,39,3,26,12.1667,6.48118,0.8828,-2.17962,-0.174953,-0.897602,0.742169,-0.62125,-0.126356,-0.880612,-0.708601,-0.557294,-1.05241,1.36534,-1.49455,-0.164049,-1.14981,-0.18693,-0.874667,0.15986,-0.493321,0.00515314,-1.05768,0.272977,-1.5346
3,52,9,59,25.2,10.5255,0.889372,-2.17847,0.97839,-0.851703,0.172111,-0.736655,0.421295,-0.590575,-0.480143,-0.802116,-1.16813,1.31534,-2.23368,-0.262555,-1.70443,-0.456505,-0.550596,-0.0698659,-0.27099,0.069771,-1.45561,-0.731008,-1.76459
4,65,4,51,19.1667,10.5081,0.896215,-2.58287,0.79119,-0.877376,0.148473,-0.76123,0.0618034,-0.544873,-0.656458,-0.689468,-1.87913,1.21443,-2.99996,-0.51751,-1.64647,-0.542415,-0.443204,-0.399602,0.543388,0.063662,-0.734501,-1.14357,-1.69282
5,78,9,50,29.6,10.9185,0.887261,-2.31448,0.109647,-1.19705,-0.5344,-1.07081,0.245586,-1.05433,-0.726209,-1.33968,-2.16847,0.982432,-2.18023,-1.00892,-1.63163,-0.567044,-0.712042,0.0989905,0.21544,0.0476347,-1.21934,-1.46168,-1.70555
6,91,0,42,15.7333,10.4549,0.929292,-2.12428,-0.711974,-0.521209,-1.404,-1.76076,0.362065,-1.01166,-0.87214,-1.75751,-2.4052,1.79754,-1.9922,-2.11779,-1.61874,0.140251,-0.245175,-0.603042,0.320461,-0.783512,-1.05914,-2.63449,-2.46275
7,104,10,51,30.6667,9.6502,0.948048,-1.13548,-0.261744,-0.124797,-1.33414,-0.905373,0.284397,-0.75576,-1.2771,-2.05098,-1.94278,2.2723,-2.51448,-2.26895,-1.73965,-0.624823,-0.935823,-0.263581,-0.319371,-1.34795,-1.35128,-2.21106,-2.86296
8,117,5,52,29.4667,12.1136,0.952597,0.0885657,-0.563649,-0.492392,-1.55677,-0.606065,0.48064,-0.616298,-1.45265,-1.9358,-1.99553,2.21028,-2.52378,-2.0784,-2.30717,-0.901511,-1.23419,-0.148872,0.121601,-0.895538,-1.06543,-2.18315,-2.93582
9,130,11,95,48.4,20.4814,0.968664,-0.657359,-0.356485,-0.146099,-1.71975,-1.05585,-0.890731,-0.654345,-1.36542,-2.43432,-2.41497,2.95711,-2.87642,-1.66098,-1.67177,-0.945497,-1.48727,-0.515508,0.227185,-1.69834,-1.46962,-2.31434,-3.97229
