generation,agents,minScore,maxScore,meanScore,standardDeviation,stepSize,w0,w1,w2,w3,w4,w5
0,6,86,1790,365.067,335.576,0.893999,-0.462273,0.297144,-0.42173,-0.657111,-0.214766,-0.693818
1,12,0,9,2.53333,3.00268,0.789933,-0.130199,-0.211575,0.222714,0.105646,-0.267252,-0.956753
2,18,1,9,4.43333,2.83675,0.768247,-0.0528151,0.60054,0.76313,-0.875865,-0.986787,-0.363036
3,24,44,581,215.7,150.633,0.789292,-1.4853,0.791578,-0.00573037,-1.03608,-0.11797,-1.27994
4,30,109,4119,824.533,920.904,0.806464,-1.78147,0.969689,-0.483656,-1.3936,-0.668253,-1.46212
5,36,377,57023,13261.5,12233.2,0.818776,-1.19316,0.914001,-0.724574,-2.2371,-1.14442,-0.476742
6,42,362,72171,11319.3,14397.7,0.789187,-1.19483,0.769577,-0.700655,-2.55483,-0.514298,-0.453602
7,48,340,66118,16649.8,17445.5,0.743424,-0.925416,1.19413,-1.13248,-2.25919,-1.18051,-0.406719
8,54,76,5909,2013.2,1477.09,0.710575,-1.31433,1.73455,-1.48747,-2.27044,-0.90904,-0.618815
9,60,327,8979,3552.2,2663.93,0.747574,-1.45691,2.56509,-1.82492,-3.09077,-1.13365,-0.385824
10,66,1151,52997,13270.3,12886.5,0.743677,-1.20001,1.77485,-1.17935,-3.84021,-1.37353,-0.556762
11,72,214,65545,18926.7,14556.5,0.727153,-0.856702,1.73797,-1.23234,-3.75757,-1.71635,-1.09007
12,78,55,39218,10722.6,10639,0.724425,-0.716083,2.05127,-1.50966,-4.35077,-1.34628,-1.25084
13,84,507,50398,10344,10978.1,0.725244,-1.19885,2.1263,-1.96688,-4.99179,-1.22348,-1.23814
14,90,491,74764,20937.8,17847.9,0.728765,-1.65902,2.3724,-2.06402,-5.32071,-1.76619,-1.58307
15,96,189,139273,26488.3,28905.7,0.700181,-1.75874,2.68221,-1.72154,-5.52687,-1.74576,-1.50537
16,102,1578,105612,24144.2,24001.1,0.608393,-1.6069,2.40966,-1.60501,-5.23824,-1.37746,-1.27953
17,108,679,110605,25274.2,26740.5,0.51996,-1.60252,2.28559,-1.43815,-5.12679,-1.42307,-1.45523
18,114,488,103179,17355.8,24243.7,0.447228,-1.71065,2.55664,-1.76057,-5.30245,-1.58495,-1.36344
19,120,808,59284,15432.8,13503.5,0.404657,-1.75488,2.47006,-1.57333,-5.15127,-1.348,-1.00111
20,126,1644,71969,19887.7,18266.2,0.361935,-1.79119,2.69923,-1.65446,-5.28165,-1.73411,-1.29341
21,132,630,46024,16324.1,13923.5,0.38844,-1.63911,2.58105,-2.16332,-5.37571,-2.13135,-1.58144
22,138,260,75550,22648.5,20539.6,0.393348,-2.0496,2.54893,-2.11509,-5.2427,-2.01148,-1.78319
23,144,1379,37527,13301.1,9712.95,0.412759,-2.31061,2.34927,-2.31954,-5.51818,-1.69784,-1.90177
24,150,1859,81298,21711.6,20763.3,0.388558,-2.00609,2.27171,-1.89431,-5.73127,-1.60724,-1.65849
25,156,297,33126,8269.07,8527.67,0.363505,-1.81885,2.39923,-2.10914,-5.09799,-1.43274,-1.43291
26,162,734,120400,19868,26663.8,0.333757,-1.72156,2.38105,-1.86502,-5.01166,-1.26697,-1.42799
27,168,145,55203,14894.2,14095.5,0.299905,-1.92005,2.62887,-2.11532,-5.36455,-1.60229,-1.36358
28,174,574,50611,13125.3,10976.5,0.297298,-2.01899,2.77389,-2.25882,-5.58576,-1.57934,-1.19709
29,180,622,43688,11246.4,10509.1,0.288812,-2.07479,2.51398,-2.28662,-5.35464,-1.74863,-1.19684
30,186,1657,47886,14633.3,12640.2,0.277327,-2.05687,2.31146,-2.21687,-5.33133,-1.78334,-1.60978
31,192,1326,76910,20150.6,21142.5,0.263177,-2.05841,2.26474,-2.10984,-5.36956,-1.79806,-1.70758
32,198,836,54158,18788.8,16910.1,0.253825,-1.78021,2.35266,-1.96389,-5.31016,-1.78498,-1.69719
33,204,991,70250,21363.1,17684.1,0.236971,-1.90752,2.49329,-2.24478,-5.67085,-1.93505,-1.60692
34,210,1691,69372,21375.3,17187.9,0.206904,-1.89333,2.47192,-2.18222,-5.65303,-1.88815,-1.5666
35,216,757,91823,23875.1,22298.5,0.212145,-1.93626,2.30064,-2.02499,-5.5957,-1.992,-1.89769
36,222,640,79800,18242.2,17294.6,0.201543,-1.85608,2.41289,-2.15324,-5.78167,-2.02388,-1.83606
37,228,212,85944,19686.5,19224.7,0.203042,-1.73427,2.56946,-1.9803,-5.71311,-1.89841,-1.76867
38,234,186,43543,13312.1,12013.7,0.199191,-1.73315,2.65519,-2.08398,-5.90885,-2.02845,-1.70783
39,240,44,66772,15331.6,16368.7,0.192732,-1.77655,2.66904,-2.18499,-6.01511,-2.0746,-1.56639
40,246,302,108894,19419.9,20699.4,0.177124,-1.71154,2.60992,-2.06091,-5.95579,-2.08819,-1.764
41,252,333,72776,20840.3,18537.7,0.167845,-1.78665,2.64034,-1.99627,-5.98773,-1.95412,-1.7871
42,258,717,95070,21902.3,22691.4,0.161916,-1.92885,2.59069,-2.01345,-6.00209,-1.98884,-1.85051
43,264,628,44199,17716.5,12491.5,0.153342,-1.89186,2.45517,-2.06326,-5.9243,-1.94211,-1.91185
44,270,1338,57182,16199,14075.6,0.158843,-1.72287,2.41286,-2.1032,-5.91419,-2.04042,-2.00416
45,276,1843,77760,15326.4,14955.4,0.146631,-1.79328,2.54037,-2.19516,-6.01129,-2.00539,-1.85508
46,282,902,89280,19857.3,21180.2,0.138865,-1.87937,2.58202,-2.12346,-6.01306,-2.06564,-2.00856
47,288,679,51089,17071.5,13073.2,0.133606,-1.77933,2.66973,-2.16877,-6.04175,-2.0754,-1.95253
48,294,737,86855,21628.1,20414.5,0.127264,-1.72465,2.64633,-2.11478,-5.9608,-2.08132,-1.98657
49,300,679,61672,15543.2,14508.4,0.133598,-1.63488,2.63685,-1.97986,-6.0555,-2.04315,-1.9861
50,306,339,68922,16097.5,15217.7,0.137145,-1.62473,2.65922,-2.02177,-5.98682,-2.18366,-2.05811
51,312,673,57080,18776.2,13738,0.124212,-1.73324,2.68854,-2.06063,-5.98176,-2.078,-1.87035
52,318,763,54313,20493.6,17534.6,0.113705,-1.78491,2.70373,-2.12412,-6.04218,-2.13056,-1.86153
