generation,agents,minScore,maxScore,meanScore,standardDeviation,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21
0,100,0,11,4.46667,3.15937,-3.20207,-2.7293,-7.92796,-6.40632,-0.72266,2.95134,-12.0206,-2.55558,1.3192,-0.712861,3.01075,-2.62808,0.933715,-2.257,-0.230283,1.31728,-9.28859,2.48885,-2.55265,-4.08942,0.609719,-6.22116
1,200,6,59,21.7667,13.7482,-4.27354,-0.278026,-8.66227,-7.02443,1.20658,0.693939,-15.9973,-5.55548,-2.52398,-4.30991,1.76815,-3.51739,1.62251,-2.62724,-1.39484,-3.09467,-9.86103,-1.79201,-1.71088,-4.71026,-11.7164,-12.6312
2,300,20,117,64.5333,23.8815,-3.05814,2.02492,-7.13466,-6.91543,0.99788,2.47296,-12.0821,-7.99295,-6.18596,-4.6021,-0.506151,-3.78425,-3.82361,-5.94149,-4.10895,-4.50706,-8.20274,-7.49737,-3.49959,-7.19743,-29.0588,-17.5875
3,400,16,167,54.0667,30.6132,-5.59213,4.03186,-8.28995,-6.92104,1.71508,1.43875,-11.1098,-12.7748,-4.12869,-1.143,-1.4551,-4.99777,-4.41836,-7.2187,-6.1081,-4.13192,-6.29841,-12.9754,-3.37759,-7.64159,-40.0315,-19.7661
4,500,30,254,85.7667,44.1054,-4.50942,4.83365,-7.61163,-8.62105,-2.32742,2.01191,-11.3709,-12.3528,-1.65023,-3.02869,-2.46997,-2.33145,-2.16188,-8.94802,-3.72558,-4.57547,-6.01936,-11.6979,-3.45769,-6.84908,-34.979,-26.4542
5,600,47,214,104.633,45.5658,-4.28599,4.48918,-6.98471,-6.7203,-3.81562,2.47005,-7.84376,-10.495,-4.19279,-3.76902,-0.655292,-3.30109,-3.05444,-9.47161,-3.74707,-6.48294,-7.62738,-11.2764,-1.37915,-6.89566,-37.0487,-29.1185
6,700,38,198,95.6667,41.1677,-6.39816,5.62977,-7.06601,-8.446,-2.84137,-4.35912,-6.52487,-9.83091,-3.19674,-0.892307,-1.41409,-2.71856,-6.45877,-10.3337,-4.47418,-7.17985,-8.02537,-11.8102,-1.06917,-9.03588,-35.4403,-29.8891
7,800,34,397,141.267,79.1785,-5.44857,6.2066,-6.47574,-7.74088,-4.19485,-5.39821,-7.09585,-11.4599,-4.18269,-2.93651,-1.36741,-3.4097,-7.38568,-8.43754,-5.7318,-7.24585,-10.0393,-11.6707,-1.52203,-7.72042,-35.1507,-31.6497
8,900,53,465,149.8,100.278,-14.7442,4.72788,-6.12077,-6.66518,-5.90703,-4.17319,-8.72758,-11.7531,-4.85343,-4.13004,0.0203998,-4.02002,-8.70211,-8.84452,-5.33525,-6.08901,-9.71619,-14.1538,-1.93181,-8.29468,-35.1338,-33.9539
9,1000,39,319,127.2,71.8842,-16.0623,4.82332,-7.57478,-7.63687,-3.86271,-4.33015,-9.14721,-10.0345,-4.76763,-8.03212,1.41949,-4.52041,-11.3633,-7.96485,-5.15409,-8.37696,-9.36307,-14.7866,-1.34411,-9.66374,-33.2319,-34.3283
10,1100,46,700,192.033,157.504,-9.08676,3.00979,-7.70383,-7.66135,-6.02374,-5.26041,-12.1133,-11.5211,-5.26454,-9.09922,2.05586,-6.95017,-11.5092,-8.87078,-4.09076,-9.46285,-9.86525,-14.9735,-2.37175,-8.3304,-32.2989,-35.303
11,1200,30,408,153.6,93.1282,-9.28156,2.8735,-7.14935,-8.64025,-5.00206,-5.81321,-10.2518,-8.94218,-5.19361,-8.15748,0.694374,-3.02282,-13.9118,-6.61965,-7.36027,-6.76672,-10.6635,-15.2688,-2.66957,-7.0463,-31.1993,-39.9875
12,1300,37,703,208.9,141.729,-10.7702,2.93479,-7.35583,-8.3671,-3.9055,-4.91553,-10.0542,-8.79769,-5.20473,-8.23108,3.13509,-2.9361,-10.9732,-8.07562,-4.81824,-6.93494,-11.5312,-12.4214,-3.36622,-11.2197,-32.177,-43.5219
13,1400,91,976,314.333,223.755,-11.9331,3.62716,-11.5975,-7.8209,-5.59585,-5.24333,-11.0609,-8.17809,-5.31755,-8.49887,2.85087,-2.8125,-9.58212,-8.92629,-5.73629,-9.03728,-11.5891,-12.0011,-1.94645,-13.463,-32.8477,-46.3475
14,1500,57,648,226.933,165.002,-12.967,3.57258,-11.0178,-7.36705,-3.96138,-4.77649,-12.887,-8.96073,-5.5858,-9.66471,2.79497,-1.57712,-9.66026,-8.41638,-7.38628,-7.88034,-10.1807,-11.3636,-1.90359,-14.4238,-33.6085,-48.0759
15,1600,54,641,269.067,156.767,-11.8879,2.56804,-10.2537,-7.93299,-7.5382,-6.78199,-7.51578,-7.24938,-5.82581,-7.39236,0.892612,-1.66202,-10.4251,-8.40507,-7.18352,-7.19404,-9.83386,-10.9192,-3.79199,-16.7113,-32.3966,-49.3128
16,1700,44,1227,345.7,282.226,-10.5416,3.46426,-6.35477,-8.99042,-7.12916,-7.49442,-6.70585,-6.33865,-7.11402,-7.97496,0.0414503,-0.963387,-7.44497,-8.76367,-4.71147,-7.03004,-9.62286,-9.90357,-4.48512,-18.6884,-29.9339,-51.0721
17,1800,67,1402,469.367,295.138,-15.9622,4.4811,-7.07288,-11.4383,-5.18681,-7.62465,-6.22915,-6.08422,-6.11118,-8.08193,-0.212375,-1.23696,-5.65961,-8.59214,-3.59951,-8.18548,-8.98853,-10.8166,-3.78301,-19.4705,-28.617,-56.929
18,1900,24,1981,633.967,524.965,-16.9133,4.83692,-8.59407,-11.9803,-3.90054,-6.36807,-4.85101,-5.26009,-5.2635,-7.15083,2.40504,-2.92594,-7.21498,-9.66724,-4.6132,-8.73015,-6.99961,-12.166,-5.41003,-19.2056,-28.1357,-63.1864
19,2000,43,4097,853.2,976.063,-16.5063,4.51805,-6.99418,-13.6499,-5.34561,-5.45292,-3.9308,-5.74499,-4.91486,-6.73888,1.96295,-4.15372,-8.56391,-9.82463,-4.76772,-9.85374,-6.6875,-11.3409,-4.74412,-20.5472,-26.7026,-66.6184
20,2100,148,3747,1357.97,997.389,-17.1666,6.34947,-6.89818,-12.2419,-5.74978,-5.44656,-4.65164,-6.21491,-5.86146,-6.27008,2.36387,-4.42728,-8.65853,-8.57862,-6.0876,-9.58223,-6.10273,-9.82288,-6.61818,-21.1459,-24.0586,-66.6024
21,2200,48,4069,1172.73,1085.21,-22.7196,5.65508,-8.16458,-13.7888,-4.93057,-6.23982,-4.09438,-6.10385,-6.0539,-7.22335,2.63191,-4.45102,-10.195,-7.44782,-6.45612,-9.37472,-5.69829,-8.98887,-6.40733,-22.3974,-21.5035,-66.953
22,2300,19,5861,1371.3,1272.09,-25.2228,6.12443,-9.36395,-13.9976,-5.04671,-5.66615,-5.83873,-5.50054,-5.76478,-8.93131,2.96689,-5.04407,-10.8973,-7.81115,-7.69875,-10.6416,-7.14675,-9.75261,-8.07708,-22.1168,-21.0978,-68.3398
23,2400,55,4137,1497.83,1219.05,-24.7173,6.48698,-8.6467,-13.5201,-4.98732,-5.38452,-5.68426,-7.25934,-6.04535,-7.12748,3.60915,-4.69914,-11.1547,-7.99964,-8.6305,-10.5957,-7.93407,-11.0102,-8.42562,-22.9264,-20.087,-70.9101
24,2500,211,9898,2224.73,1942.96,-29.1579,6.14681,-7.87752,-13.5347,-5.58992,-4.4707,-7.64494,-7.89338,-5.83898,-7.7088,3.17182,-4.78727,-12.743,-10.4089,-7.33894,-9.52045,-8.25741,-9.87619,-10.3397,-22.6902,-18.8412,-71.3784
25,2600,200,8613,2246.3,1977.37,-29.9189,6.16456,-8.95193,-13.5701,-6.49148,-4.48597,-7.93836,-8.34607,-6.9507,-8.92628,3.06536,-6.49473,-11.7915,-10.5497,-6.62209,-10.6567,-8.52,-11.0132,-12.832,-22.5942,-19.8188,-71.7189
26,2700,190,5925,2069.07,1576.83,-27.9991,6.6903,-8.81464,-11.3438,-7.53716,-5.0385,-7.21254,-6.92398,-7.05752,-9.48171,4.48484,-6.88485,-12.0783,-10.9944,-4.5322,-12.3707,-5.64042,-11.1446,-13.0427,-22.4455,-18.6326,-71.8138
27,2800,212,12144,3330.5,2767.94,-25.0514,6.81914,-8.41699,-13.5508,-8.67019,-4.17988,-6.95168,-7.46752,-7.55458,-9.98964,4.47067,-7.58088,-12.2505,-12.8908,-6.13353,-15.4256,-6.88349,-10.0923,-13.5332,-22.3106,-17.2493,-72.9442
28,2900,34,16640,4135.53,4150.31,-21.3161,6.54298,-8.0641,-12.0493,-7.38064,-5.89923,-7.13418,-8.14703,-7.03945,-9.93609,3.28749,-8.79046,-12.0077,-12.912,-6.45007,-16.3058,-7.0674,-10.6287,-12.7423,-21.5456,-15.9352,-72.3809
29,3000,104,13787,3825.13,3623.62,-23.4932,5.64491,-8.67776,-14.3485,-7.48239,-7.09732,-7.56886,-8.20488,-8.12796,-8.79244,4.27619,-10.4635,-13.2965,-12.1178,-6.69303,-16.8593,-6.23847,-11.6348,-10.9077,-20.7473,-14.3504,-73.4643
30,3100,386,18764,4097.27,4574.16,-22.4303,6.21131,-9.15255,-12.0068,-6.66849,-9.18513,-6.96129,-7.37094,-5.26914,-10.0947,3.20424,-10.7959,-12.8711,-11.1746,-7.22064,-17.3673,-6.66547,-12.9855,-12.194,-21.9813,-12.5692,-73.3377
31,3200,261,16940,5263.77,4797.62,-23.8929,6.12389,-9.79368,-7.92774,-7.31087,-9.56715,-8.3249,-6.56618,-6.34312,-10.882,3.09921,-11.2332,-13.1364,-14.0859,-7.19538,-15.4645,-7.57715,-15.3517,-9.67113,-22.502,-13.1066,-73.7581
32,3300,208,31746,8029.6,7946.39,-22.8841,5.03738,-10.6301,-7.95108,-7.82487,-8.37499,-7.29489,-6.73215,-5.47946,-10.6915,3.23959,-11.8247,-12.5293,-15.5908,-8.73392,-15.4543,-8.72358,-13.2828,-10.8714,-21.9814,-12.6607,-73.962
33,3400,109,46549,12403.4,11717.3,-23.1642,5.02186,-9.59341,-5.76168,-6.20807,-7.0887,-6.50396,-5.52031,-5.10016,-10.0568,4.5134,-13.5071,-11.6151,-14.3925,-9.00435,-15.8887,-8.53054,-13.1082,-10.0914,-23.0303,-12.3483,-74.0015
34,3500,1099,97036,21415.4,23525.7,-22.6118,6.6055,-10.8903,-3.99509,-4.99467,-5.96323,-6.08757,-5.31247,-4.45355,-9.33789,5.38427,-14.5032,-11.2308,-12.6248,-9.8607,-14.9552,-9.59774,-12.5854,-9.91093,-21.016,-12.6799,-74.5612
35,3600,129,86100,24001.1,23518.5,-22.8939,7.7274,-10.7571,-3.71826,-5.0958,-4.11148,-4.05125,-4.88323,-3.57859,-9.81009,5.84765,-13.6335,-11.8374,-12.8875,-10.6752,-13.376,-9.7524,-13.0161,-10.5562,-23.1,-12.3478,-75.4534
36,3700,829,59784,18016.6,15171.4,-21.9005,7.72483,-12.3773,-3.92074,-6.02657,-4.84342,-1.37483,-5.5816,-2.67594,-8.38647,5.0508,-14.7546,-11.7612,-13.4313,-10.8066,-12.538,-9.91318,-13.7757,-10.2462,-24.7733,-12.4168,-76.2788
37,3800,405,149721,37810.2,39092.2,-21.9328,9.63645,-11.7459,-1.49202,-6.27959,-4.76046,-1.5814,-5.6656,-2.19264,-7.09759,5.33596,-15.3672,-11.9658,-14.0843,-10.5895,-12.1596,-10.2732,-14.536,-9.05071,-22.6456,-11.6644,-76.4815
38,3900,1318,106621,32153.3,29008.7,-22.9012,9.63689,-11.8365,-0.744688,-5.07549,-4.69158,-0.566159,-3.90277,-1.23159,-6.80669,6.70146,-14.356,-10.8526,-13.5272,-10.9126,-12.7817,-9.41926,-15.8273,-9.12749,-22.6017,-11.4138,-77.1406
39,4000,466,169969,39862.8,36419.3,-23.1056,10.1778,-11.0017,-1.00264,-3.54567,-4.70968,-1.17683,-2.96124,-1.20202,-5.38595,5.67189,-15.4082,-12.0244,-14.0345,-10.2027,-13.4926,-9.28411,-16.3245,-9.40231,-22.8615,-11.1564,-77.3908
40,4100,479,145712,46839.9,38282.5,-22.5089,9.9509,-9.86511,-2.03072,-4.71426,-5.12791,-0.576534,-3.31576,-1.91074,-5.60796,6.78881,-15.8528,-10.4338,-13.4036,-11.4707,-14.6918,-9.51387,-17.0507,-8.90279,-22.5644,-10.5778,-77.9462
