agents,meanScore,clow,chigh,Q1,Q2,Q3,means
100,6.086667700000001,9.47850835321849,4.482592555093948,0.883335,4.033335,12.23335,"[0.266667, 0.7, 1.06667, 1.2, 3.6, 4.46667, 4.96667, 5.5, 18.9667, 20.1333]"
200,24.606676000000004,38.3189284361525,18.121853874692206,3.7,12.316664999999999,47.083349999999996,"[1.63333, 3.63333, 3.76667, 5.3, 7.73333, 16.9, 21.7667, 30.3667, 63.8, 91.1667]"
300,48.84,76.05645170528875,35.96874861277352,24.7,38.75,71.9,"[12.7, 20.5, 28.9, 31.0, 36.1333, 41.3667, 50.6, 64.5333, 79.2667, 123.4]"
400,64.45334,100.37044105148559,47.46736248389884,55.55,62.9667,82.73335,"[22.3333, 54.0667, 57.0333, 61.9333, 61.9667, 63.9667, 66.7667, 81.8, 83.6667, 91.0]"
500,95.35,148.48449365477646,70.22154341171078,71.9,89.56665000000001,118.85,"[27.4, 61.8667, 81.9333, 85.7667, 88.1333, 91.0, 107.733, 112.3, 125.4, 171.967]"
600,128.86,200.6681893272627,94.90034697465184,75.13335000000001,123.91650000000001,180.217,"[60.4333, 60.6, 89.6667, 104.633, 111.933, 135.9, 164.7, 166.467, 193.967, 200.3]"
700,196.16004,305.4716750361898,144.46419260097454,96.13335000000001,180.2,215.267,"[62.9667, 95.6667, 96.6, 106.967, 160.5, 199.9, 201.533, 203.867, 226.667, 606.933]"
800,194.27330000000003,302.53353519813834,143.0746824298512,119.2165,159.08350000000002,301.783,"[106.4, 108.2, 130.233, 133.567, 141.267, 176.9, 192.767, 278.033, 325.533, 349.833]"
900,302.74,471.4441070691875,222.95616206042286,143.7,247.60000000000002,466.3165,"[127.5, 137.6, 149.8, 156.267, 229.4, 265.8, 302.067, 447.833, 484.8, 726.333]"
1000,418.5237,651.7491313793768,308.22632583513183,179.33350000000002,260.95,652.3499999999999,"[127.2, 159.2, 199.467, 214.2, 241.633, 280.267, 534.9, 574.4, 730.3, 1123.67]"
1100,545.9001000000001,850.1069736192119,402.03405947149724,220.14999999999998,410.0335,823.3335,"[182.967, 192.033, 248.267, 256.733, 359.1, 460.967, 598.967, 619.367, 1027.3, 1513.3]"
1200,586.2493,912.9410641422877,431.7496661776094,231.04999999999998,395.483,962.9985,"[153.6, 203.7, 258.4, 272.067, 356.633, 434.333, 565.533, 728.367, 1197.63, 1692.23]"
1300,785.9577,1223.9384490673594,578.8270870510578,318.35,630.8834999999999,1246.835,"[208.9, 306.733, 329.967, 383.1, 453.467, 808.3, 1092.17, 1171.97, 1321.7, 1783.27]"
1400,1346.4793000000002,2096.814861847277,991.6293090500257,385.66700000000003,876.5315,2487.0150000000003,"[314.333, 383.267, 388.067, 529.833, 611.133, 1141.93, 1353.57, 1509.0, 3465.03, 3768.63]"
1500,1737.6100000000001,2705.9060411062,1279.681762429185,414.267,795.4000000000001,3434.6499999999996,"[226.933, 319.967, 508.567, 634.133, 707.033, 883.767, 1102.1, 2097.23, 4772.07, 6124.3]"
1600,1836.3804,2859.7169779921956,1352.4222965811725,568.2335,941.0185,3030.15,"[269.067, 513.8, 622.667, 844.533, 870.067, 1011.97, 1849.17, 2076.77, 3983.53, 6322.23]"
1700,1951.0736000000002,3038.323813101226,1436.8893497833544,769.0165,872.1165,3672.865,"[345.7, 748.133, 789.9, 834.8, 862.0, 882.233, 1530.57, 2091.4, 5254.33, 6171.67]"
1800,2112.7907,3290.1589647406477,1555.9876650226408,684.65,1006.15,3579.6000000000004,"[469.367, 632.967, 736.333, 806.5, 895.3, 1117.0, 2463.57, 2605.53, 4553.67, 6847.67]"
1900,2934.1987,4569.302656025206,2160.9225106516556,1040.08,1456.165,4967.25,"[633.967, 1008.73, 1071.43, 1205.67, 1411.93, 1500.4, 2914.03, 3100.0, 6834.5, 9661.33]"
2000,3603.9230000000002,5612.235782126932,2654.148247477325,1130.12,1913.83,6157.465,"[853.2, 1048.17, 1212.07, 1480.93, 1691.43, 2136.23, 2308.67, 3093.4, 9221.53, 12993.6]"
2100,5478.677000000001,8531.710332911063,4034.8311986810845,1191.6,2084.535,9304.800000000001,"[1148.03, 1182.87, 1200.33, 1357.97, 1390.8, 2778.27, 3275.4, 3981.4, 14628.2, 23843.5]"
2200,5756.81,8964.835006992698,4239.665268253495,1329.45,2904.45,8887.0,"[1019.8, 1172.73, 1486.17, 1643.87, 2080.4, 3728.5, 4104.13, 4397.3, 13376.7, 24558.5]"
2300,6871.575999999999,10700.81261636407,5060.646800113999,1820.065,4241.585,9967.865,"[1371.3, 1778.33, 1861.8, 1907.7, 3915.9, 4567.27, 4837.63, 6256.63, 13679.1, 28540.1]"
2400,7044.623000000001,10970.291338686864,5188.089143299804,1807.75,4182.335,11681.765,"[1060.73, 1497.83, 2117.67, 2247.63, 3574.6, 4790.07, 5545.57, 7160.53, 16203.0, 26248.6]"
2500,11294.543,17588.510733267958,8317.988899737116,2393.45,4468.285,19033.1,"[1918.63, 2224.73, 2562.17, 2798.5, 2910.2, 6026.37, 8977.73, 13295.3, 24770.9, 47460.9]"
2600,11036.660999999998,17186.92207891367,8128.068899127793,2662.8500000000004,4471.469999999999,23538.05,"[1640.5, 2246.3, 3079.4, 4256.07, 4446.57, 4496.37, 6876.1, 18180.8, 28895.3, 36249.2]"
2700,14309.790000000003,22284.026454705654,10538.60031145742,2936.65,7264.265,32226.4,"[1752.77, 2069.07, 3804.23, 4373.87, 6833.1, 7695.43, 8458.43, 27632.0, 36820.8, 43658.2]"
2800,16617.76,25878.1298298542,12238.32989245297,2932.415,8191.915000000001,34406.2,"[1785.67, 2534.33, 3330.5, 3496.27, 7693.13, 8690.7, 10738.8, 29610.0, 39202.4, 59095.8]"
2900,20516.436000000005,31949.37190414922,15109.552189067499,3495.33,9377.55,44296.4,"[1500.5, 2855.13, 4135.53, 4749.6, 9117.9, 9637.2, 16358.6, 31361.5, 57231.3, 68217.1]"
3000,19799.676,30833.192085879706,14581.686499966523,3849.63,10992.2,44384.850000000006,"[2026.87, 3825.13, 3874.13, 4258.23, 10664.3, 11320.1, 15983.7, 32885.3, 55884.4, 57274.6]"
3100,27295.11400000001,42505.51842201784,20101.783247809075,4482.02,17523.65,52147.0,"[1490.23, 4097.27, 4866.77, 5293.47, 14322.2, 20725.1, 27434.4, 35851.4, 68442.6, 90427.7]"
3200,32372.972999999998,50413.05195600156,23841.427675780185,4614.55,19668.65,59821.9,"[1453.33, 3965.33, 5263.77, 6994.4, 10024.6, 29312.7, 29580.8, 34955.2, 84688.6, 117491.0]"
3300,31568.157,49159.74627959609,23248.71218881176,5702.235000000001,17264.7,65479.049999999996,"[2135.77, 3374.87, 8029.6, 9347.83, 10877.0, 23652.4, 48794.5, 52817.2, 78140.9, 78511.5]"
3400,47758.490000000005,74372.26224820878,35172.25882341642,6645.3,22419.300000000003,108198.6,"[2691.3, 4534.77, 8755.83, 12403.4, 15845.2, 28993.4, 52297.8, 86172.2, 130225.0, 135666.0]"
3500,41924.824,65287.74266602643,30875.992118975715,6360.585000000001,33555.0,82658.79999999999,"[2137.97, 3558.3, 9162.87, 17700.7, 21415.4, 45694.6, 48425.8, 69016.7, 96300.9, 105835.0]"
3600,45369.52700000001,70652.03192398229,33412.881067638016,9757.05,32021.85,92011.95000000001,"[2799.47, 8087.7, 11426.4, 24001.1, 24179.8, 39863.9, 57985.0, 84403.8, 99620.1, 101328.0]"
3700,46401.87699999999,72259.66660698707,34173.166440905756,10503.85,35179.149999999994,83467.7,"[2850.97, 7337.6, 13670.1, 18016.6, 21631.1, 48727.2, 62363.8, 83415.7, 83519.7, 122486.0]"
3800,56404.637,87836.53869665938,41539.80771596527,12537.585000000001,54757.4,97749.25,"[2696.1, 7520.47, 17554.7, 25052.6, 37810.2, 71704.6, 88292.2, 93998.5, 101500.0, 117917.0]"
3900,59154.172999999995,92118.27399551179,43564.733374969575,12155.55,49993.1,99985.9,"[2429.23, 11952.2, 12358.9, 32153.3, 36761.7, 63224.5, 72474.1, 98787.8, 101184.0, 160216.0]"
4000,63049.187,98183.8133931863,46433.25875189901,22440.3,49407.25,120246.0,"[3186.07, 15766.6, 29114.0, 31099.2, 39862.8, 58951.7, 85817.5, 117177.0, 123315.0, 126202.0]"
4100,68900.48300000001,107295.78742343509,50742.50926137747,22748.550000000003,65400.100000000006,106893.0,"[2491.63, 21648.7, 23848.4, 33304.6, 46839.9, 83960.3, 96409.3, 106815.0, 106971.0, 166716.0]"
4200,72722.057,113246.96183721858,53556.948952432154,28331.5,66958.6,112015.5,"[3115.57, 17290.5, 39372.5, 62329.6, 62431.3, 71485.9, 75880.2, 107231.0, 116800.0, 171284.0]"
4300,70038.47700000001,109067.93700783125,51580.597306194104,27727.4,60750.450000000004,112159.5,"[3901.47, 21148.9, 34305.9, 49828.8, 52962.8, 68538.1, 74148.8, 102828.0, 121491.0, 171231.0]"
4400,66946.56000000001,104253.02636108141,49303.52144000735,36071.65,62568.25,100542.05,"[3407.0, 29947.8, 42195.5, 53582.1, 56914.7, 68221.8, 81756.6, 95517.1, 105567.0, 132356.0]"
4500,81089.43000000001,126277.11540959038,59719.19170399458,36453.7,94897.4,123044.5,"[2386.5, 25594.4, 47313.0, 57108.6, 82770.8, 107024.0, 116074.0, 121179.0, 124910.0, 126534.0]"
4600,88285.267,137482.88586965651,65018.64404042976,36275.5,95030.15,140804.0,"[2472.07, 21762.1, 50788.9, 54380.3, 70616.3, 119444.0, 124648.0, 139801.0, 141807.0, 157133.0]"
