generation,agents,minScore,maxScore,meanScore,standardDeviation,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21
0,100,0,8,1.3,2.01973,-4.27067,-4.84248,-3.91391,3.32978,5.39114,0.648788,2.18381,-4.36447,6.45383,-1.82403,-2.64852,0.84759,-2.68099,0.538698,2.10629,-0.900761,-2.4534,-2.2623,1.89091,-1.84038,-4.28441,-5.85632
1,200,1,24,11.2,5.16887,-5.72975,-3.6731,-7.78624,-5.31693,2.29976,1.69973,-3.74388,-4.52797,1.41804,-4.20262,-5.94147,-1.39981,-5.31842,1.73688,1.63571,-2.97059,-1.66013,-4.55257,6.46097,-6.46491,-10.5374,-8.92979
2,300,5,25,14.9,6.08758,-10.1026,-0.485825,-9.08426,-7.53065,0.523367,2.09196,-6.41533,-6.44384,-0.494593,-9.4256,-2.92112,-1.41107,-12.2291,0.321598,1.07719,-5.93409,-6.36096,-9.1362,6.25599,-8.15247,-6.90918,-12.8698
3,400,22,183,68.1,33.3977,-9.56376,-0.873958,-10.8195,-4.3491,-3.81912,0.676145,-11.6209,-7.17819,-1.27055,-9.0988,0.625819,-2.99851,-12.7907,-2.01993,-0.887575,-4.61983,-10.1853,-10.4597,-5.66278,-8.43277,-10.2127,-13.7412
4,500,32,179,86.9,41.1065,-8.71725,-2.16214,-11.4494,-3.78549,-4.13133,-2.82418,-8.92074,-7.96637,-2.23385,-8.20453,-4.45824,-2.74217,-11.7617,-2.52445,0.188724,-5.00884,-8.95268,-12.3385,-9.45786,-6.56722,-14.6531,-14.8359
5,600,36,344,123.133,79.6097,-9.22678,-2.24464,-10.2169,-8.31225,-3.78639,-3.87258,-7.72096,-8.11443,-2.96651,-10.064,-0.0825691,-2.18855,-9.58427,-4.05034,-0.828551,-5.10717,-8.90324,-13.7824,-11.2912,-7.57251,-12.9232,-17.4171
6,700,48,353,145.433,71.1863,-12.6281,-1.41192,-9.95068,-10.2532,-4.24194,-7.59224,-8.53386,-8.71232,-1.93816,-9.42809,-0.63021,-2.22419,-9.47085,-5.39527,-1.53809,-4.81388,-8.52058,-12.6295,-11.2283,-8.70043,-9.75574,-18.6307
7,800,48,686,173,139.331,-15.9499,-1.73788,-10.5325,-9.57109,-4.72361,-5.71791,-7.50435,-7.84302,-2.396,-11.6818,-1.01591,-1.84087,-9.48419,-4.79374,-1.28566,-5.5423,-8.0143,-12.6123,-10.4619,-9.49049,-10.4309,-19.8061
8,900,55,516,176.7,104.686,-15.401,-0.898822,-11.2452,-8.38753,-4.3764,-5.76147,-8.53935,-6.91096,-2.40936,-13.2318,-0.936402,-2.15025,-5.84344,-4.89225,-0.969392,-5.56587,-7.71744,-13.0177,-8.73241,-8.64027,-10.8099,-20.0674
9,1000,60,931,247.4,192.889,-15.536,-1.85229,-11.4861,-8.77625,-4.73571,-5.70934,-8.3377,-7.13747,-2.24134,-12.8193,-0.751349,-2.68609,-6.19068,-4.97487,-1.07228,-5.79775,-7.14971,-10.9429,-7.33242,-8.77331,-9.02527,-20.52
10,1100,79,609,287.1,159.354,-15.0172,-2.27326,-10.126,-8.07184,-4.98925,-5.9219,-8.41331,-8.02132,-2.33328,-12.7469,-0.813589,-2.75974,-5.58139,-4.73138,-1.16093,-5.4453,-7.03402,-10.6282,-7.42962,-7.47237,-9.17402,-21.2919
