agents,meanScore,clow,chigh,Q1,Q2,Q3,means
100,6.6099993,10.293470363072121,4.868005797549322,1.1166665,6.0,8.18333,"[0.3, 0.933333, 1.3, 4.06667, 5.96667, 6.03333, 7.03333, 7.73333, 8.63333, 24.1]"
200,11.3733323,17.711205954200462,8.376014135713291,3.33333,11.48335,15.21665,"[0.533333, 2.83333, 3.83333, 7.43333, 11.2, 11.7667, 13.2, 13.7, 16.7333, 32.5]"
300,34.84669699999999,54.265276975211506,25.66322859087815,12.716650000000001,20.06665,52.25,"[4.96667, 12.6333, 12.8, 14.9, 16.1333, 24.0, 32.2667, 40.4667, 64.0333, 126.267]"
400,76.2633,118.76158872514226,56.164935832934695,22.6,59.96665,113.58314999999999,"[10.5667, 14.3667, 30.8333, 47.3667, 59.0333, 60.9, 68.1, 71.1333, 156.033, 244.3]"
500,116.33,181.15575403104506,85.67249234488007,46.933350000000004,84.83335,206.0335,"[11.4333, 43.6667, 50.2, 52.9333, 82.7667, 86.9, 108.7, 195.967, 216.1, 314.633]"
600,242.75367,378.0299504225349,178.77857762199386,54.88335,114.56649999999999,403.1,"[20.4333, 54.2667, 55.5, 73.6667, 106.0, 123.133, 161.067, 169.733, 636.467, 1027.27]"
700,376.73694,586.6763898998416,277.45201244892587,70.61670000000001,134.66649999999998,520.6665,"[50.2, 65.2667, 75.9667, 122.133, 123.9, 145.433, 159.067, 186.3, 855.033, 1984.07]"
800,390.82597,608.6166362096156,287.82803165997876,86.9,150.25,734.2315000000001,"[71.6667, 83.4, 90.4, 102.5, 139.867, 160.633, 173.0, 247.333, 1221.13, 1618.33]"
900,390.67703,608.3846982915775,287.7183431788488,95.15,174.1335,622.9830000000001,"[77.8333, 87.9, 102.4, 159.567, 171.567, 176.7, 208.767, 382.833, 863.133, 1676.07]"
1000,511.67977,796.8171112935762,376.83212566281264,113.56684999999999,229.7835,726.1665,"[86.9, 91.7667, 135.367, 147.967, 212.167, 247.4, 314.467, 724.533, 727.8, 2428.43]"
1100,721.4659,1123.508115896042,531.3314002823176,129.8,283.70000000000005,1055.0315,"[106.133, 123.467, 136.133, 214.4, 280.3, 287.1, 336.933, 685.433, 1424.63, 3620.13]"
