agents,meanScore,clow,chigh,Q1,Q2,Q3,means
100,3.6033309999999998,5.6113138857426259,2.6537122626456555,0.65666679999999999,2.3666700000000001,4.5700009999999995,"[0.333333, 0.366667, 0.633333, 0.666667, 1.76667, 2.96667, 4.1, 5.66667, 6.4, 13.1333]"
200,7.4933360000000011,11.66905298107088,5.5185487071057713,4.0433309999999993,5.3333349999999999,7.6933299999999996,"[2.06667, 2.73333, 2.9, 4.53333, 4.7, 5.96667, 7.63333, 7.83333, 10.8, 25.7667]"
300,28.936669999999999,45.061843660255484,21.31072499837807,14.566699999999999,22.833300000000001,32.576689999999999,"[9.1, 10.4, 12.4667, 15.4667, 18.1333, 27.5333, 30.1667, 38.2, 45.9667, 81.9333]"
400,38.113299999999995,59.352218689172432,28.068953859607301,21.163319999999999,31.033349999999999,38.713319999999996,"[10.9, 12.1, 16.5667, 23.1333, 29.6667, 32.4, 37.8333, 40.7667, 57.0333, 120.733]"
500,57.493290000000002,89.531851643389871,42.341558045276116,36.019989999999993,45.016649999999998,59.283300000000004,"[15.9667, 16.8, 22.5333, 41.8, 42.7333, 47.3, 58.8333, 60.3333, 78.4, 190.233]"
600,69.606719999999996,108.39558022202203,51.262625172803325,44.396689999999992,60.783349999999999,80.286689999999993,"[22.6667, 29.3667, 30.0, 50.5667, 57.8, 63.7667, 75.2667, 92.0, 93.8667, 180.767]"
700,93.173259999999999,145.0947491690072,68.618459589938283,71.906679999999994,79.083300000000008,85.189999999999998,"[45.5333, 66.3667, 71.5333, 72.0667, 79.0333, 79.1333, 84.2, 87.5, 138.733, 207.633]"
800,151.28989999999999,235.59731721637931,111.41909051498041,101.45309999999999,109.383,171.88999999999999,"[78.3333, 86.1667, 98.7, 102.633, 108.133, 110.633, 144.5, 235.8, 273.4, 274.6]"
900,189.44005999999999,295.00693641353405,139.5151903220461,100.16,115.98349999999999,158.95310000000001,"[94.1333, 95.8333, 99.6, 100.4, 112.867, 119.1, 144.833, 191.9, 420.467, 515.267]"
1000,185.50997000000001,288.88677465508937,136.62083284384022,125.9131,141.08350000000002,174.97309999999999,"[92.7667, 104.233, 119.1, 128.833, 140.667, 141.5, 154.133, 223.6, 273.667, 476.6]"
1100,265.25,413.06252692112702,195.34624425753839,159.19299999999998,181.33350000000002,204.68700000000001,"[106.633, 113.333, 139.733, 167.533, 169.5, 193.167, 195.567, 225.967, 372.067, 969.0]"
1200,316.46289999999999,492.81419472493087,233.06254085522693,180.46299999999999,184.81650000000002,252.51009999999997,"[109.9, 161.0, 175.633, 182.533, 184.8, 184.833, 221.8, 324.167, 611.433, 1008.53]"
1300,368.04989999999998,573.14843252429057,271.05434746225285,211.7731,254.25,315.16689999999994,"[142.433, 156.233, 170.8, 229.333, 247.6, 260.9, 272.767, 414.1, 571.833, 1214.5]"
1400,467.42340000000002,727.89855135179914,344.23904116150453,213.4169,244.6335,410.85679999999991,"[136.6, 185.233, 204.9, 217.067, 242.667, 246.6, 324.167, 613.133, 750.667, 1753.2]"
1500,679.66719999999998,1058.4167807630802,500.54829355339189,269.89010000000002,326.767,590.76690000000008,"[213.767, 232.667, 267.067, 271.1, 273.167, 380.367, 538.767, 712.1, 1093.47, 2814.2]"
1600,780.31999999999994,1215.159098989986,574.6751416363519,254.02679999999998,389.38350000000003,614.40009999999984,"[204.233, 214.333, 227.333, 265.467, 329.567, 449.2, 458.2, 978.867, 1430.13, 3245.87]"
1700,1033.6799999999998,1609.7058353546861,761.26486621727508,326.20319999999998,536.34999999999991,764.65689999999995,"[255.033, 266.4, 312.367, 332.133, 388.467, 684.233, 695.167, 926.8, 1150.67, 5325.53]"
1800,1142.1896000000002,1778.6832135684499,841.17794001892582,407.87990000000002,732.88300000000004,1089.8989999999999,"[336.6, 383.067, 385.433, 417.5, 623.133, 842.633, 879.5, 1580.83, 1998.1, 3975.1]"
1900,1320.0221999999999,2055.6143469330264,972.14469031695819,421.63299999999998,683.84999999999991,1339.6900000000001,"[296.533, 322.033, 369.133, 444.133, 563.833, 803.867, 1010.83, 2107.03, 2446.2, 4836.63]"
2000,2109.2393999999999,3284.6286765149921,1553.372271555226,483.57010000000002,695.51700000000005,1532.0489999999998,"[336.133, 477.2, 482.567, 484.0, 557.067, 833.967, 1002.9, 2766.73, 3341.73, 10810.1]"
2100,2608.1502,4061.5612147100578,1920.8005505355236,583.09990000000005,722.81649999999991,1672.5389999999998,"[369.833, 475.133, 563.033, 591.7, 696.4, 749.233, 1169.07, 2847.3, 5738.9, 12880.9]"
2200,3401.5764000000004,5297.1300407135541,2505.1278955516609,631.30679999999995,836.58349999999996,1414.3368999999998,"[396.733, 485.067, 540.633, 670.167, 750.9, 922.267, 974.167, 2441.4, 6389.23, 20445.2]"
2300,4292.0900000000001,6683.8889393888785,3160.9563110851573,786.47320000000002,963.28150000000005,2412.8289999999993,"[546.5, 611.267, 724.967, 812.833, 843.933, 1082.63, 1524.67, 4485.2, 16013.4, 16275.5]"
2400,4752.1733000000004,7400.3570656554612,3499.789655856559,753.37990000000002,1068.6315,2711.1209999999992,"[633.367, 694.1, 701.533, 775.6, 977.533, 1159.73, 1387.2, 5800.27, 16586.1, 18806.3]"
2500,4788.076,7456.2668111230987,3526.2305893295284,1032.8,1225.3,2116.1799999999998,"[905.967, 927.033, 1025.73, 1035.83, 1102.23, 1348.37, 1445.2, 3681.8, 16771.1, 19637.5]"
2600,4299.4269000000004,6695.3143812503959,3166.3596508004944,1022.1488999999999,1529.45,3234.9799999999996,"[748.033, 837.033, 841.033, 1099.77, 1363.67, 1695.23, 2066.9, 5960.5, 11413.8, 16968.3]"
2700,5366.1437000000005,8356.4670180730864,3951.9548272997208,1454.2779999999998,1630.05,3773.8089999999993,"[921.867, 953.9, 1268.33, 1533.97, 1599.77, 1660.33, 2877.67, 5864.8, 17545.4, 19435.4]"
2800,5559.9767000000002,8658.3148928353967,4094.7052460110167,1518.8319999999999,2143.415,4334.3919999999998,"[827.767, 1330.17, 1430.17, 1556.83, 1591.4, 2695.43, 4195.93, 4657.47, 14420.2, 22894.4]"
