generation,agents,minScore,maxScore,meanScore,standardDeviation,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29
0,13,0,4,0.433333,0.897634,-2.98499,-9.76094,2.98898,-6.33942,-4.1453,7.27479,-1.4938,-1.15029,7.64542,2.91383,-1.24439,2.36623,5.04146,-1.74951,0.879779,-3.3752,-4.51457,3.37117,8.43956,-5.32496,-2.19265,-4.34018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,4
1,26,0,5,0.766667,1.19434,3.27469,-14.2492,1.31888,-10.1351,-6.53998,8.56202,-3.3634,1.39435,3.5934,1.67222,-8.03816,0.609763,7.37252,-2.78592,-1.23392,-2.72455,-7.70329,4.39663,6.0598,-2.8844,-4.49065,-4.14486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,3,3,5
2,39,0,8,1.26667,2.14851,1.71229,-14.5696,2.24448,-9.8985,-7.58389,13.17,-6.92059,2.63165,0.600611,-3.51163,-10.9848,0.144761,9.10837,-9.67557,-4.48374,-6.7741,-4.42496,1.80895,6.70491,2.61661,-2.26408,-4.81788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,2,3,6,7,8
3,52,0,5,0.433333,1.10433,3.84449,-15.9784,3.99207,-10.6216,-5.89503,10.8583,-8.69236,-2.56706,-1.05882,-2.12913,-11.7215,3.0549,6.44483,-13.5214,-0.6392,-9.65691,-6.12215,3.50565,6.07184,-0.344737,1.80392,-3.89118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,5
4,65,0,8,1.63333,2.02541,3.83914,-14.6937,2.90417,-5.57637,-8.02946,11.9633,-10.0442,-3.75427,-3.055,-3.77956,-10.2061,-1.41341,6.37935,-10.7842,-1.00511,-16.9466,-0.89935,1.24926,5.54313,-0.806987,2.2063,-3.33305,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,3,3,3,3,3,3,4,7,8
5,78,0,7,2.13333,2.11291,4.14393,-10.732,3.73678,-7.58563,-18.6598,12.6662,-11.8284,-9.89525,-3.1583,-3.94944,-13.4957,-3.4787,5.93169,-9.83264,0.456523,-14.7915,-0.255225,1.40999,5.1745,-5.40788,1.89587,-4.24443,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,3,3,3,4,4,4,5,5,6,6,7
6,91,0,8,1.73333,1.89251,3.5081,-12.6337,2.89465,-4.82182,-21.8197,12.7189,-11.0633,-11.1492,-2.67419,-4.52737,-12.8219,-2.63262,6.83852,-11.4903,1.80966,-15.2189,1.91894,1.2436,9.02121,-11.5345,5.30931,-6.96273,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,2,2,3,3,3,3,4,5,5,8
7,104,0,7,1.03333,1.44993,6.08524,-12.5817,4.69534,-0.657781,-18.1556,12.5256,-8.38036,-9.20298,-1.36296,-2.50601,-1.8149,-2.74155,5.53395,-18.8355,2.57544,-14.5965,2.4565,3.11855,7.07158,-1.35967,1.33556,-6.54343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,7
8,117,0,5,0.966667,1.3257,7.09355,-13.2952,6.26878,2.19279,-17.995,11.7244,-6.95083,-9.02593,-0.71339,-2.19016,2.60017,-5.66242,4.48777,-18.6609,2.81456,-15.3061,-0.302076,2.57115,10.0693,-5.81417,-0.55855,-10.0369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,3,3,4,5
9,130,0,7,2.6,1.79271,5.53617,-12.0954,6.88512,3.14624,-17.6205,11.3044,-8.37466,-8.50699,-2.93627,-1.39687,0.785993,-10.0515,5.27444,-19.3565,4.80762,-13.8168,-3.67378,2.46124,9.98447,-4.26202,1.30858,-12.8531,0,0,0,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,5,5,5,6,7
