generation,agents,minScore,maxScore,meanScore,standardDeviation,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29
0,200,0,14,4.03333,3.53781,-0.604498,2.09855,-0.282298,-0.174281,-3.05052,-0.0129027,-0.318527,-1.11794,1.96281,-0.389605,-0.944913,1.02387,1.87964,-0.26317,0.406538,-3.28903,-0.587175,0.650083,-0.899152,-2.69319,-2.86329,-3.32044,0,0,0,0,0,1,1,1,2,2,2,2,2,3,3,3,4,4,5,5,5,6,6,6,8,8,9,9,10,14
1,400,1,38,17.5,9.97843,-0.392479,1.74298,-0.583977,-1.93291,-4.69393,-2.26704,-1.67271,-1.1765,1.09288,-0.25508,-0.869826,1.20289,1.136,-1.83818,-0.869577,-3.94418,0.503153,-0.998714,0.615107,-2.66395,-4.33811,-7.82259,1,2,6,9,9,9,10,11,11,11,12,12,12,13,13,14,17,18,18,21,24,24,25,28,28,29,31,32,37,38
2,600,15,260,90.5,58.6837,-1.09017,-0.286532,-5.77283,-4.79977,-4.54839,-2.18408,-1.98615,-3.62932,1.33971,-1.22356,-1.93226,1.33745,2.0222,-2.31361,-1.1062,-2.90278,-2.0595,-2.67801,-0.983317,-7.28919,-6.52651,-11.1556,15,27,29,30,36,37,40,40,41,46,52,59,74,78,85,85,86,96,100,101,107,120,125,130,133,142,149,170,222,260
3,800,29,243,90.2,43.6533,-1.32335,-0.270912,-6.46346,-8.14384,-7.67671,-3.60144,-2.83429,-3.32109,2.07516,-3.12554,-3.13864,-1.66462,-0.260325,-3.53149,-3.18998,-3.96911,-4.72385,-4.4512,-1.4557,-10.0704,-8.41278,-15.0309,29,30,38,46,49,52,55,57,65,72,73,77,77,78,81,86,90,94,100,101,102,107,116,117,122,122,129,145,153,243
4,1000,39,207,108.3,46.493,0.2061,-1.12103,-8.18399,-9.25522,-7.88179,-6.36,-3.69406,-4.37769,2.42762,-6.26305,-4.96956,-3.87369,-2.53336,-5.15541,-5.03951,-5.05109,-5.19499,-5.88488,-2.34122,-11.0643,-13.8313,-18.7675,39,44,48,63,63,65,68,74,78,80,82,89,93,94,97,99,99,107,113,116,127,132,149,151,154,158,169,187,204,207
5,1200,32,169,80.1667,36.8371,-0.352726,-2.99811,-9.31539,-10.4263,-9.05704,-9.23304,-5.36144,-5.42114,1.7891,-6.91446,-3.47748,-3.89992,-4.58518,-6.99538,-7.66915,-6.19824,-8.31159,-9.94268,-2.61841,-11.9084,-18.6276,-19.8743,32,33,35,35,36,39,46,51,56,63,64,66,67,73,77,80,81,83,84,93,93,95,97,98,107,125,135,143,149,169
6,1400,30,230,87.9667,46.6006,-1.25715,-1.41374,-8.41845,-10.409,-8.188,-8.35298,-7.19566,-5.39521,0.513804,-7.87643,-2.18556,-6.56577,-6.00753,-9.04288,-9.37645,-8.57256,-10.8515,-9.67245,-3.99716,-13.6377,-23.7249,-20.6103,30,34,39,47,48,59,62,63,66,67,67,67,67,68,68,70,72,79,85,85,86,99,117,121,123,125,141,148,206,230
7,1600,35,191,97.4333,38.6136,-1.17566,-1.69951,-8.33137,-11.0544,-9.21809,-9.47603,-7.34253,-6.84041,-0.754886,-9.82439,-1.67141,-7.39137,-7.86207,-11.5592,-10.7747,-11.7073,-9.66848,-9.00725,-5.28004,-13.8928,-26.9157,-22.853,35,40,50,53,54,66,69,70,73,82,83,86,86,88,89,90,94,98,104,106,106,112,115,126,136,140,144,168,169,191
8,1800,36,292,114.467,64.1634,0.694941,-2.2422,-8.95644,-10.7563,-9.43437,-9.67487,-7.46399,-9.27792,-2.50315,-12.1529,-2.17773,-7.48073,-8.48167,-12.0397,-12.1676,-11.746,-11.3305,-10.8631,-7.50801,-12.1327,-26.6141,-24.2633,36,36,43,48,50,57,65,66,77,81,82,86,86,89,93,98,105,116,120,126,128,129,148,154,165,192,210,214,242,292
9,2000,39,239,114.867,57.8135,0.305048,-1.80871,-8.91502,-9.43614,-9.19503,-10.6352,-8.76302,-10.8592,-3.92979,-12.4239,-4.15893,-9.21742,-9.22343,-12.3996,-13.6974,-12.4694,-11.1754,-13.0296,-8.15146,-11.9382,-27.2893,-26.2215,39,54,55,57,62,65,67,73,77,77,78,80,81,82,90,91,101,121,122,132,134,146,152,161,161,188,200,225,236,239
