agents,meanScore,clow,chigh,Q1,Q2,Q3,means
200,6.5855534333333337,10.255401856161246,4.8500023734552462,2.9633299999999996,4.4666699999999997,6.086669999999998,"[0.166667, 0.2, 0.233333, 0.533333, 1.4, 1.96667, 2.0, 2.33333, 2.33333, 3.23333, 3.46667, 3.9, 4.03333, 4.26667, 4.46667, 4.46667, 4.53333, 4.53333, 4.93333, 5.03333, 5.96667, 6.36667, 9.36667, 9.36667, 10.0333, 10.5667, 13.7333, 19.6, 25.5, 29.0333]"
400,20.935550333333332,32.602040803661104,15.418213493237781,9.640000999999998,13.649999999999999,27.519989999999989,"[3.36667, 3.4, 3.46667, 3.73333, 4.1, 4.7, 6.26667, 7.6, 7.86667, 10.4, 10.5333, 10.5333, 11.5333, 13.1333, 13.4667, 13.8333, 14.4667, 16.1333, 17.5, 20.4667, 26.4, 30.1333, 30.8, 35.8333, 37.6, 39.9, 41.2333, 43.3667, 43.5, 102.8]"
600,48.566692333333336,75.630841317276506,35.767468212358345,23.199999999999996,36.86665,64.909989999999993,"[4.7, 8.86667, 9.6, 10.0333, 11.2, 13.5667, 15.1667, 17.4667, 18.3, 25.3, 30.7333, 31.2667, 31.7333, 31.8, 34.0333, 39.7, 41.7333, 52.3667, 52.3667, 60.9, 64.3, 66.3333, 71.3, 75.2667, 77.3667, 79.6667, 90.5, 122.167, 123.2, 146.067]"
800,72.778852333333333,113.33540679067379,53.598776492707444,42.230009999999993,64.033299999999997,93.940099999999973,"[3.76667, 9.3, 14.4333, 14.6, 24.0, 32.8, 34.8, 36.2333, 37.8667, 44.1, 46.6, 52.8667, 61.0333, 62.6667, 63.8333, 64.2333, 73.8, 80.7667, 80.8333, 89.4333, 90.2, 102.667, 106.067, 114.233, 121.133, 127.933, 127.933, 139.233, 140.433, 185.567]"
1000,101.06779333333334,157.38856966864807,74.43247443190856,73.756689999999992,99.949849999999998,117.41309999999996,"[22.3, 25.2667, 26.2333, 32.6667, 39.1333, 39.3, 62.0333, 69.1667, 70.7, 75.0667, 79.7, 88.3, 91.3667, 97.9667, 99.5667, 100.333, 103.0, 107.6, 108.3, 108.3, 113.133, 127.4, 145.0, 151.433, 157.833, 166.867, 171.667, 171.667, 181.467, 199.267]"
1200,108.13663666666666,168.39657830079216,79.63840090282882,89.196699999999993,102.93300000000001,126.67009999999998,"[32.7667, 33.3, 43.3, 43.9667, 65.0667, 68.9333, 72.7, 77.0667, 80.1667, 93.0667, 94.4, 95.7333, 95.7333, 102.767, 102.933, 102.933, 109.3, 111.6, 111.933, 114.5, 122.9, 135.467, 152.367, 153.033, 153.033, 160.833, 170.267, 176.933, 177.467, 189.633]"
1400,132.47115666666667,206.29168979037826,97.55982253453459,87.126689999999996,115.283,144.3569,"[37.1333, 45.1, 63.2, 77.8667, 81.6, 82.5333, 85.0, 86.1333, 86.8, 87.2667, 87.8667, 87.9667, 90.9667, 98.6333, 105.133, 125.433, 127.067, 139.367, 142.0, 144.0, 144.167, 144.8, 147.067, 147.067, 159.4, 183.0, 187.067, 205.167, 206.233, 569.1]"
1600,135.92446333333334,211.66937717196888,100.10304774698643,99.676680000000005,119.25,148.93009999999998,"[67.6333, 69.7333, 70.9, 75.6, 76.1667, 85.7, 88.6333, 97.4333, 99.2333, 99.8667, 103.733, 105.067, 114.633, 118.167, 118.6, 119.9, 120.533, 125.767, 129.367, 132.433, 148.7, 149.467, 149.6, 178.033, 180.4, 180.4, 212.967, 252.667, 276.433, 329.967]"
1800,149.6677,233.07113425249068,110.22440370090094,112.5668,134.41649999999998,168.40299999999996,"[65.9667, 84.8333, 85.7, 91.6, 95.0, 96.0, 101.233, 102.033, 108.133, 114.467, 119.267, 125.767, 126.533, 130.533, 130.7, 138.133, 156.167, 161.533, 161.6, 162.5, 164.533, 177.433, 189.433, 189.433, 190.9, 215.3, 230.1, 234.033, 250.6, 290.567]"
2000,185.47222000000002,288.82798818801581,136.59303144621262,134.3801,168.733,215.58999999999997,"[86.1333, 88.7333, 106.633, 109.7, 114.867, 119.033, 119.633, 129.4, 132.467, 135.2, 147.4, 151.3, 154.867, 159.1, 166.333, 171.133, 175.667, 182.8, 195.867, 198.567, 209.8, 229.1, 233.467, 248.9, 261.6, 292.7, 292.7, 295.533, 300.6, 354.933]"
2200,211.33445666666665,329.10214777092079,155.63955661466852,162.137,192.583,225.56319999999994,"[98.5667, 121.733, 125.733, 128.633, 135.433, 141.767, 145.367, 149.267, 157.867, 163.967, 179.767, 179.867, 180.133, 183.567, 190.533, 194.633, 197.333, 199.367, 214.1, 218.367, 219.133, 240.567, 254.767, 280.267, 282.667, 289.733, 291.2, 370.733, 370.733, 434.233]"
2400,244.39220000000003,380.58156339986226,179.98529084198751,177.18299999999999,201.93350000000001,266.72999999999996,"[100.633, 141.133, 151.9, 159.333, 160.467, 160.8, 165.833, 168.9, 174.733, 178.233, 179.9, 180.4, 192.967, 198.3, 200.967, 202.9, 239.133, 248.5, 249.067, 251.7, 260.1, 282.2, 297.667, 301.067, 306.167, 366.933, 423.7, 443.533, 472.3, 472.3]"
2600,278.15776666666665,433.16324215672216,204.85230925315,198.56999999999999,236.0,288.79679999999996,"[107.2, 146.8, 164.967, 165.067, 177.767, 182.433, 189.067, 192.433, 192.9, 201.0, 202.867, 210.533, 212.567, 222.0, 222.0, 250.0, 257.533, 261.1, 272.533, 278.4, 286.467, 294.233, 303.833, 362.967, 366.167, 370.7, 388.7, 470.033, 696.233, 696.233]"
2800,352.36443333333335,548.72212339226257,259.50261512385458,270.10310000000004,324.0335,414.59299999999996,"[107.667, 157.9, 161.2, 179.133, 201.0, 211.567, 221.6, 232.3, 262.1, 273.533, 277.6, 282.7, 283.567, 317.4, 321.067, 327.0, 352.167, 355.533, 366.3, 411.533, 412.133, 420.333, 440.7, 479.933, 509.533, 516.8, 528.9, 531.4, 714.167, 714.167]"
3000,395.80333333333334,616.36767212241955,291.49366496241743,343.6669,396.05000000000001,457.20679999999993,"[161.233, 208.333, 213.9, 230.1, 235.6, 245.967, 271.633, 290.233, 308.2, 358.867, 360.033, 371.633, 392.467, 394.367, 394.533, 397.567, 430.933, 433.367, 444.3, 450.267, 456.467, 458.933, 463.167, 486.0, 506.1, 509.2, 576.933, 576.933, 588.667, 658.167]"
3200,515.54113333333339,802.83024794136986,379.67586864068426,351.61699999999996,505.5335,587.78989999999988,"[143.967, 256.0, 299.367, 323.133, 324.833, 326.8, 349.467, 349.833, 351.267, 351.767, 369.633, 372.833, 419.333, 449.067, 504.1, 506.967, 510.0, 511.233, 520.867, 523.833, 572.9, 622.533, 634.2, 645.067, 726.3, 774.6, 774.6, 804.567, 957.667, 1189.5]"
3400,715.39673333333326,1114.056861156593,526.86169655335857,462.17989999999998,722.73299999999995,893.82679999999982,"[171.567, 280.033, 340.333, 344.533, 360.8, 370.967, 393.867, 410.133, 418.033, 481.1, 531.333, 587.533, 664.267, 676.367, 722.533, 722.933, 775.467, 801.833, 840.733, 848.467, 886.067, 911.933, 1033.7, 1048.03, 1075.17, 1095.33, 1112.67, 1162.3, 1162.3, 1231.57]"
