agents,meanScore,clow,chigh,Q1,Q2,Q3,means
250,5.0967746870967741,7.9369901278033161,3.7535750912393788,2.6333349999999998,4.4000000000000004,6.6666650000000001,"[0.0333333, 0.233333, 0.433333, 0.733333, 0.933333, 1.83333, 2.43333, 2.56667, 2.7, 3.1, 3.33333, 3.5, 3.86667, 3.9, 4.13333, 4.4, 4.43333, 4.8, 4.9, 5.56667, 5.7, 5.93333, 6.5, 6.83333, 7.06667, 8.23333, 9.23333, 10.3667, 12.1, 12.3333, 15.8667]"
500,10.795697741935482,16.811680260737322,7.950608889827274,5.2999999999999998,9.3333300000000001,14.966650000000001,"[0.1, 0.5, 1.53333, 2.66667, 3.13333, 3.8, 4.26667, 5.23333, 5.36667, 6.2, 6.23333, 7.66667, 8.63333, 9.0, 9.16667, 9.33333, 10.2, 10.2333, 10.6667, 10.8667, 12.2333, 14.1333, 14.6333, 15.3, 15.3667, 15.5, 16.7, 18.8, 19.4667, 21.4333, 46.3]"
750,35.045142903225802,54.57430832768501,25.809376232286088,10.200015,21.300000000000001,44.4833,"[4.63333, 6.26667, 8.5, 8.9, 9.0, 9.1, 9.4, 9.63333, 10.7667, 11.1, 12.6, 13.5333, 13.6, 14.2333, 15.3, 21.3, 30.6333, 30.9333, 31.5333, 36.6, 38.0, 39.0667, 44.4333, 44.5333, 45.5333, 52.7333, 52.9667, 76.4333, 104.367, 115.233, 165.533]"
1000,58.515053548387101,91.123000496218026,43.094046911239069,23.466699999999999,51.866700000000002,80.93334999999999,"[7.93333, 9.73333, 9.9, 10.6333, 11.4333, 11.7333, 17.8667, 20.4667, 26.4667, 27.8, 27.9, 31.5333, 45.2333, 47.6333, 51.6, 51.8667, 54.7, 55.1667, 57.9, 64.0, 64.5333, 69.9667, 73.1, 88.7667, 92.3, 102.433, 102.7, 119.467, 124.833, 161.1, 173.267]"
1250,81.860209677419363,127.47741777058675,60.28684077141741,34.716700000000003,92.966700000000003,115.6835,"[14.8667, 15.1333, 16.8667, 20.9, 24.2333, 24.4333, 26.6667, 31.8667, 37.5667, 39.1333, 39.9667, 41.7, 44.7, 62.0, 69.9667, 92.9667, 95.6, 97.2667, 99.3, 103.9, 110.067, 112.2, 115.567, 115.8, 125.233, 135.2, 137.7, 142.633, 153.633, 174.4, 216.2]"
1500,102.67743870967745,159.89520185186996,75.617915256999353,61.533299999999997,90.066699999999997,117.84999999999999,"[25.4667, 28.0667, 39.4, 45.0333, 46.0667, 47.5667, 58.3333, 59.3333, 63.7333, 68.8333, 71.5333, 73.2333, 80.3, 86.4667, 87.9, 90.0667, 92.3, 94.6, 99.7333, 100.867, 106.4, 109.367, 117.033, 118.667, 151.167, 166.367, 169.033, 186.9, 220.9, 220.933, 257.4]"
1750,118.83764516129033,185.06080302989187,87.519274867740222,79.81665000000001,116.733,136.91649999999998,"[52.2333, 59.8667, 60.6333, 63.0, 69.5667, 70.1, 73.0667, 79.7333, 79.9, 83.6, 84.7, 84.9, 88.7, 91.1, 103.167, 116.733, 117.367, 122.067, 122.8, 126.033, 133.6, 133.667, 136.733, 137.1, 156.667, 160.633, 173.333, 175.267, 186.733, 207.9, 333.067]"
2000,126.66987096774193,197.25759467185136,93.287402654610304,102.59999999999999,123.133,140.14999999999998,"[84.5333, 86.0333, 92.2333, 93.3, 97.9667, 98.0667, 99.3667, 102.233, 102.967, 104.9, 107.0, 110.6, 117.4, 119.133, 121.2, 123.133, 124.5, 124.7, 127.133, 132.933, 133.667, 134.233, 137.6, 142.7, 147.567, 151.367, 167.767, 171.633, 180.7, 190.667, 199.533]"
2250,144.15052580645161,224.47947387981912,106.1612208257858,102.51650000000001,118.867,152.38299999999998,"[76.7667, 81.2333, 85.9, 87.1333, 92.5, 97.4333, 98.0667, 98.4, 106.633, 109.667, 110.067, 114.133, 116.333, 117.433, 118.6, 118.867, 126.667, 127.3, 138.333, 141.567, 147.4, 149.367, 149.833, 154.933, 157.033, 166.067, 169.633, 186.0, 186.833, 299.767, 538.767]"
2500,149.22909677419355,232.38811613084178,109.90138959013551,109.59999999999999,130.06700000000001,169.2835,"[80.5667, 95.4333, 102.4, 104.933, 105.633, 107.7, 109.033, 109.367, 109.833, 110.333, 110.867, 116.367, 124.367, 125.467, 129.367, 130.067, 139.6, 140.633, 142.5, 153.5, 156.133, 159.467, 163.567, 175.0, 185.167, 200.767, 206.8, 237.1, 239.067, 243.1, 311.967]"
2750,146.39996774193548,227.98243399304562,107.81784677780158,116.4665,134.56700000000001,163.43350000000001,"[85.7667, 89.0333, 89.8, 103.533, 109.8, 115.067, 116.067, 116.133, 116.8, 117.533, 119.133, 119.9, 122.6, 122.833, 131.8, 134.567, 136.1, 141.833, 151.1, 151.567, 157.667, 157.9, 158.9, 167.967, 168.033, 175.8, 186.033, 218.833, 235.167, 244.733, 276.4]"
3000,153.65265483870968,239.27673468734082,113.15916698564305,127.18350000000001,158.90000000000001,170.34999999999999,"[83.3, 89.5333, 106.033, 106.633, 116.533, 116.7, 122.367, 126.9, 127.467, 127.733, 128.333, 128.367, 136.433, 145.767, 149.1, 158.9, 159.533, 160.033, 160.6, 162.1, 162.167, 166.733, 166.767, 173.933, 177.233, 178.567, 180.7, 192.867, 210.233, 231.367, 310.3]"
3250,169.31824838709682,263.67209625874926,124.6962635501767,121.0335,149.40000000000001,193.2165,"[70.8667, 101.9, 106.3, 113.333, 114.167, 115.333, 120.7, 120.867, 121.2, 126.967, 127.067, 133.6, 140.733, 143.1, 149.367, 149.4, 154.6, 156.767, 164.133, 174.2, 178.667, 187.233, 190.733, 195.7, 197.933, 223.6, 256.7, 267.1, 279.333, 285.733, 381.533]"
3500,177.87209677419358,276.99264000869988,130.99583812649246,131.81650000000002,176.43299999999999,225.68350000000001,"[101.2, 114.167, 115.7, 116.867, 122.1, 124.833, 125.0, 128.233, 135.4, 136.3, 138.667, 139.467, 140.167, 148.867, 170.0, 176.433, 182.667, 183.167, 190.4, 195.2, 203.233, 208.1, 222.4, 228.967, 232.9, 233.467, 237.633, 238.067, 239.233, 242.2, 343.0]"
3750,189.89787096774191,295.71986593356303,139.85235018303871,133.0,166.5,219.90000000000001,"[102.533, 111.767, 113.133, 115.867, 123.867, 126.167, 129.567, 131.867, 134.133, 138.5, 143.2, 157.4, 163.133, 164.667, 165.0, 166.5, 172.2, 172.4, 180.4, 185.6, 191.433, 192.833, 206.967, 232.833, 265.0, 270.167, 295.0, 307.167, 313.5, 337.233, 376.8]"
