agents,meanScore,clow,chigh,Q1,Q2,Q3,means
130,1.0877770566666667,1.6939488774874996,0.80110523132649514,0.17999989999999996,0.41666650000000005,1.3633299999999995,"[0.0, 0.0333333, 0.0666667, 0.0666667, 0.1, 0.1, 0.1, 0.133333, 0.133333, 0.2, 0.233333, 0.3, 0.333333, 0.366667, 0.4, 0.433333, 0.6, 0.633333, 0.733333, 0.766667, 1.33333, 1.43333, 1.5, 1.73333, 1.8, 2.3, 2.53333, 3.7, 5.03333, 5.53333]"
260,1.4611108866666667,2.2753257491366701,1.0760509864434877,0.20000000000000001,0.58333349999999995,1.0866679999999997,"[0.0, 0.0333333, 0.0333333, 0.1, 0.133333, 0.166667, 0.166667, 0.166667, 0.2, 0.2, 0.333333, 0.366667, 0.433333, 0.433333, 0.5, 0.666667, 0.666667, 0.733333, 0.8, 0.833333, 1.06667, 1.13333, 1.73333, 2.1, 2.33333, 2.4, 2.76667, 2.93333, 10.1, 10.3]"
390,2.643333933333333,4.1163513440114166,1.9467119931957511,1.0866689999999999,1.76667,2.8633299999999999,"[0.2, 0.3, 0.366667, 0.366667, 0.566667, 0.6, 0.7, 0.766667, 0.9, 1.16667, 1.16667, 1.26667, 1.4, 1.46667, 1.66667, 1.86667, 1.9, 2.06667, 2.13333, 2.26667, 2.83333, 2.93333, 3.33333, 4.5, 4.63333, 5.06667, 6.16667, 6.4, 8.7, 11.6]"
520,3.3944439000000002,5.2860229022658078,2.4998750884369887,1.54,1.98333,3.7566699999999988,"[0.1, 0.366667, 0.5, 0.7, 1.03333, 1.16667, 1.2, 1.4, 1.4, 1.6, 1.6, 1.63333, 1.83333, 1.93333, 1.93333, 2.03333, 2.26667, 2.66667, 2.93333, 3.33333, 3.66667, 3.96667, 4.9, 5.2, 5.36667, 7.13333, 7.9, 8.83333, 9.13333, 14.1]"
650,5.2711102333333333,8.2084754482958644,3.8819663983002584,1.6900010000000001,3.0499999999999998,6.5066689999999987,"[0.766667, 1.1, 1.16667, 1.2, 1.26667, 1.3, 1.33333, 1.46667, 1.66667, 1.7, 1.73333, 1.86667, 2.43333, 2.63333, 2.86667, 3.23333, 4.5, 4.93333, 5.23333, 6.06667, 6.46667, 6.6, 6.86667, 8.4, 10.4333, 10.9333, 11.1, 12.1667, 16.9333, 19.7667]"
780,6.5755527666666662,10.239828243930409,4.8426372738382621,2.2733300000000001,3.316665,7.4333319999999965,"[0.833333, 1.03333, 1.13333, 1.33333, 1.36667, 1.56667, 1.63333, 1.83333, 2.13333, 2.33333, 2.53333, 2.56667, 2.76667, 2.8, 3.1, 3.53333, 4.73333, 5.0, 5.46667, 5.73333, 7.03333, 8.36667, 8.56667, 9.16667, 9.83333, 12.7333, 17.4333, 21.2, 22.8333, 26.6667]"
910,8.4266656666666666,13.122487516655367,6.2059094801028429,3.1866689999999998,5.0500000000000007,9.2166699999999988,"[1.36667, 1.4, 1.4, 1.63333, 2.13333, 2.16667, 2.26667, 2.96667, 3.0, 3.26667, 3.9, 3.93333, 4.2, 4.33333, 4.9, 5.2, 5.93333, 7.2, 7.23333, 8.1, 9.06667, 9.56667, 10.2667, 10.3333, 12.7, 15.9333, 17.6333, 22.4333, 28.1667, 40.1667]"
1040,9.7511144333333331,15.184995167312874,7.181314163533048,3.6166689999999999,6.0,11.296699999999998,"[0.833333, 1.33333, 1.63333, 1.93333, 1.96667, 2.63333, 2.66667, 3.43333, 3.5, 3.66667, 4.16667, 4.4, 4.73333, 5.2, 5.76667, 6.23333, 6.76667, 6.9, 8.96667, 9.3, 10.9667, 12.0667, 13.6333, 14.4, 14.8667, 18.3667, 21.6, 22.4333, 30.8667, 47.3]"
1170,12.101109666666668,18.844542648305413,8.9119936841919909,5.1499990000000002,6.4666649999999999,14.029989999999998,"[1.53333, 1.66667, 1.9, 2.43333, 2.56667, 2.7, 3.4, 4.46667, 5.03333, 5.2, 5.23333, 5.73333, 6.3, 6.3, 6.3, 6.63333, 6.86667, 8.03333, 11.5, 11.8333, 13.9, 14.3333, 16.8333, 22.8, 23.7667, 24.1, 24.6667, 29.9333, 38.6667, 48.4]"
1300,15.485553000000001,24.114992094066125,11.404503746658085,5.5700000000000003,8.2166650000000008,20.419989999999995,"[1.1, 1.43333, 1.83333, 2.23333, 2.66667, 3.8, 4.7, 5.46667, 5.5, 5.6, 5.8, 6.5, 6.7, 7.03333, 7.7, 8.73333, 11.5667, 12.1333, 14.1333, 17.5, 19.6, 22.3333, 25.2, 25.5, 26.6333, 28.2, 30.2333, 34.5, 59.1667, 61.0667]"
