agents,meanScore,clow,chigh,Q1,Q2,Q3,means
50,2.4899991099999998,3.8775695547896594,1.8337868966752617,0.46666699999999994,1.0,2.4433319999999998,"[0.0333333, 0.1, 0.133333, 0.133333, 0.2, 0.366667, 0.4, 0.433333, 0.466667, 0.466667, 0.566667, 0.733333, 0.733333, 0.766667, 0.9, 1.1, 1.13333, 1.26667, 2.0, 2.16667, 2.43333, 2.46667, 2.53333, 2.66667, 4.23333, 4.9, 5.86667, 5.86667, 11.2, 18.4333]"
100,5.7644417666666667,8.9767196321546425,4.2452857657290206,1.8766679999999996,3.3499999999999996,6.0433320000000004,"[0.166667, 0.233333, 0.333333, 0.4, 0.6, 0.8, 1.1, 1.2, 1.43333, 2.06667, 2.13333, 2.16667, 2.6, 3.03333, 3.16667, 3.53333, 3.8, 4.53333, 5.03333, 5.03333, 6.03333, 6.06667, 6.5, 7.0, 11.2333, 12.4333, 19.1333, 19.1333, 19.5667, 22.4667]"
150,12.454448666666668,19.394782422856906,9.1722140295255041,4.106668,7.4666650000000008,14.149999999999991,"[1.0, 1.33333, 1.76667, 2.2, 2.2, 2.23333, 2.46667, 3.53333, 3.73333, 4.26667, 4.66667, 5.8, 5.93333, 6.16667, 6.63333, 8.3, 9.23333, 9.5, 11.6333, 11.9667, 13.1, 16.6, 22.0667, 22.1333, 23.1, 29.3667, 29.3667, 31.2667, 35.6667, 46.4]"
200,19.650003433333332,30.600113372974501,14.471458512156081,6.7899989999999999,11.75,20.620009999999997,"[0.533333, 2.0, 3.56667, 3.76667, 3.76667, 5.3, 5.4, 6.43333, 6.53333, 6.9, 7.06667, 7.33333, 10.1, 10.3333, 11.6333, 11.8667, 12.7, 14.8, 14.8, 20.1667, 20.3, 21.3667, 30.1333, 34.3333, 38.0667, 41.0667, 44.0, 52.8667, 52.8667, 89.5]"
250,27.967782333333332,43.553036165831173,20.597177149967951,11.323309999999999,20.566700000000001,38.656679999999994,"[2.76667, 2.83333, 4.3, 5.2, 5.56667, 5.7, 6.9, 10.5, 10.6, 11.6333, 14.2, 15.1667, 17.3, 18.1, 18.7667, 22.3667, 23.4333, 26.7333, 27.1667, 28.1333, 37.7667, 40.7333, 48.8333, 51.5667, 52.8667, 57.1667, 58.5, 58.5, 58.9667, 96.7667]"
300,36.189995666666661,56.357138772244923,26.65251548795446,20.279990000000002,28.783349999999999,43.469999999999999,"[4.0, 4.03333, 4.46667, 5.8, 6.56667, 10.2, 12.6, 18.3, 20.2333, 20.3, 25.0333, 25.8333, 26.3, 28.1333, 28.6, 28.9667, 30.4, 32.3333, 42.9333, 42.9333, 43.2, 44.1, 47.3333, 48.7667, 55.5667, 63.6667, 73.8333, 79.8667, 102.567, 108.833]"
350,42.225566666666666,65.756076410970195,31.097477323203158,19.46331,33.283299999999997,62.550009999999993,"[3.43333, 4.16667, 5.7, 7.2, 11.6, 13.0, 13.2333, 15.9667, 19.3, 19.5333, 24.8, 28.9667, 29.1, 29.3667, 32.3333, 34.2333, 34.6, 47.3667, 47.3667, 50.3667, 61.9, 64.0667, 65.0333, 66.2, 73.2333, 73.5333, 81.2333, 81.2667, 107.4, 121.267]"
400,51.04557333333333,79.491097112928784,37.593067056133535,27.80668,38.983350000000002,70.386679999999984,"[4.4, 6.8, 9.3, 10.1333, 13.0667, 17.0, 19.9, 20.6, 25.3333, 28.8667, 30.5333, 31.7333, 35.0, 37.6, 37.6, 40.3667, 44.8, 57.4667, 59.8667, 68.2667, 68.2667, 75.3333, 82.7667, 91.9333, 93.9667, 95.4667, 98.6667, 99.2667, 99.6, 127.467]"
450,59.304493333333333,92.352361447855969,43.67543841757923,31.303309999999996,48.7667,74.213310000000007,"[3.73333, 8.06667, 14.3667, 17.3333, 17.7333, 20.1667, 20.5667, 26.4667, 28.9, 32.3333, 34.5, 39.7667, 44.9333, 47.4, 47.5667, 49.9667, 53.1667, 53.1667, 54.3333, 65.6667, 74.1333, 74.4, 94.7667, 96.6333, 101.867, 108.367, 110.967, 135.767, 144.2, 157.9]"
500,63.780039000000002,99.321938082820097,46.971502647499804,34.8033,58.983350000000002,75.486699999999956,"[3.86667, 6.7, 18.0667, 21.7667, 23.0667, 25.9333, 27.1333, 27.8, 34.7333, 34.8333, 38.4667, 42.0667, 44.0, 45.8333, 57.9, 60.0667, 60.1, 67.2667, 68.3, 68.3, 70.8667, 86.2667, 96.3667, 101.667, 113.167, 114.7, 118.5, 135.7, 143.967, 156.0]"
