agents,meanScore,clow,chigh,Q1,Q2,Q3,means
250,3.0033350900000002,4.6769658113714998,2.211838756186149,1.1600009999999998,2.3833349999999998,3.8833299999999986,"[0.0666667, 0.3, 0.333333, 0.6, 0.633333, 0.733333, 0.766667, 1.0, 1.06667, 1.2, 1.46667, 1.46667, 1.6, 1.66667, 2.26667, 2.5, 2.73333, 2.76667, 3.26667, 3.7, 3.73333, 4.23333, 4.36667, 4.6, 6.0, 6.16667, 6.6, 6.66667, 7.03333, 10.5667]"
500,9.1655586666666675,14.273134113090176,6.750075257513533,3.946669,5.9666650000000008,10.709989999999999,"[1.1, 1.16667, 1.43333, 2.06667, 2.16667, 2.33333, 2.73333, 3.53333, 3.9, 3.96667, 4.0, 4.53333, 4.66667, 4.7, 5.9, 6.03333, 7.86667, 7.9, 8.13333, 8.43333, 10.7, 10.7333, 11.0667, 11.2667, 14.5, 22.7667, 23.8, 24.8667, 26.4667, 32.2333]"
750,18.625554666666666,29.004782944093957,13.716992088018099,6.9566680000000005,15.050000000000001,23.703319999999998,"[2.06667, 2.7, 3.1, 3.4, 3.86667, 3.9, 4.26667, 6.73333, 6.93333, 6.96667, 7.0, 10.3, 12.4, 12.7333, 14.4667, 15.6333, 18.1667, 19.9333, 22.6333, 22.6667, 23.6333, 23.8667, 26.8333, 28.4667, 31.1667, 31.8, 45.2667, 45.4333, 50.3, 52.1333]"
1000,27.876664333333334,43.41114198551827,20.530072308933995,15.293299999999999,24.100000000000001,37.896699999999996,"[4.7, 5.6, 6.93333, 8.13333, 8.46667, 8.9, 10.3, 13.5, 14.7333, 15.5333, 16.2333, 16.3, 16.6667, 16.7333, 23.7, 24.5, 24.7, 29.3, 30.5333, 35.4333, 37.2667, 39.3667, 41.5667, 42.1667, 42.6, 51.3667, 54.2333, 59.3333, 65.8667, 71.6333]"
1250,35.126669666666665,54.701266483834239,25.869417502953933,23.233319999999999,31.75,47.403309999999976,"[5.23333, 5.73333, 7.33333, 10.2667, 11.3667, 12.7667, 18.2667, 19.8, 21.3667, 24.0333, 24.6333, 25.5333, 26.6, 30.3, 31.0667, 32.4333, 33.3667, 37.9, 41.1667, 42.3667, 45.1333, 52.7, 55.8667, 58.2, 59.3333, 59.4333, 61.6, 62.5, 64.5667, 72.9333]"
1500,47.198884333333332,73.500812179395496,34.760131150471757,40.046679999999995,49.25,56.843299999999999,"[6.43333, 8.8, 10.2333, 10.8, 15.2, 15.9667, 22.2667, 37.6, 38.8333, 40.5667, 40.8333, 44.0, 44.3667, 46.2, 47.9, 50.6, 54.2, 54.6333, 54.9, 55.2333, 56.6333, 57.3333, 58.4667, 60.3, 64.6333, 65.6333, 68.0, 79.8333, 95.3667, 110.2]"
1750,58.004443333333334,90.327848957285539,42.718002470936398,45.683309999999992,55.716650000000001,73.420000000000002,"[11.9667, 12.5333, 13.5667, 25.3, 25.7667, 32.9, 33.8333, 40.2333, 43.7, 46.5333, 47.7, 47.9667, 52.4667, 53.2667, 54.7, 56.7333, 61.7333, 63.0667, 64.7333, 65.4333, 73.3, 73.7, 75.4, 78.4, 78.5333, 82.6, 83.2667, 97.3, 106.967, 136.533]"
2000,72.312223333333336,112.60874532460525,53.255122496056551,58.536680000000004,74.699999999999989,85.1267,"[17.3667, 20.5333, 32.8667, 38.1, 39.3333, 46.4, 51.7667, 54.9667, 57.5333, 58.9667, 59.1333, 61.2, 63.2, 72.4, 73.1, 76.3, 76.5667, 77.7333, 78.3, 81.4, 85.0667, 85.2667, 86.1333, 88.8333, 93.3, 101.167, 104.6, 120.133, 127.0, 140.7]"
2250,79.844450000000009,124.33836108436412,58.802312657149159,64.116699999999994,81.25,94.236689999999982,"[26.5333, 37.2, 48.6333, 49.6333, 51.7667, 52.4333, 54.9, 59.6333, 62.3667, 64.8667, 71.8667, 73.9333, 74.4333, 77.0333, 79.6333, 82.8667, 86.4667, 90.9, 91.2, 92.2333, 93.2667, 96.5, 97.8333, 99.7333, 104.833, 106.1, 109.267, 118.467, 119.833, 120.967]"
2500,90.828879999999998,141.44394605170902,66.891915468873307,75.69999,84.166699999999992,101.99000000000001,"[31.3, 33.5667, 51.5, 52.5, 52.8333, 55.1, 57.6667, 62.8333, 73.8333, 76.5, 76.5667, 78.5333, 79.4, 79.7333, 82.5667, 85.7667, 86.7667, 87.7, 87.9667, 98.1, 101.9, 102.2, 126.9, 130.967, 132.567, 137.033, 142.533, 145.933, 152.333, 161.767]"
2750,101.12994333333333,157.48535321642618,74.478245474625254,81.44332,96.0,114.92009999999993,"[46.7333, 51.0667, 58.3333, 62.5, 63.4333, 65.3667, 68.2333, 75.7667, 77.9667, 82.9333, 85.0333, 90.0667, 90.6333, 90.6667, 94.2667, 97.7333, 101.367, 101.367, 103.433, 108.133, 109.2, 128.267, 131.433, 133.7, 138.233, 143.9, 149.933, 156.733, 158.533, 168.933]"
3000,117.28554666666668,182.64378615441694,86.376215068899469,91.576699999999988,113.55,136.65989999999999,"[44.1667, 57.3, 60.8333, 61.6667, 67.0667, 70.3333, 81.6, 84.7333, 89.2667, 92.5667, 93.1333, 95.6667, 99.7, 112.767, 113.1, 114.0, 115.833, 116.7, 124.533, 126.9, 133.8, 143.333, 151.7, 159.933, 160.4, 164.4, 167.167, 187.267, 207.833, 220.867]"
3250,127.46327666666666,198.4931315724036,93.871714901386838,106.503,114.1335,152.44299999999996,"[54.5333, 61.9333, 63.5333, 80.2, 87.2, 88.7667, 94.1667, 96.2, 103.633, 107.733, 109.733, 110.2, 110.7, 112.433, 113.6, 114.667, 114.867, 122.233, 122.633, 123.867, 148.933, 160.633, 162.633, 167.667, 178.5, 182.467, 183.433, 199.267, 212.3, 235.233]"
3500,143.61555000000001,223.64637884323267,105.76723208098292,115.52989999999998,135.06650000000002,168.04989999999998,"[53.0333, 62.4333, 67.2333, 83.7333, 86.8333, 92.0333, 95.7667, 98.9, 103.933, 120.5, 120.9, 124.1, 128.9, 132.133, 133.333, 136.8, 144.067, 144.8, 150.133, 152.967, 165.4, 174.233, 179.733, 183.4, 191.467, 197.4, 225.667, 226.267, 258.967, 273.4]"
3750,147.46454333333335,229.64025221691497,108.60186503796302,109.48699999999999,146.08350000000002,168.00689999999997,"[58.9, 84.4333, 87.0333, 92.9667, 94.2667, 98.5333, 102.767, 104.8, 104.867, 111.467, 113.367, 115.9, 117.567, 131.7, 145.9, 146.267, 147.133, 147.533, 150.533, 158.167, 164.667, 175.8, 192.667, 192.7, 194.3, 199.7, 214.6, 244.367, 258.567, 272.467]"
4000,160.03441000000001,249.2147701750487,117.85907990752513,119.9601,144.78300000000002,196.07319999999999,"[82.8, 85.6333, 94.4333, 97.8667, 105.3, 106.0, 114.7, 115.367, 117.067, 121.2, 130.733, 132.0, 135.333, 136.133, 141.733, 147.833, 158.3, 166.0, 173.2, 182.433, 194.233, 200.367, 214.433, 217.367, 218.5, 218.9, 226.733, 241.9, 242.367, 282.167]"
4250,174.45332333333332,271.66872974874673,128.47804528336533,129.2901,167.6335,210.61000000000001,"[89.2667, 100.1, 109.7, 113.867, 116.867, 117.1, 118.233, 125.467, 125.767, 130.8, 136.633, 148.4, 156.933, 163.8, 167.1, 168.167, 173.733, 181.633, 196.433, 203.833, 209.8, 212.5, 213.6, 215.467, 216.4, 223.267, 231.4, 249.733, 293.167, 324.433]"
