agents,meanScore,clow,chigh,Q1,Q2,Q3,means
110,1.5344445433333334,2.3895251290842654,1.1300583546150433,0.54666689999999996,0.85000000000000009,1.7400009999999986,"[0.0, 0.0333333, 0.0333333, 0.0666667, 0.1, 0.266667, 0.333333, 0.333333, 0.5, 0.566667, 0.633333, 0.666667, 0.7, 0.733333, 0.8, 0.9, 1.03333, 1.06667, 1.6, 1.6, 1.6, 2.06667, 2.06667, 2.83333, 2.93333, 3.26667, 3.36667, 3.4, 3.4, 9.13333]"
220,4.6888871999999999,7.3018043177384646,3.453181919951914,1.4733299999999998,2.2833350000000001,4.366668999999999,"[0.2, 0.233333, 0.333333, 0.433333, 0.5, 0.666667, 1.13333, 1.13333, 1.33333, 1.53333, 1.6, 1.63333, 1.8, 2.03333, 2.06667, 2.5, 2.7, 2.73333, 3.0, 3.66667, 4.26667, 4.6, 4.8, 5.33333, 6.6, 6.8, 9.1, 11.4333, 14.1667, 42.3333]"
330,7.6022213333333335,11.838615472800624,5.5987384938028368,2.9366700000000003,4.75,8.6933299999999996,"[1.46667, 1.93333, 1.93333, 1.96667, 2.1, 2.1, 2.13333, 2.6, 2.86667, 2.96667, 3.76667, 3.76667, 4.23333, 4.66667, 4.66667, 4.83333, 6.0, 7.46667, 7.93333, 8.26667, 8.63333, 8.83333, 10.8, 11.1333, 11.7333, 12.4667, 13.2, 13.4, 21.3667, 38.8333]"
440,12.184450999999999,18.974326556858255,8.9733713145711889,4.7833319999999997,7.6333349999999998,13.949989999999998,"[1.4, 1.63333, 2.26667, 2.93333, 3.13333, 3.8, 3.83333, 4.53333, 4.66667, 4.83333, 5.36667, 5.8, 6.9, 6.96667, 7.16667, 8.1, 10.1667, 11.1, 12.4667, 12.9667, 13.7, 14.5333, 14.5667, 15.8667, 16.0667, 18.0, 19.0333, 22.3667, 32.4667, 78.9]"
550,16.330000999999999,25.43001499598315,12.026406650600739,6.4100009999999994,12.48335,18.126699999999992,"[1.8, 2.7, 3.3, 4.73333, 5.06667, 5.36667, 5.63333, 5.63333, 5.96667, 6.6, 6.93333, 7.1, 7.7, 10.8, 12.2667, 12.7, 12.7333, 13.2, 15.5333, 15.7, 17.4667, 19.6667, 20.0333, 21.1667, 21.6333, 25.8667, 27.5, 35.0333, 47.2667, 92.8]"
660,22.024452333333333,34.297741507485682,16.220147201303842,10.923299999999999,15.86665,24.51668999999999,"[3.26667, 3.53333, 6.33333, 7.3, 7.4, 7.7, 7.86667, 9.96667, 10.4333, 11.1333, 11.8333, 12.0333, 13.2667, 13.3, 15.2333, 16.5, 21.3, 21.3667, 22.9333, 23.6333, 23.6667, 26.5, 30.2667, 31.4, 35.0, 35.9, 35.9333, 39.1, 41.2667, 115.367]"
770,29.699997666666668,46.250541322318227,21.872885951521159,14.886689999999998,23.61665,32.919999999999987,"[3.26667, 4.63333, 8.73333, 9.06667, 9.1, 9.33333, 11.3333, 12.9667, 13.3, 15.5667, 16.0, 19.3333, 19.6, 22.3667, 23.5333, 23.7, 23.7667, 24.5333, 28.3667, 30.4333, 31.6, 36.0, 39.8333, 41.8333, 46.6667, 50.3667, 52.1, 58.8333, 60.4333, 144.4]"
880,34.522225666666671,53.759991588368415,25.424268152288516,18.920009999999998,32.666699999999999,45.093320000000006,"[4.76667, 5.7, 7.1, 10.7333, 11.1333, 12.0333, 12.2667, 17.2667, 17.5667, 19.5, 22.9667, 23.1333, 24.8333, 24.8333, 32.6667, 32.6667, 36.0333, 36.5667, 37.0, 41.6, 44.9333, 45.4667, 47.5667, 47.9667, 49.1333, 54.9667, 58.5667, 63.5333, 73.3667, 119.8]"
990,43.277763333333333,67.394617462624552,31.872378989757856,25.526689999999999,37.61665,48.473309999999998,"[7.76667, 8.93333, 11.1333, 16.3667, 17.8, 18.9333, 21.9667, 22.2667, 23.8, 26.2667, 27.1, 27.5, 31.7333, 31.9333, 37.4, 37.8333, 39.6, 41.7, 43.5667, 44.7667, 47.7333, 50.2, 68.5333, 69.1, 69.8333, 74.9333, 77.2667, 81.0333, 99.8, 121.533]"
1100,47.81775566666667,74.464554146542397,35.215905667513503,28.4267,39.016649999999998,56.800009999999979,"[7.56667, 10.4333, 15.7, 17.8667, 18.4, 18.4667, 24.4, 25.7667, 27.8667, 28.6667, 28.8667, 30.9333, 33.4333, 35.9333, 38.5333, 39.5, 42.2, 43.3, 43.9, 43.9333, 54.5, 62.1667, 67.5, 78.1667, 83.7667, 86.1333, 88.3333, 89.8333, 112.433, 136.033]"
