generation,agents,score,stepsize
0,13,0.166667,0.0910783
1,26,0.0333333,0.0852099
2,39,1.63333,0.0805712
3,52,5.06667,0.0775425
4,65,6.36667,0.0736289
5,78,3.03333,0.0710138
6,91,7.43333,0.0707843
7,104,13.8333,0.0724414
8,117,15.9,0.0729123
9,130,25.1667,0.0746576
10,143,27.1,0.076874
11,156,27.4,0.0776497
12,169,27.8667,0.0772743
13,182,57.6,0.077963
14,195,65.1333,0.0781466
15,208,43.7333,0.0769864
16,221,48.4667,0.0768979
17,234,59.4333,0.0753446
18,247,75.2,0.0757003
19,260,91.8333,0.0774464
20,273,113.3,0.0790923
21,286,99.5,0.0794835
22,299,136.733,0.0794826
23,312,118.467,0.0788711
24,325,106.733,0.0793754
25,338,124.133,0.0800288
26,351,123.467,0.0766572
27,364,126.067,0.0744064
28,377,137.833,0.0735412
29,390,122.2,0.0746605
30,403,128.9,0.0751445
31,416,158.867,0.0787552
32,429,163.767,0.081446
33,442,176.967,0.0829838
34,455,237.067,0.0823903
35,468,202.067,0.0801553
36,481,206.833,0.078154
37,494,359,0.0781007
38,507,307.467,0.079121
39,520,436.167,0.080331
40,533,676.333,0.0842482
41,546,670.233,0.0871354
42,559,512.167,0.0910557
43,572,576,0.0919516
44,585,772.7,0.0916476
45,598,889.033,0.0908348
46,611,566.467,0.0885281
47,624,384.3,0.0878742
48,637,295.767,0.0884396
49,650,344.1,0.0856977
50,663,349.467,0.0845562
51,676,245.133,0.0874274
52,689,358.6,0.0883261
53,702,228.167,0.0869104
54,715,385.4,0.0845124
55,728,366.5,0.0811541
56,741,618.667,0.0769508
57,754,1031.93,0.0765271
58,767,967.433,0.0739917
59,780,750.767,0.0730464
60,793,1152.93,0.0702432
61,806,1010.57,0.069471
62,819,599.467,0.0675857
63,832,769.1,0.065196
64,845,1165.33,0.0645765
65,858,1318.07,0.0635626
66,871,772.633,0.061218
67,884,627.5,0.0591005
68,897,689.2,0.0576812
69,910,978.033,0.0554361
70,923,1189.97,0.0527883
71,936,1319.2,0.0501696
72,949,1799.33,0.0490278
73,962,2005.17,0.0475232
74,975,1667.77,0.0470227
75,988,2231.23,0.0461915
76,1001,2065.23,0.0458875
77,1014,2181.23,0.0452054
78,1027,2141.53,0.0432565
79,1040,2143.67,0.0421535
80,1053,2758.8,0.0419845
81,1066,1488.9,0.041881
82,1079,2125.1,0.0399015
83,1092,1672.8,0.0373869
84,1105,1637.67,0.0356016
85,1118,1834.47,0.0344561
86,1131,1828.73,0.0336662
87,1144,2084.43,0.0333313
88,1157,2187.8,0.0328791
89,1170,1456.8,0.033054
90,1183,2550.6,0.0327249
91,1196,2265.77,0.0331598
92,1209,3929.47,0.034298
93,1222,3750.87,0.0347866
94,1235,4466.07,0.0359049
95,1248,3928.27,0.03633
96,1261,3282.2,0.0363373
97,1274,2544.6,0.0365605
98,1287,4215.23,0.0361731
99,1300,7332.9,0.0355342
100,1313,7419.37,0.0358549
101,1326,4829.67,0.0370079
102,1339,5983.63,0.0369006
103,1352,4276.97,0.0369303
104,1365,6762.07,0.0377453
105,1378,8339.87,0.0378481
106,1391,5947.1,0.0385762
107,1404,3612.47,0.0387668
108,1417,7584.23,0.0388292
109,1430,6334.9,0.0395637
110,1443,8578.1,0.0402847
111,1456,8455.97,0.0404679
112,1469,10437.9,0.0405083
113,1482,11608.1,0.040638
114,1495,9295.93,0.0399183
115,1508,12647.8,0.0399347
116,1521,10454,0.0388387
117,1534,8175.47,0.0384075
118,1547,10395.1,0.0371001
119,1560,13032.1,0.0360918
120,1573,5432.9,0.0355608
121,1586,8232.47,0.0355981
122,1599,4928.23,0.0354045
123,1612,6587.83,0.0347089
124,1625,12571.2,0.0339887
125,1638,6605.73,0.0334584
126,1651,6902.83,0.0331252
127,1664,6446.23,0.0326862
128,1677,10325.9,0.0322413
129,1690,10215.4,0.0315625
130,1703,17937.3,0.0317545
131,1716,14978.9,0.0319979
132,1729,14370.1,0.0320048
133,1742,20672.8,0.0327112
134,1755,22977,0.0334909
135,1768,24875.8,0.0345583
136,1781,20336,0.0355592
137,1794,23280.1,0.0358001
138,1807,24669.9,0.036058
139,1820,17309.9,0.0354257
140,1833,33788.7,0.0346179
141,1846,26678.9,0.0343272
142,1859,38550.6,0.0339109
143,1872,30982.9,0.0331721
144,1885,31097.7,0.0328775
145,1898,30500.1,0.0328134
146,1911,49383.4,0.0334139
147,1924,44866.1,0.0327512
148,1937,51420.3,0.0320308
149,1950,54199.3,0.0312953
150,1963,58501.3,0.0311926
151,1976,64997.6,0.0301003
152,1989,41275.8,0.0287954
153,2002,35808.8,0.028135
154,2015,25254,0.0279955
155,2028,38870.7,0.0270644
156,2041,48803.2,0.0261652
157,2054,30090.9,0.0253345
158,2067,38917.4,0.0244575
159,2080,25223.4,0.0239379
160,2093,26973,0.0230639
161,2106,31670.3,0.022477
162,2119,26223.8,0.0227859
163,2132,20867.2,0.0222242
164,2145,50021.4,0.0211954
165,2158,27963.9,0.0206927
166,2171,38395.2,0.0208023
167,2184,38128.8,0.0209496
168,2197,37567.5,0.0211602
169,2210,39654.9,0.0207594
170,2223,31157.9,0.0201085
171,2236,43927.8,0.0194796
172,2249,39814.3,0.0185879
173,2262,41631.8,0.018016
174,2275,40466.7,0.0178781
175,2288,54033.4,0.0180633
176,2301,34055.1,0.0182244
