generation,agents,minScore,maxScore,meanScore,standardDeviation,stepSize
0,13,0,0,0,0,9.41762
1,26,0,9,3.8,2.45511,9.28619
2,39,0,7,1.53333,1.9954,9.19475
3,52,0,7,2.16667,1.91335,9.16546
4,65,0,12,3.13333,2.82517,9.12056
5,78,0,8,3,2.69098,9.30707
6,91,0,17,3.83333,3.15227,9.35903
7,104,0,17,8.43333,5.02191,9.35188
8,117,0,10,3.36667,3.35778,9.55376
9,130,5,36,16.2333,7.78895,9.61349
10,143,0,55,22.3333,13.3218,9.63213
11,156,3,49,23.4333,12.4144,9.86401
12,169,6,41,18,8.52582,10.226
13,182,7,114,33.8667,23.0438,10.1151
14,195,13,82,40.1667,18.9192,10.0402
15,208,4,146,48.4333,32.7348,10.417
16,221,8,108,39.2333,26.1385,11.0308
17,234,11,161,62.0667,35.7134,11.8271
18,247,10,107,60.3,25.1905,12.428
19,260,7,167,63.1,39.1543,12.9327
20,273,1,265,92.6,65.8392,13.3411
21,286,35,327,111.467,66.0787,13.687
22,299,18,223,106.967,51.8383,13.8579
23,312,57,359,142.233,81.6171,13.7877
24,325,10,325,115.5,75.0521,13.9363
25,338,42,372,114.133,65.5695,13.7541
26,351,16,295,128.633,69.3857,13.5382
27,364,35,439,133.633,81.1161,13.4568
28,377,42,465,160.8,99.2549,13.7672
29,390,39,267,127.967,65.5552,13.9446
30,403,22,523,183,125.151,14.3253
31,416,31,958,229.3,180.302,14.6937
32,429,73,600,239.6,137.337,15.226
33,442,46,1796,329.033,367.491,15.4903
34,455,33,786,291.667,192.721,15.1932
35,468,61,514,230.233,137.737,14.8103
36,481,69,939,230.033,168.816,14.1761
37,494,56,797,316.6,172.145,13.7925
38,507,28,695,214.633,169.485,13.443
39,520,61,1009,311.7,233.997,12.8557
40,533,52,878,325.967,217.542,12.7936
41,546,90,657,316.233,153.24,13.178
42,559,94,1125,427.633,295.692,13.3885
43,572,84,1327,356.4,272.305,13.6503
44,585,58,899,294.733,216.474,13.833
45,598,93,1404,382.9,289.765,13.5259
46,611,69,1978,430.533,467.399,12.9837
47,624,88,2524,673.733,501.067,12.3725
48,637,61,1009,374,244.736,12.3533
49,650,65,1524,457.967,355.369,12.0896
50,663,73,1150,433.2,296.828,12.3883
51,676,109,1432,485.267,370.101,12.154
52,689,106,1868,511.7,402.458,11.9683
53,702,75,2372,651.9,539.891,12.0743
54,715,80,1825,539.633,436.173,12.097
55,728,114,803,371.833,203.512,11.7653
56,741,119,1415,492.067,301.874,11.4571
57,754,69,1864,453.833,423.837,11.2217
58,767,77,4743,1079.47,1116.42,11.1105
59,780,121,957,462,262.824,11.2302
60,793,78,1961,596.867,479.803,11.2586
61,806,62,1907,660.033,507.545,11.1044
62,819,142,2196,573.767,515.59,10.8907
63,832,42,2114,617.867,520.477,10.715
64,845,87,2159,807.9,612.668,10.8405
65,858,96,3201,847.6,672.576,10.8613
66,871,147,4327,947.367,959.532,10.846
67,884,174,6041,1238.1,1312.58,11.1994
68,897,35,2571,849.567,704.989,11.5148
69,910,43,4406,930.967,943.66,11.4834
70,923,89,5369,1496.6,1485.25,11.0377
71,936,107,5120,1153.03,1030.41,10.8905
72,949,74,3885,1142.57,909.832,11.2279
73,962,88,2936,847.7,677.251,11.3083
74,975,189,4863,1380.17,1176.5,11.4044
75,988,152,6481,1211.1,1315.64,11.3688
76,1001,58,3757,1229.8,984.071,11.5819
77,1014,158,5721,1821.77,1441.66,11.4223
78,1027,57,13191,2437.23,2871.94,11.3719
79,1040,217,5313,1706.8,1330.52,11.1234
80,1053,55,3430,1157.87,927.403,11.222
81,1066,148,6730,1332.5,1261.67,11.192
82,1079,126,5851,1546.53,1439.77,11.0627
83,1092,142,4052,1538.53,1128.44,10.4494
84,1105,102,5397,1419.6,1230.92,9.96161
85,1118,131,5857,1342.93,1395.2,9.76416
86,1131,132,5448,1591.37,1367.01,9.62949
87,1144,277,6723,1709.8,1662.67,9.55537
88,1157,125,6604,2210.3,1661.61,9.23038
89,1170,153,4316,1872.93,1183.63,9.03839
90,1183,125,8777,2051.43,1929.43,8.44165
91,1196,96,5841,1243.37,1342.33,8.20144
92,1209,86,6623,1146.77,1363.96,8.07748
93,1222,216,4987,1677.07,1194.09,8.18303
94,1235,279,9803,1826.07,1933.66,7.83964
95,1248,163,6987,1966.07,1524.54,7.5302
96,1261,132,8999,1828.27,1826.69,7.30904
97,1274,208,4047,1503.73,1098.76,7.09914
98,1287,258,8290,1834.7,1774.47,7.01348
99,1300,148,5211,1527,1504.52,6.82887
100,1313,135,8016,1942.77,1807.24,6.51942
101,1326,21,9178,1540.97,1676.89,6.27374
102,1339,156,9998,1997.03,2172.91,6.23878
103,1352,116,5535,1659.7,1506.61,6.15079
104,1365,158,9111,2447.87,2184.89,5.88378
105,1378,43,6360,2331.13,2026.69,5.60503
106,1391,112,5801,1780.03,1568.22,5.37777
107,1404,142,5957,1646.23,1668.35,5.12416
108,1417,16,12528,2177.77,2712.85,5.01801
109,1430,105,5171,1691.63,1390.42,5.14211
110,1443,278,7287,2658.5,2376.42,5.31516
111,1456,71,11046,3089.93,2703.64,5.37783
112,1469,214,5101,1862.57,1223.46,5.32994
113,1482,303,6843,2251.67,1718.3,5.23827
114,1495,51,7355,2089.4,1779.95,5.25663
115,1508,178,10370,2680.23,2714.71,5.18969
116,1521,56,11511,2504.1,2675.31,5.03838
117,1534,129,7496,1890.57,1715.39,5.03472
118,1547,181,5873,1975.7,1550.9,4.99704
119,1560,65,6880,2323.73,2044.37,4.82575
120,1573,297,13253,2935.53,2860.03,4.70092
121,1586,320,12642,3315.03,2598.75,4.68481
122,1599,111,15108,3140.77,3306.61,4.60719
123,1612,391,11526,3138.13,2516.68,4.65883
124,1625,371,17790,4066.5,3622.59,4.88566
125,1638,115,7218,2146.5,1903.69,5.07928
126,1651,97,7142,2077.37,1896.93,5.18182
127,1664,345,12225,3067.6,2459.66,5.35503
128,1677,59,5919,1966.23,1450.92,5.59516
129,1690,70,8335,2517.57,2205.9,5.79004
130,1703,143,22572,3830.83,4460.81,6.16293
131,1716,369,6131,1834.53,1396.99,6.39734
132,1729,108,12739,3448.2,3353.83,6.90271
133,1742,13,4540,1741.5,1231.77,7.16942
134,1755,77,8569,2713,1951.89,7.47451
135,1768,37,14612,2381.3,2999.83,7.49775
