agents,meanScore,clow,chigh,Q1,Q2,Q3,means
13,0.89333395999999987,1.3911509251726935,0.65790550029675399,0.074999974999999997,1.0000015,1.45,"[0.0, 0.0333333, 0.0333333, 0.2, 0.833333, 1.16667, 1.3, 1.5, 1.9, 1.96667]"
26,0.67333362999999991,1.0485537819746471,0.49588386711704036,0.16666700000000001,0.33333299999999999,1.3833357500000001,"[0.0333333, 0.1, 0.166667, 0.166667, 0.233333, 0.433333, 0.533333, 1.66667, 1.66667, 1.73333]"
39,1.9099996300000002,2.9743610691280593,1.4066399783366184,0.65833300000000006,0.99999850000000001,1.9916699999999998,"[0.0, 0.0333333, 0.633333, 0.733333, 0.966667, 1.03333, 1.46667, 2.16667, 4.93333, 7.13333]"
52,2.5766666999999996,4.0125333011706736,1.8976141849141011,0.54166674999999997,0.99999850000000001,2.2333349999999998,"[0.1, 0.133333, 0.5, 0.666667, 0.966667, 1.03333, 1.23333, 2.56667, 7.06667, 11.5]"
65,3.2133327,5.0039861447701703,2.3664937775492376,1.5333325,2.1666650000000001,2.7916650000000001,"[0.166667, 0.8, 1.5, 1.63333, 2.03333, 2.3, 2.66667, 2.83333, 8.9, 9.3]"
78,6.2800006700000006,9.7795775525601165,4.6249747212792647,1.24999975,2.6499999999999999,6.9666699999999997,"[0.0666667, 0.666667, 0.833333, 2.5, 2.56667, 2.73333, 3.36667, 8.16667, 10.7333, 31.1667]"
91,7.1400036,11.118823484418259,5.2583332224139614,2.8166675000000003,4.1833349999999996,10.658332500000002,"[0.133333, 0.933333, 2.7, 3.16667, 3.36667, 5.0, 5.73333, 12.3, 16.5, 21.5667]"
104,9.3599989999999984,14.57592776218368,6.8932729534564166,2.48333,5.0333299999999994,10.916642499999998,"[0.766667, 0.933333, 2.13333, 3.53333, 4.13333, 5.93333, 9.36667, 11.4333, 25.6, 29.7667]"
117,8.9199973000000004,13.890731856239887,6.5692289211776922,3.125,4.2833350000000001,11.733325000000001,"[0.633333, 2.06667, 3.0, 3.5, 3.9, 4.66667, 10.0333, 12.3, 18.0333, 31.0667]"
130,12.449995300000001,19.387847384633947,9.1689342992610925,3.9083324999999993,7.5333299999999994,20.008299999999998,"[0.433333, 1.73333, 3.8, 4.23333, 7.43333, 7.63333, 15.7333, 21.4333, 30.9667, 31.1]"
143,16.360009999999999,25.476746733477498,12.048507104677739,6.8499975000000006,12.216699999999999,24.383324999999999,"[1.46667, 2.0, 6.33333, 8.4, 12.0667, 12.3667, 18.0333, 26.5, 33.4667, 42.9667]"
156,25.819996699999997,40.208381081987405,19.015417086096264,11.741675000000001,17.600000000000001,36.183324999999996,"[0.966667, 2.1, 11.4, 12.7667, 13.3, 21.9, 32.2333, 37.5, 45.0333, 81.0]"
169,35.246676999999998,54.888148792432673,25.957798207383828,11.041699999999999,25.449999999999999,54.183325000000004,"[2.3, 3.26667, 10.4667, 12.7667, 22.1333, 28.7667, 30.1333, 62.2, 82.9667, 97.4667]"
182,49.593260000000001,77.229471418874468,36.523495123421711,12.083350000000001,21.199999999999999,78.433300000000003,"[2.53333, 2.56667, 12.0667, 12.1333, 16.2667, 26.1333, 63.1333, 83.5333, 137.533, 140.033]"
195,44.516632999999999,69.323856426014814,32.784758015235411,15.38335,22.083350000000003,68.708349999999996,"[2.03333, 3.8, 14.3667, 18.4333, 19.3, 24.8667, 64.9333, 69.9667, 81.0333, 146.433]"
208,46.30996600000001,72.116537521551294,34.105477586406408,13.825025000000002,29.5167,63.2333,"[1.63333, 3.43333, 11.5667, 20.6, 28.2667, 30.7667, 53.6333, 66.4333, 91.1333, 155.633]"
221,45.60669,71.02135576214323,33.587542335599743,16.999974999999999,38.033299999999997,61.724975000000001,"[1.73333, 6.36667, 14.2333, 25.3, 28.6333, 47.4333, 61.4, 61.8333, 62.6667, 146.467]"
234,59.953296999999999,93.362715762762761,44.153256926698376,22.625025000000001,47.666650000000004,69.7333,"[1.26667, 4.5, 22.3667, 23.4, 35.7, 59.6333, 62.8333, 72.0333, 97.2667, 220.533]"
247,79.576639999999998,123.9213119784838,58.605081073078971,32.191675000000004,69.333349999999996,111.0665,"[1.7, 5.5, 27.6, 45.9667, 59.5, 79.1667, 104.267, 113.333, 177.2, 181.533]"
260,75.206670000000003,117.11614383232163,55.386769189881562,24.266674999999999,78.650000000000006,88.66664999999999,"[1.96667, 9.53333, 18.6, 41.2667, 74.8667, 82.4333, 84.8667, 89.9333, 122.333, 226.267]"
273,97.776629999999997,152.26338119371187,72.008661438865062,33.166649999999997,94.549999999999997,145.92474999999999,"[1.4, 15.5333, 24.8333, 58.1667, 93.6, 95.5, 111.4, 157.433, 197.667, 222.233]"
286,116.11662299999998,180.82347111754132,85.515348535036722,36.958300000000001,118.75,195.50825,"[1.93333, 27.7333, 29.7333, 58.6333, 116.533, 120.967, 137.033, 215.0, 217.833, 235.767]"
299,113.18002999999999,176.25043992010913,83.352662716137672,52.558299999999996,115.15000000000001,155.6335,"[1.9, 30.6667, 51.5333, 55.6333, 113.533, 116.767, 133.033, 163.167, 174.2, 291.367]"
312,124.31660300000001,193.59295070096346,91.554312893140178,58.991674999999994,138.93299999999999,169.75,"[1.23333, 46.9, 58.3, 61.0667, 125.233, 152.633, 161.2, 172.6, 213.867, 250.133]"
