agents,meanScore,clow,chigh,Q1,Q2,Q3,means
65,1.5677773233333334,2.4414328475992741,1.1546066425836121,0.60666699999999985,1.2666649999999999,2.1533309999999997,"[0.0666667, 0.133333, 0.133333, 0.333333, 0.4, 0.4, 0.433333, 0.466667, 0.466667, 0.666667, 0.666667, 0.733333, 0.933333, 0.966667, 1.13333, 1.4, 1.46667, 1.73333, 1.73333, 2.0, 2.13333, 2.2, 2.46667, 2.5, 2.73333, 3.13333, 3.23333, 3.76667, 3.76667, 4.83333]"
130,2.6577779233333332,4.138844354409998,1.9573494265551985,1.2933309999999998,1.7999999999999998,3.3766689999999997,"[0.0666667, 0.266667, 0.266667, 0.6, 0.6, 0.666667, 1.03333, 1.1, 1.2, 1.33333, 1.36667, 1.46667, 1.5, 1.66667, 1.76667, 1.83333, 2.1, 2.43333, 2.86667, 3.03333, 3.36667, 3.4, 3.53333, 3.56667, 3.63333, 3.73333, 4.1, 5.06667, 7.56667, 14.6]"
195,4.7444472100000006,7.3883255547841324,3.4940996929374424,1.7266679999999999,2.8499999999999996,5.5800009999999993,"[0.0333333, 0.466667, 0.633333, 0.833333, 1.0, 1.2, 1.3, 1.33333, 1.63333, 1.76667, 1.76667, 2.4, 2.5, 2.8, 2.8, 2.9, 3.03333, 3.4, 3.56667, 3.9, 5.5, 5.76667, 6.46667, 7.06667, 7.36667, 8.7, 9.86667, 11.6667, 11.7667, 28.9]"
260,5.9311102333333334,9.2362653362051716,4.3680305687431433,3.5066699999999997,4.3333349999999999,5.8399989999999997,"[0.3, 0.4, 0.466667, 1.7, 2.0, 2.4, 3.1, 3.16667, 3.36667, 3.56667, 3.73333, 3.73333, 4.0, 4.1, 4.2, 4.46667, 4.56667, 4.56667, 5.33333, 5.63333, 5.8, 5.93333, 6.46667, 6.6, 8.0, 12.1, 12.4, 12.8, 18.4333, 24.6]"
325,8.4299992333333336,13.127678738035172,6.2083645214914025,4.0833319999999986,5.7000000000000002,8.6200010000000002,"[0.266667, 1.2, 1.23333, 1.4, 1.56667, 1.86667, 2.76667, 2.83333, 3.26667, 4.43333, 4.46667, 4.86667, 5.03333, 5.43333, 5.7, 5.7, 6.1, 6.76667, 7.23333, 8.3, 8.6, 8.66667, 9.56667, 9.8, 13.9333, 14.6, 16.4, 18.5667, 21.6, 50.7333]"
390,11.722220666666665,18.254514947032575,8.6329567637754234,4.1466690000000002,6.6833299999999998,11.349999999999998,"[1.5, 1.6, 1.8, 1.83333, 2.96667, 3.26667, 3.46667, 3.83333, 4.1, 4.16667, 4.83333, 5.6, 5.73333, 5.83333, 6.33333, 7.03333, 9.0, 9.03333, 10.7, 10.8333, 11.2, 11.7, 12.7333, 16.7, 16.7667, 22.9, 23.6667, 24.2333, 41.8, 66.5]"
455,12.902226333333335,20.092087510480578,9.5019847569363893,5.5733309999999996,11.550000000000001,15.960009999999997,"[1.5, 1.53333, 1.96667, 2.16667, 2.33333, 2.83333, 3.26667, 4.16667, 5.2, 5.73333, 5.83333, 7.4, 7.53333, 7.73333, 10.5667, 12.5333, 12.6667, 13.6667, 15.3333, 15.3667, 15.7, 16.5667, 16.6333, 17.3667, 20.1, 21.9333, 24.3667, 33.0333, 37.8667, 44.1667]"
520,15.478877666666667,24.104596881795786,11.399587624901876,10.489999999999998,15.716650000000001,20.893309999999996,"[1.03333, 1.63333, 2.4, 2.7, 2.86667, 4.96667, 5.13333, 5.5, 8.6, 11.3, 12.2333, 12.8, 12.9, 13.4333, 15.6333, 15.8, 17.3, 17.5, 17.7333, 20.3, 20.6333, 21.5, 22.6333, 22.7333, 23.6333, 26.7667, 27.7, 29.2333, 31.8333, 35.9333]"
585,24.500001333333334,38.152808521461438,18.043292157479168,12.683319999999998,22.699999999999999,29.986699999999999,"[0.7, 1.33333, 2.16667, 3.26667, 4.26667, 5.93333, 7.5, 7.56667, 10.4667, 13.6333, 15.6667, 16.6333, 16.8333, 20.6, 22.4, 23.0, 25.3333, 25.6667, 27.0, 27.0333, 29.8667, 30.2667, 31.7667, 33.1, 41.0333, 43.5, 44.2, 45.0333, 59.4667, 99.7667]"
650,26.117771000000001,40.672092315956,19.234716204442801,14.360009999999999,28.033300000000001,34.113319999999987,"[1.16667, 1.26667, 2.5, 4.13333, 5.0, 7.03333, 8.0, 9.33333, 14.2667, 14.4, 21.0333, 22.2, 23.2, 25.8667, 27.7333, 28.3333, 28.4333, 29.8333, 30.7, 32.7, 33.2333, 36.1667, 38.1, 38.4333, 38.9333, 39.3333, 51.9, 53.9, 54.8667, 61.5333]"
715,27.632218899999998,43.030477524115824,20.350047813825324,16.576679999999996,32.933300000000003,37.286689999999993,"[0.766667, 0.8, 2.33333, 2.76667, 4.36667, 9.53333, 10.3667, 10.9667, 14.0333, 17.6667, 21.7, 24.1667, 25.5, 30.0, 32.7333, 33.1333, 34.6, 35.2, 36.8667, 36.9, 37.0667, 37.8, 38.4333, 39.1333, 40.7333, 40.8333, 44.4333, 53.8, 53.9, 58.4333]"
780,31.349997766666664,48.820016197817239,23.088046451274455,17.673299999999998,31.549999999999997,43.876689999999996,"[0.333333, 0.5, 2.16667, 2.33333, 6.7, 11.6667, 12.9667, 15.3333, 15.4333, 18.6333, 23.7, 25.5667, 26.9667, 27.7, 29.2, 33.9, 35.3333, 39.6333, 39.9, 42.2, 43.2667, 45.3, 45.9333, 47.6667, 52.2333, 53.3667, 55.6333, 58.1333, 63.0333, 65.7667]"
845,34.863332333333332,54.291182471244845,25.67547986284286,23.603299999999997,36.833349999999996,43.929989999999982,"[0.6, 1.3, 3.26667, 4.3, 8.2, 14.2, 17.2, 22.1333, 22.8333, 23.9333, 27.2333, 29.2333, 31.8, 33.2333, 36.0667, 37.6, 38.0333, 40.5, 42.0333, 42.0667, 42.3, 47.7333, 48.9667, 51.0, 54.7667, 60.1667, 60.3667, 61.5667, 64.7, 78.5667]"
910,38.490002433333331,59.93884134331006,28.346380459246674,29.849989999999998,36.716700000000003,48.03000999999999,"[0.433333, 0.9, 4.46667, 5.0, 6.36667, 18.1333, 24.3333, 26.6333, 29.7333, 29.9, 30.1333, 31.5667, 32.0667, 34.6333, 36.0667, 37.3667, 39.3, 41.3667, 42.4667, 46.3333, 46.9, 50.6667, 51.8667, 54.1333, 55.3667, 60.0333, 61.6, 75.3667, 84.7, 96.8667]"
975,41.203335666666668,64.164199615655917,30.344644197421339,31.426679999999998,42.166700000000006,53.356679999999997,"[1.23333, 1.26667, 2.26667, 3.4, 13.0667, 19.9667, 27.0, 28.3667, 30.6333, 31.7667, 34.0667, 38.0333, 39.7333, 40.8333, 41.3667, 42.9667, 44.6667, 46.7333, 48.9333, 51.9667, 52.4667, 55.4333, 58.7, 61.1667, 62.6333, 65.6667, 68.6333, 69.8333, 70.4333, 82.8667]"
1040,46.036664100000003,71.690936113723382,33.904201432915542,37.939990000000002,47.466650000000001,58.010009999999987,"[0.833333, 1.13333, 2.03333, 5.53333, 14.4, 14.8667, 26.4667, 30.3333, 37.3333, 38.2, 41.2, 42.2333, 44.6333, 46.0333, 46.8333, 48.1, 48.8667, 50.0, 50.1, 55.0667, 56.7, 61.0667, 64.2667, 64.8333, 70.9, 76.1333, 81.9667, 85.0333, 87.9333, 88.0667]"
1105,46.199994333333329,71.945283329192875,34.02448775772374,40.153299999999994,53.583350000000003,60.49998999999999,"[1.46667, 1.6, 1.93333, 6.33333, 12.6333, 21.6667, 30.1333, 33.4, 39.0333, 40.6333, 42.0333, 42.8, 46.4333, 52.7333, 53.2, 53.9667, 54.5, 54.6667, 55.7, 58.1333, 59.5, 62.8333, 63.5, 65.1667, 65.9667, 66.4, 71.4, 72.4, 77.4333, 78.4]"
1170,48.152234666666665,74.985424046418188,35.462236360946179,37.343309999999995,45.549999999999997,53.446699999999993,"[1.46667, 2.9, 4.8, 6.16667, 16.0667, 18.6333, 22.4333, 31.7667, 35.5, 38.1333, 40.4333, 43.1, 43.4, 44.4667, 45.0667, 46.0333, 46.9, 48.6667, 49.4667, 52.6333, 53.2667, 53.8667, 60.0333, 64.7667, 69.9333, 71.7667, 71.9, 91.4333, 109.3, 160.267]"
1235,51.525553999999993,80.238550560795403,37.94655403275771,41.566689999999994,51.549999999999997,67.836699999999993,"[2.23333, 2.73333, 4.13333, 7.33333, 22.6333, 22.7667, 31.3333, 34.7667, 38.3, 42.9667, 43.3333, 45.2667, 47.7333, 48.9333, 51.2, 51.9, 52.4, 54.9, 57.0333, 66.8, 67.5667, 68.4667, 71.3667, 73.7, 76.2333, 84.3667, 89.3333, 89.5, 90.4333, 106.1]"
1300,50.876674333333334,79.228077894325764,37.468679552612883,36.51332,54.299999999999997,65.080000000000013,"[2.9, 3.9, 4.03333, 4.7, 26.4333, 26.4667, 27.9, 28.6, 33.6667, 37.7333, 44.0, 48.1333, 51.3, 53.2333, 54.0333, 54.5667, 56.0333, 59.0, 61.4667, 62.1, 64.9, 65.5, 69.8333, 70.0333, 75.1667, 76.2667, 78.1333, 91.0333, 94.3667, 100.867]"
1365,55.335557666666666,86.171706987306592,40.752472626125417,44.156679999999994,52.433350000000004,66.090009999999978,"[3.36667, 3.6, 6.33333, 7.63333, 18.1333, 33.9333, 35.7, 38.3, 40.6333, 45.6667, 45.8, 48.6667, 51.5, 52.3, 52.3667, 52.5, 54.6667, 55.2333, 57.0333, 60.4667, 63.7, 71.6667, 77.9333, 85.3, 89.3, 94.2, 94.2667, 97.6667, 100.433, 121.767]"
