agents,meanScore,clow,chigh,Q1,Q2,Q3,means
350,6.0522205333333323,9.4248652478137505,4.4572235649576717,1.6000000000000001,3.75,5.5966699999999996,"[0.5, 0.7, 0.7, 0.833333, 0.933333, 1.26667, 1.46667, 1.46667, 1.6, 1.6, 2.26667, 2.53333, 3.33333, 3.56667, 3.73333, 3.76667, 4.0, 4.1, 4.23333, 4.5, 5.56667, 5.66667, 5.76667, 7.3, 7.36667, 9.13333, 11.7333, 20.1333, 24.2333, 37.5667]"
700,11.0355531,17.185196793433654,8.1272529741362298,5.9366700000000003,7.4166650000000001,11.659999999999988,"[0.833333, 1.13333, 1.73333, 2.46667, 3.1, 3.13333, 3.53333, 4.93333, 5.86667, 5.96667, 6.0, 6.0, 6.43333, 6.7, 7.23333, 7.6, 8.4, 8.96667, 9.06667, 9.4, 10.4, 14.6, 15.9667, 17.4333, 18.7333, 21.1, 21.6667, 29.5, 32.8333, 40.3333]"
1050,21.974442333333332,34.219863064615467,16.183316793479829,11.280009999999999,17.399999999999999,27.153309999999998,"[1.76667, 3.3, 6.0, 6.6, 7.73333, 9.16667, 10.0, 10.5, 10.7667, 11.5, 13.0, 13.8333, 14.9333, 15.7333, 16.9667, 17.8333, 19.3, 20.0667, 22.0, 25.9, 26.8333, 27.9, 27.9, 30.6667, 30.7, 40.6333, 41.7333, 46.8, 62.2667, 66.9]"
1400,38.772226666666668,60.378337120799387,28.554227562055836,29.036679999999997,33.466650000000001,45.806689999999996,"[2.6, 8.9, 9.8, 16.9, 20.5333, 21.1, 25.1667, 27.4, 28.7333, 29.1667, 30.2, 31.1333, 31.8, 32.2, 32.5, 34.4333, 37.5667, 38.1, 38.9, 41.3, 45.7667, 45.9, 47.7667, 48.6, 64.0, 68.3667, 72.5, 72.6667, 75.9667, 83.2]"
1750,51.495550000000001,80.191826609588077,37.924457260985029,40.73001,51.116700000000002,57.346689999999995,"[13.3, 13.9667, 18.6, 19.5667, 21.0333, 23.9333, 39.2667, 40.5333, 40.5667, 40.8, 42.0333, 44.5, 46.7333, 50.2667, 50.8667, 51.3667, 53.0333, 53.1, 56.3667, 56.6, 56.7667, 58.7, 60.6667, 60.9, 76.8333, 79.2333, 84.9667, 88.2667, 96.5667, 105.533]"
2100,74.289983333333339,115.68862673174392,54.711665335049162,57.850009999999997,69.666650000000004,82.673299999999998,"[40.8333, 41.0667, 41.6333, 42.0, 50.3667, 50.7667, 54.9, 57.1333, 57.2667, 58.1, 64.0, 66.0, 67.3333, 67.5333, 69.4333, 69.9, 71.1, 80.1, 81.0, 82.0, 82.4333, 83.2333, 90.5333, 92.4667, 93.5333, 98.6, 102.933, 115.6, 123.633, 133.267]"
2450,87.204416666666674,135.79972368337863,64.222640069756153,69.30001,84.150000000000006,96.163309999999996,"[27.0333, 45.8667, 50.1333, 50.8667, 53.5667, 54.2667, 58.6333, 63.7, 66.9667, 70.3, 74.8667, 81.1, 81.4667, 82.3667, 83.0667, 85.2333, 86.8, 87.7, 88.9667, 93.1, 95.9333, 96.7, 104.967, 114.7, 121.733, 122.033, 136.667, 139.433, 145.133, 152.833]"
2800,104.56442666666666,162.83372782277928,77.007608038741282,88.856699999999989,99.633350000000007,122.65009999999999,"[51.4333, 57.3667, 61.0667, 67.6, 70.7667, 78.5333, 80.8, 83.2333, 84.8667, 90.5667, 91.1667, 92.6, 93.7333, 96.3667, 97.5667, 101.7, 110.833, 112.967, 114.167, 119.233, 122.6, 122.767, 128.033, 132.633, 133.833, 136.667, 141.7, 148.367, 148.733, 165.033]"
3150,124.38443333333333,193.69857998989303,91.604267279053104,108.24680000000001,119.51650000000001,140.12700000000001,"[77.0, 80.1, 92.2667, 93.0667, 94.0, 97.0333, 97.5333, 105.733, 107.033, 108.767, 109.367, 110.533, 115.567, 115.633, 116.4, 122.633, 127.267, 128.067, 128.967, 131.9, 140.067, 140.267, 143.533, 143.867, 144.833, 149.067, 153.233, 159.933, 176.333, 221.533]"
3500,136.53777666666667,212.62446390245361,100.55472901454438,107.8169,146.98349999999999,156.2901,"[77.2, 77.4, 88.6333, 101.133, 101.967, 102.933, 103.2, 103.933, 107.0, 108.167, 109.667, 114.967, 117.2, 130.133, 146.3, 147.667, 150.133, 150.533, 152.733, 153.867, 155.4, 158.367, 163.133, 166.933, 167.767, 169.0, 174.033, 177.0, 177.667, 242.067]"
3850,159.88779000000002,248.98644509419231,117.75110001560041,129.90700000000001,147.31649999999999,170.44999999999999,"[91.5667, 116.967, 118.633, 118.7, 124.733, 125.733, 129.133, 129.567, 129.767, 129.967, 130.0, 132.5, 134.4, 145.267, 146.7, 147.933, 148.233, 150.567, 159.567, 167.9, 169.4, 172.9, 173.567, 178.4, 178.767, 192.733, 193.433, 252.933, 267.267, 339.4]"
4200,189.46223333333333,295.0414660010814,139.53152011427733,160.6431,183.75,218.10319999999996,"[95.0, 101.8, 114.1, 141.8, 144.567, 148.3, 150.5, 156.0, 160.2, 160.833, 172.967, 178.767, 180.367, 180.433, 183.033, 184.467, 186.4, 189.867, 199.933, 206.733, 214.733, 225.967, 226.467, 228.733, 240.3, 248.933, 249.133, 253.467, 271.367, 288.7]"
4550,211.26776666666669,328.99829427451976,155.59044203962787,179.26999999999998,213.2835,227.36320000000001,"[107.3, 119.033, 147.533, 148.267, 150.3, 157.133, 160.067, 166.433, 172.2, 182.3, 193.567, 194.2, 202.2, 211.933, 212.267, 214.3, 220.333, 221.233, 222.667, 223.233, 226.333, 229.767, 231.967, 238.8, 239.233, 240.467, 251.0, 278.5, 316.967, 458.5]"
4900,218.94560000000001,340.95465709429709,161.24486581230272,175.77699999999999,203.33350000000002,242.68309999999997,"[122.7, 125.3, 130.1, 138.767, 143.6, 146.9, 151.967, 156.0, 157.367, 183.667, 186.667, 197.4, 197.833, 200.933, 202.0, 204.667, 205.1, 215.1, 237.233, 239.067, 241.433, 245.6, 262.6, 266.4, 275.0, 276.467, 301.533, 306.7, 402.0, 448.267]"
5250,258.93220000000002,403.22408608198543,190.69343180901708,200.7199,233.5335,269.38299999999998,"[122.233, 132.067, 138.333, 146.267, 175.6, 191.0, 192.333, 193.9, 195.633, 202.9, 215.9, 221.933, 227.967, 228.8, 230.467, 236.6, 239.867, 245.567, 252.133, 253.667, 264.733, 280.233, 291.633, 349.4, 366.5, 383.667, 395.8, 413.067, 421.133, 558.633]"
5600,275.2355,428.61252074797306,202.70017421807995,205.05689999999998,243.59999999999999,312.67989999999992,"[119.9, 132.633, 170.367, 175.367, 177.833, 182.033, 182.467, 187.733, 195.0, 209.367, 210.333, 228.167, 232.1, 237.333, 239.267, 247.933, 248.767, 285.333, 294.167, 299.833, 303.7, 333.633, 354.367, 358.767, 362.333, 380.333, 406.733, 434.7, 485.333, 581.233]"
5950,323.43886666666663,503.67757048007076,238.20006729593987,227.8768,243.2835,327.30009999999993,"[175.167, 181.8, 189.5, 193.1, 201.633, 208.733, 210.2, 222.633, 225.333, 228.967, 232.367, 232.8, 233.333, 241.233, 242.267, 244.3, 265.233, 270.833, 291.9, 302.2, 319.9, 344.567, 352.1, 374.9, 448.5, 452.5, 537.633, 678.967, 681.8, 918.767]"
6300,335.34226666666666,522.21422828573702,246.96645554813662,241.98689999999999,292.79999999999995,358.56679999999994,"[182.267, 192.867, 203.367, 212.8, 221.633, 223.6, 235.8, 236.5, 241.8, 242.067, 247.7, 256.4, 264.533, 264.667, 286.667, 298.933, 306.967, 330.433, 345.033, 349.167, 349.667, 379.333, 391.7, 447.067, 485.233, 492.233, 499.567, 533.6, 654.7, 683.967]"
6650,382.77330000000001,596.07655621466017,281.89755535179648,244.20690000000002,308.69999999999999,484.78319999999997,"[174.933, 180.067, 181.833, 187.1, 190.267, 200.133, 211.333, 229.567, 240.8, 245.667, 257.233, 277.167, 304.633, 304.967, 306.2, 311.2, 316.967, 331.167, 345.0, 347.8, 479.133, 497.967, 523.9, 527.333, 577.8, 599.233, 624.533, 676.6, 911.633, 921.033]"
7000,423.57330000000002,659.61265837632652,311.9451586155385,288.99310000000003,382.23349999999999,474.78009999999995,"[191.267, 198.933, 214.467, 225.433, 236.7, 259.0, 266.367, 273.233, 282.6, 291.733, 304.9, 326.1, 346.0, 366.6, 378.2, 386.267, 399.833, 429.7, 456.233, 467.733, 470.5, 484.767, 486.867, 568.2, 601.8, 623.533, 723.8, 741.467, 845.833, 859.133]"
7350,468.38336666666669,729.39346655290524,344.94601904254415,307.90699999999998,398.14999999999998,573.92309999999998,"[204.833, 210.4, 221.467, 232.533, 235.867, 254.467, 266.233, 278.433, 279.067, 320.267, 332.2, 339.9, 355.533, 381.367, 383.333, 412.967, 476.5, 479.5, 489.567, 554.767, 567.333, 589.3, 637.433, 688.7, 719.367, 748.367, 765.5, 813.133, 833.067, 980.1]"
7700,545.76549999999997,849.89736677237443,401.93493183916138,358.43989999999997,458.2165,643.44299999999987,"[174.4, 221.367, 249.733, 280.633, 297.9, 308.967, 324.033, 343.467, 355.033, 359.9, 374.933, 386.3, 392.333, 443.367, 448.7, 467.733, 489.867, 490.033, 514.0, 529.133, 629.433, 676.133, 697.7, 731.7, 810.9, 843.267, 1041.8, 1065.83, 1104.37, 1320.0]"
8050,595.16216666666674,926.82069176696052,438.31364366639946,324.73320000000001,482.56700000000001,744.25009999999997,"[206.033, 220.433, 233.5, 235.433, 262.433, 271.0, 288.267, 300.733, 318.667, 327.333, 381.3, 385.5, 439.5, 440.4, 451.967, 513.167, 600.767, 693.733, 694.233, 705.833, 735.2, 765.367, 798.533, 833.7, 862.533, 890.5, 1066.67, 1127.23, 1330.8, 1474.1]"
8400,619.0687999999999,964.04947357598394,455.91994351374609,414.74699999999996,557.15000000000009,715.93309999999997,"[178.5, 264.2, 276.667, 299.8, 316.5, 341.233, 349.7, 383.933, 389.267, 425.667, 437.133, 475.3, 495.867, 543.967, 548.133, 566.167, 566.9, 580.467, 597.033, 607.233, 712.733, 723.4, 780.767, 889.067, 1005.63, 1006.27, 1027.1, 1133.17, 1292.03, 1358.23]"
8750,694.57973333333337,1081.63943373749,511.53079074107154,491.06989999999996,650.54999999999995,817.87310000000002,"[236.2, 257.967, 270.4, 301.1, 333.6, 336.667, 403.1, 409.633, 461.833, 503.6, 512.467, 591.633, 596.9, 617.833, 648.6, 652.5, 687.2, 703.133, 769.3, 803.8, 817.433, 818.9, 820.4, 851.533, 1046.7, 1113.13, 1141.83, 1173.83, 1402.17, 1554.0]"
9100,758.87419999999997,1181.7624681140383,558.8811492325882,451.00999999999999,702.06700000000001,934.93989999999997,"[223.733, 263.833, 285.933, 314.667, 320.5, 323.3, 346.733, 351.133, 449.4, 451.7, 488.167, 536.533, 581.0, 618.0, 674.367, 729.767, 804.267, 849.867, 879.9, 931.3, 933.7, 937.833, 946.633, 1035.67, 1117.63, 1261.9, 1343.33, 1445.3, 1469.73, 1850.4]"
9450,848.58943333333332,1321.4721796464992,624.95290751479513,615.78309999999988,793.51700000000005,1023.7899999999997,"[244.8, 326.6, 333.9, 343.067, 385.133, 401.733, 470.2, 527.067, 538.9, 648.733, 682.233, 704.133, 719.933, 754.033, 779.267, 807.767, 848.1, 874.2, 917.967, 978.567, 1006.87, 1063.27, 1071.67, 1086.6, 1165.0, 1291.33, 1409.6, 1497.57, 1623.27, 1956.17]"
9800,951.91253333333339,1482.3728423244418,701.04632704371522,768.33310000000006,890.2835,1135.1599999999999,"[275.733, 280.533, 291.0, 354.367, 449.433, 555.467, 674.633, 754.367, 765.3, 769.633, 791.733, 798.0, 830.0, 856.4, 857.6, 922.967, 935.567, 952.4, 979.333, 1114.4, 1115.3, 1181.5, 1203.87, 1292.8, 1337.13, 1343.4, 1353.0, 1557.57, 1740.97, 2222.97]"
10150,923.9135,1438.7711403074181,680.42613475527685,778.4899999999999,939.59999999999991,1103.48,"[302.433, 304.867, 310.7, 461.733, 475.567, 679.0, 696.533, 720.933, 757.7, 787.4, 810.033, 820.333, 835.333, 911.8, 921.967, 957.233, 963.7, 984.333, 991.467, 1021.9, 1100.03, 1111.53, 1118.8, 1154.37, 1163.47, 1265.1, 1392.43, 1427.07, 1612.27, 1657.37]"
10500,1111.184,1730.3995133433573,818.34352904455613,827.20009999999991,1054.8150000000001,1429.1689999999996,"[283.5, 306.033, 308.667, 454.2, 564.4, 638.6, 659.767, 765.133, 786.367, 844.7, 845.767, 946.533, 952.733, 1012.67, 1036.4, 1073.23, 1120.5, 1174.2, 1198.4, 1237.0, 1397.0, 1504.23, 1517.23, 1534.53, 1537.03, 1566.57, 1744.47, 1870.73, 2013.7, 2441.23]"
