agents,meanScore,clow,chigh,Q1,Q2,Q3,means
130,1.38333358,2.1542064623172439,1.0187710439522526,0.33333299999999999,0.65000000000000002,1.3733309999999985,"[0.0666667, 0.0666667, 0.1, 0.133333, 0.266667, 0.266667, 0.266667, 0.3, 0.333333, 0.333333, 0.4, 0.433333, 0.5, 0.566667, 0.633333, 0.666667, 0.666667, 0.666667, 0.8, 1.06667, 1.23333, 1.7, 1.9, 1.96667, 2.26667, 2.43333, 4.4, 4.86667, 4.93333, 7.26667]"
260,2.5222234233333336,3.9277511053787824,1.8575188423244411,0.69666679999999981,1.45,2.2866679999999997,"[0.0333333, 0.0666667, 0.0666667, 0.133333, 0.166667, 0.2, 0.233333, 0.433333, 0.533333, 0.766667, 0.833333, 0.966667, 1.16667, 1.2, 1.43333, 1.46667, 1.53333, 1.6, 1.76667, 1.8, 2.26667, 2.33333, 2.4, 3.33333, 3.76667, 4.5, 5.13333, 8.16667, 10.3, 17.0667]"
390,5.5766682000000003,8.684307854826363,4.1069978825276037,1.9599989999999998,4.1833349999999996,5.9800009999999961,"[0.1, 0.2, 0.3, 0.4, 0.733333, 0.933333, 1.06667, 1.23333, 1.63333, 2.1, 3.1, 3.53333, 3.6, 3.76667, 4.16667, 4.2, 4.73333, 4.76667, 5.4, 5.46667, 5.6, 6.86667, 7.96667, 8.66667, 10.4, 10.8667, 11.7, 14.7, 17.9, 21.2]"
520,6.7511127999999996,10.513220406022864,4.9719303677247639,3.0899990000000002,4.8833349999999998,6.8900009999999945,"[0.366667, 0.5, 0.866667, 1.13333, 1.66667, 1.96667, 2.5, 2.66667, 2.83333, 3.2, 3.76667, 4.46667, 4.6, 4.73333, 4.8, 4.96667, 5.13333, 5.36667, 5.7, 6.2, 6.3, 8.26667, 8.86667, 10.7, 10.8667, 11.1667, 13.5667, 16.7333, 19.4, 29.2333]"
650,9.8877718666666663,15.397805967445661,7.2819570149997475,4.5899989999999997,9.4166650000000001,11.383299999999998,"[0.633333, 0.833333, 1.63333, 1.66667, 2.03333, 2.16667, 3.3, 3.9, 4.33333, 4.7, 5.53333, 5.93333, 8.0, 9.1, 9.4, 9.43333, 9.96667, 10.6, 11.1333, 11.2, 11.2333, 11.7333, 12.7, 13.9, 18.3, 18.8667, 18.9333, 20.1333, 21.8, 33.5333]"
780,16.220000433333333,25.258715798885735,11.945395538199103,6.4899989999999992,12.033300000000001,18.94332,"[0.933333, 1.46667, 2.96667, 3.13333, 4.16667, 5.1, 5.66667, 5.86667, 6.23333, 6.6, 8.7, 8.86667, 8.9, 10.8, 11.3333, 12.7333, 13.5, 15.1333, 15.6667, 15.7, 18.9333, 18.9667, 19.4, 19.4, 24.7, 25.4667, 26.8667, 37.3, 43.5667, 88.5333]"
910,21.545554566666667,33.551974413663942,15.867457738149627,10.3033,14.666700000000001,26.689999999999998,"[0.666667, 2.86667, 5.4, 5.43333, 6.3, 7.1, 7.1, 7.66667, 10.2333, 10.3333, 10.8333, 12.1667, 12.4, 12.5667, 13.5667, 15.7667, 18.6333, 24.7333, 24.8667, 25.4333, 26.6, 26.9, 30.4333, 34.7, 41.6667, 43.6, 43.9333, 48.5, 56.7, 59.2667]"
1040,26.077773666666666,40.609806172405492,19.205259733766141,14.973299999999998,23.300000000000001,29.519989999999993,"[1.56667, 4.26667, 4.86667, 6.76667, 8.03333, 8.43333, 9.26667, 10.0, 13.4333, 15.6333, 17.2667, 18.8667, 20.3333, 21.6667, 22.3333, 24.2667, 24.3667, 26.3333, 26.3333, 28.6, 28.7, 31.4333, 34.8333, 39.9333, 46.1667, 48.7, 50.8333, 51.0, 57.5667, 80.5333]"
1170,33.897765666666665,52.787546628665616,24.96437780096311,17.823309999999999,31.983349999999998,45.093319999999991,"[2.13333, 4.46667, 4.53333, 6.8, 8.16667, 9.26667, 10.4333, 13.6667, 14.3, 19.3333, 20.6333, 26.2333, 27.5, 29.0667, 31.4, 32.5667, 32.5667, 32.5667, 34.6, 38.2, 44.6333, 46.1667, 49.0333, 50.4333, 51.9333, 55.3667, 66.9333, 70.5, 74.1667, 109.333]"
1300,39.939995666666661,62.196854044456906,29.41424372910722,26.926679999999998,35.083349999999996,48.89000999999999,"[4.4, 4.66667, 7.2, 10.1667, 10.6667, 12.3333, 14.2, 20.6, 25.4333, 27.5667, 30.7667, 32.6333, 32.8, 33.2667, 35.0667, 35.1, 38.0, 38.7, 46.1667, 47.9, 48.0, 50.9667, 53.6667, 56.5, 60.5, 67.7, 79.5, 84.0, 86.9, 102.833]"
1430,51.688882333333339,80.492894817475843,38.066838958290276,39.71669,50.200000000000003,64.389999999999986,"[3.66667, 6.0, 7.2, 11.1, 14.5, 18.8667, 19.2667, 27.9333, 37.5, 40.6667, 44.2, 44.2333, 45.7, 49.5667, 49.9333, 50.4667, 53.2667, 59.6667, 62.7333, 63.2667, 63.7, 66.0, 69.5, 73.8667, 77.2, 79.8333, 81.2333, 91.6667, 103.3, 134.633]"
1560,56.254466666666666,87.602684832926073,41.429213142485274,44.976679999999995,55.183349999999997,71.480009999999993,"[3.5, 5.8, 9.7, 15.1667, 20.8333, 21.2667, 28.6, 43.4, 44.5333, 45.1667, 45.7333, 50.1333, 50.1333, 52.7333, 54.8, 55.5667, 56.8333, 62.1667, 63.7667, 64.2667, 71.1, 72.3667, 75.8, 84.9, 86.2, 87.3667, 88.5333, 89.5333, 106.867, 130.867]"
1690,58.550002333333332,91.177424750403574,43.119785323607076,47.673300000000005,60.733350000000002,72.219989999999996,"[3.66667, 5.3, 16.4, 19.4, 26.8333, 27.3667, 40.3333, 41.4333, 44.7333, 48.9333, 49.7667, 51.8333, 56.8667, 57.0667, 60.0, 61.4667, 62.8, 63.4667, 68.2667, 69.1333, 71.4, 74.1333, 76.8667, 76.9, 81.1667, 81.6333, 82.2667, 98.2667, 113.633, 125.167]"
1820,67.195556666666661,104.64077826429825,49.486897740350329,53.333300000000001,70.083349999999996,86.379999999999981,"[7.16667, 7.63333, 11.2667, 14.0667, 24.0, 26.8333, 35.7333, 40.9333, 51.2333, 54.2333, 54.8667, 55.8667, 60.8667, 64.4667, 69.0667, 71.1, 76.9, 78.8, 83.0, 83.8, 84.7, 90.3, 92.6, 96.8333, 100.067, 103.0, 104.933, 115.4, 124.867, 131.333]"
1950,71.591122333333331,111.48580545193664,52.72405983034362,53.289990000000003,77.933350000000004,86.873310000000004,"[7.86667, 10.9, 14.3667, 14.9333, 30.7333, 36.5333, 45.4667, 46.8667, 48.8333, 55.2, 56.0, 66.5333, 67.3667, 76.5, 76.7, 79.1667, 80.4667, 82.0, 82.0, 85.3333, 86.7333, 87.2, 88.5667, 91.5333, 99.2667, 119.433, 121.367, 122.567, 124.9, 142.4]"
2080,85.763294333333334,133.55552525695396,63.161309870576773,63.003319999999995,87.433300000000003,99.170009999999991,"[6.63333, 11.7, 15.7, 21.3333, 38.8667, 40.5, 51.2333, 56.6333, 56.8667, 65.6333, 69.9, 75.3333, 86.7333, 86.8333, 87.0333, 87.8333, 94.6, 98.0, 98.5667, 98.8, 99.0, 99.5667, 106.633, 106.733, 109.067, 111.6, 119.967, 120.233, 147.933, 303.433]"
2210,86.276633333333336,134.35492621645315,63.539363954199473,67.109989999999996,97.800000000000011,106.55689999999998,"[9.9, 14.7333, 22.5, 32.5333, 34.5667, 39.8, 48.8, 59.1667, 61.5333, 69.5, 75.8, 83.1667, 84.9667, 86.1333, 96.6667, 98.9333, 100.333, 100.467, 101.933, 103.167, 105.767, 108.4, 117.033, 119.833, 122.5, 124.267, 131.8, 133.233, 141.033, 159.833]"
2340,90.571133333333336,141.04256814619032,66.70209513596761,73.0167,90.766649999999998,100.33309999999999,"[11.8667, 16.3333, 31.0333, 46.5667, 55.2, 55.5667, 61.1333, 62.5333, 67.7667, 75.2667, 82.7333, 82.7333, 87.6667, 88.5667, 89.6, 91.9333, 95.7, 96.2333, 98.9667, 99.0, 100.133, 100.8, 104.3, 116.2, 127.4, 134.967, 135.133, 145.567, 174.267, 181.967]"
2470,96.593400000000003,150.42078751330138,71.137258850390609,82.290009999999995,100.6665,117.797,"[11.2, 19.3, 36.0667, 59.4333, 60.2, 62.3333, 71.3, 71.7, 73.8667, 85.9, 86.7, 89.7667, 91.0333, 98.0, 99.1, 102.233, 102.6, 103.667, 106.8, 106.867, 117.167, 119.267, 119.4, 121.267, 122.4, 141.433, 143.967, 146.867, 162.767, 165.2]"
2600,108.24216666666666,168.56091567483926,79.716119617839198,78.416690000000003,106.2165,125.45299999999997,"[11.9667, 36.1667, 50.3, 57.1, 65.8333, 69.6333, 72.2, 73.4667, 77.6, 78.7667, 81.5333, 86.0333, 87.2667, 89.7333, 103.233, 109.2, 110.033, 111.0, 117.4, 117.7, 124.133, 128.533, 141.3, 142.733, 146.533, 156.6, 171.367, 173.867, 187.733, 268.3]"
2730,116.47775666666666,181.38584919448624,85.781309347320587,87.746689999999987,106.033,144.38009999999997,"[15.7, 51.7667, 54.6, 62.0, 64.5667, 65.2667, 70.5, 76.9333, 79.3, 91.3667, 96.6333, 98.9333, 99.7333, 99.8667, 105.233, 106.833, 107.733, 129.833, 131.833, 136.0, 141.9, 150.167, 158.267, 158.6, 161.567, 162.367, 171.633, 184.833, 221.567, 238.8]"
