agents,meanScore,clow,chigh,Q1,Q2,Q3,means
700,6.5844476666666667,10.253679892830355,4.8491880195801897,2.5233309999999998,4.4500000000000002,8.050001,"[1.23333, 1.33333, 1.43333, 1.9, 2.1, 2.23333, 2.46667, 2.5, 2.5, 2.53333, 3.06667, 3.66667, 4.03333, 4.16667, 4.33333, 4.56667, 4.73333, 6.0, 6.96667, 7.0, 8.0, 8.16667, 8.7, 10.3667, 10.3667, 10.9, 17.3, 17.7667, 18.5333, 18.6667]"
1400,22.044450333333334,34.32888354108934,16.234874945668263,10.433309999999999,20.283349999999999,23.09,"[4.46667, 5.8, 6.0, 6.3, 6.7, 8.36667, 8.36667, 8.6, 8.8, 11.1333, 14.9, 14.9667, 16.7, 18.0333, 19.7667, 20.8, 20.8333, 22.0, 22.4333, 22.8667, 23.0, 23.3, 26.1, 27.5667, 30.7, 36.5667, 43.5667, 59.6667, 61.4667, 61.5667]"
2100,52.145556666666671,81.204054305154202,38.403161732523948,39.609989999999996,52.933350000000004,59.373299999999986,"[15.4667, 26.2, 28.8667, 31.1333, 32.8, 35.2, 37.2667, 38.1, 38.2333, 40.2, 41.4667, 44.8333, 45.3, 48.6333, 52.7, 53.1667, 54.3333, 54.9667, 55.5333, 56.7667, 58.5333, 61.3333, 63.7667, 64.1, 65.0667, 66.1, 79.0667, 86.6333, 90.5, 98.1]"
2800,69.752203333333327,108.62213522029377,51.369767954212314,54.693309999999997,65.2667,82.616689999999991,"[40.6667, 42.7333, 45.9667, 47.7333, 47.9667, 49.5, 52.9, 53.4333, 54.6, 54.7333, 55.2333, 55.4667, 60.3667, 62.2667, 64.8667, 65.6667, 66.5667, 66.9667, 69.3333, 75.0667, 81.4667, 85.3, 86.7333, 89.3333, 90.2, 91.7, 96.1333, 107.4, 112.733, 119.533]"
3500,84.373340000000013,131.39100857747562,62.137662900902299,68.833300000000008,75.583300000000008,84.283299999999997,"[50.2333, 56.8667, 57.3333, 58.2333, 60.1667, 63.8667, 67.9, 68.1, 68.1333, 69.1333, 69.7, 73.1667, 74.7667, 74.8333, 75.1333, 76.0333, 76.2333, 79.0667, 79.6, 82.0, 82.9333, 87.4333, 87.7333, 89.0667, 92.6667, 103.833, 104.967, 144.267, 158.533, 199.267]"
4200,103.60668333333334,161.34227492397241,76.30226755568998,80.476679999999988,91.316649999999996,106.39699999999996,"[62.7667, 65.0667, 66.9333, 67.2667, 70.7333, 71.1333, 71.8333, 73.4333, 75.8333, 82.4667, 83.9, 85.2, 88.5333, 89.5333, 90.0333, 92.6, 95.0667, 96.2333, 96.8, 101.3, 101.567, 117.667, 126.433, 127.533, 135.667, 152.9, 154.5, 165.033, 175.867, 224.367]"
4900,111.42782000000001,173.52179792087651,82.062228625089631,93.94332,99.199999999999989,125.14689999999999,"[70.0667, 75.2667, 77.8667, 83.4333, 86.6667, 87.6, 88.7667, 91.5667, 93.2667, 94.2333, 94.8, 95.5667, 97.2667, 98.4667, 98.8, 99.6, 105.567, 112.633, 115.067, 115.3, 124.567, 126.5, 133.5, 134.5, 143.167, 154.1, 155.733, 158.933, 164.867, 165.167]"
5600,121.27002,188.84863676145375,89.310623743775935,106.99299999999999,118.1335,134.65999999999997,"[79.9, 90.5333, 92.8667, 94.8333, 95.7667, 96.7, 98.1333, 99.4333, 105.033, 107.833, 107.867, 110.433, 111.133, 115.7, 116.167, 120.1, 127.767, 128.133, 128.967, 131.933, 132.2, 140.4, 146.667, 147.033, 147.467, 148.433, 148.467, 149.367, 153.167, 165.667]"
6300,151.36004666666668,235.70655363254679,111.47075078974203,120.62700000000001,151.76650000000001,177.16679999999999,"[84.6667, 90.3667, 95.4, 100.5, 107.5, 107.833, 110.267, 116.433, 116.567, 122.367, 123.833, 126.867, 130.467, 132.867, 150.033, 153.5, 156.9, 162.267, 163.733, 167.567, 176.667, 178.333, 182.267, 187.333, 190.9, 196.567, 205.9, 224.633, 227.6, 250.667]"
7000,167.05439999999999,260.14670159205548,123.02902781035445,142.40699999999998,160.6165,178.19990000000001,"[109.933, 116.167, 120.433, 127.933, 130.333, 130.7, 135.233, 136.6, 138.067, 144.267, 147.867, 148.1, 148.1, 156.233, 156.633, 164.6, 165.3, 167.1, 168.133, 175.867, 177.8, 179.133, 181.7, 191.967, 192.333, 197.367, 216.0, 217.833, 253.667, 316.233]"
7700,181.21223333333333,282.19409240221506,133.45571798374127,156.87990000000002,176.23349999999999,193.93299999999999,"[120.167, 133.6, 136.7, 140.733, 142.267, 148.533, 148.733, 150.767, 154.733, 157.8, 161.467, 164.167, 167.967, 169.5, 174.2, 178.267, 182.667, 183.567, 187.333, 191.733, 193.933, 193.933, 204.667, 205.9, 208.133, 208.8, 220.2, 220.6, 223.867, 361.433]"
8400,205.63890000000001,320.23269997089898,151.44500202922342,184.03309999999999,197.83350000000002,222.29999999999998,"[124.9, 128.467, 141.633, 150.4, 152.233, 156.167, 166.6, 178.867, 183.1, 184.433, 187.133, 191.667, 194.733, 196.3, 196.367, 199.3, 208.2, 209.933, 214.267, 214.767, 220.5, 226.5, 229.4, 239.867, 244.333, 249.167, 269.1, 290.1, 309.9, 310.833]"
9100,220.12219999999999,342.78692615810633,162.11138566524681,190.50299999999999,209.61700000000002,230.55310000000003,"[125.933, 141.133, 141.133, 142.267, 148.867, 170.5, 173.433, 183.733, 189.733, 190.833, 191.967, 197.9, 198.533, 205.533, 207.967, 211.267, 211.367, 215.967, 216.067, 220.233, 230.233, 231.3, 244.933, 274.167, 274.933, 276.067, 303.467, 324.4, 344.233, 415.567]"
9800,226.25116666666665,352.33130489042929,166.62512975389137,185.86000000000001,207.8835,251.6669,"[144.1, 144.4, 160.333, 162.833, 163.967, 172.267, 177.867, 180.833, 185.3, 186.1, 186.833, 187.0, 197.333, 205.1, 207.267, 208.5, 218.067, 222.9, 224.233, 244.067, 251.567, 251.9, 257.933, 260.767, 262.133, 281.267, 296.967, 336.867, 344.967, 463.867]"
10500,220.21450000000002,342.93066101667307,162.17936100302239,180.1069,224.06650000000002,238.4331,"[132.933, 137.5, 159.9, 165.3, 168.167, 169.2, 172.267, 176.167, 178.8, 180.667, 187.667, 190.133, 202.433, 211.533, 222.833, 225.3, 229.433, 231.467, 233.8, 236.167, 237.933, 239.6, 242.567, 258.567, 273.767, 276.967, 282.367, 282.5, 343.833, 356.667]"
11200,270.28563333333335,420.90430422297408,199.05479113454024,205.5668,244.26650000000001,288.40010000000001,"[145.667, 175.967, 183.167, 190.1, 192.1, 192.367, 193.667, 200.567, 203.933, 206.267, 214.9, 215.3, 217.467, 220.7, 240.0, 248.533, 255.567, 271.833, 280.9, 286.733, 288.2, 288.867, 319.8, 359.067, 378.333, 387.133, 406.2, 426.767, 428.367, 490.1]"
11900,274.13006666666666,426.89107650288537,201.88606582997906,226.59010000000001,243.69999999999999,287.36320000000001,"[168.767, 172.4, 177.433, 179.933, 193.133, 204.167, 209.467, 217.667, 222.367, 228.4, 229.233, 231.9, 232.067, 236.867, 243.133, 244.267, 252.167, 266.667, 272.1, 282.567, 283.333, 296.767, 299.367, 303.733, 316.0, 399.467, 405.533, 468.267, 471.433, 515.3]"
12600,299.47886666666665,466.36568303415112,220.55446498713451,233.46999999999997,257.61649999999997,343.03679999999997,"[177.733, 185.9, 187.667, 188.167, 212.067, 212.433, 213.133, 216.233, 216.6, 240.7, 241.267, 241.633, 246.033, 251.367, 257.433, 257.8, 258.3, 263.367, 263.567, 308.267, 340.467, 349.033, 352.933, 377.533, 392.6, 407.9, 418.7, 464.533, 483.567, 757.433]"
13300,323.4178,503.6447642573861,238.18455252039848,273.85680000000002,298.41650000000004,332.61009999999999,"[136.967, 178.2, 189.467, 207.333, 216.3, 236.733, 254.3, 256.4, 264.733, 277.767, 278.433, 283.467, 285.167, 286.333, 296.533, 300.3, 305.767, 308.067, 318.167, 328.433, 332.5, 332.867, 375.567, 375.733, 381.0, 383.1, 408.967, 558.0, 672.8, 673.133]"
14000,333.60223333333329,519.50454849085042,245.6849890955462,286.30679999999995,305.83350000000002,367.47699999999998,"[196.133, 217.967, 218.967, 241.3, 242.567, 243.967, 259.033, 261.767, 283.133, 287.667, 289.3, 290.567, 299.9, 300.433, 303.867, 307.8, 311.4, 319.533, 323.733, 337.067, 366.967, 368.667, 419.2, 425.7, 428.567, 456.833, 460.333, 465.933, 478.933, 600.833]"
14700,354.0222333333333,551.30374471980201,260.72351994470341,272.76990000000001,312.93349999999998,351.93319999999994,"[163.367, 204.233, 210.6, 232.967, 236.133, 239.9, 259.433, 262.8, 268.033, 274.8, 284.233, 292.633, 293.2, 298.467, 312.667, 313.2, 314.967, 321.2, 337.467, 345.467, 349.733, 357.067, 380.567, 437.767, 446.333, 455.767, 577.233, 584.8, 685.0, 880.633]"
15400,338.40226666666666,526.97943594786204,249.22002579291728,251.20010000000002,286.66650000000004,337.78009999999989,"[194.7, 195.533, 208.967, 220.967, 221.6, 225.667, 226.4, 238.133, 247.467, 252.8, 273.167, 273.433, 277.733, 283.4, 284.1, 289.233, 298.633, 311.767, 314.8, 326.467, 330.2, 355.467, 401.233, 471.1, 499.767, 521.3, 524.067, 577.033, 607.967, 698.967]"
16100,360.75666666666672,561.79099090283148,265.6831665379907,281.29309999999998,349.5335,394.27679999999998,"[195.433, 196.367, 228.9, 235.5, 239.533, 245.667, 247.0, 256.167, 261.6, 289.733, 311.633, 337.133, 338.667, 340.4, 349.367, 349.7, 361.233, 362.033, 379.533, 388.467, 392.067, 399.433, 415.367, 421.333, 428.967, 453.1, 525.867, 561.1, 630.1, 681.3]"
16800,383.15660000000003,596.67345297835061,282.17984080108556,294.53300000000002,381.76650000000001,420.31299999999999,"[201.533, 207.167, 228.9, 251.033, 251.933, 258.067, 280.433, 290.067, 290.333, 296.333, 303.9, 316.967, 318.867, 343.533, 381.7, 381.833, 382.4, 400.433, 403.533, 408.433, 415.933, 430.533, 456.2, 457.2, 459.867, 481.167, 572.2, 656.4, 673.9, 693.9]"
17500,406.58893333333333,633.16362759974481,299.4368372604913,319.98009999999999,355.88350000000003,452.14689999999996,"[216.467, 228.733, 242.7, 245.9, 248.667, 278.367, 285.767, 287.133, 319.467, 320.2, 323.7, 324.8, 326.0, 353.8, 354.067, 357.7, 373.567, 383.633, 390.967, 443.433, 447.967, 461.9, 502.267, 526.467, 572.633, 592.033, 610.4, 636.1, 733.0, 809.833]"
18200,437.26336666666668,680.9316160805754,322.02735694529775,327.44990000000001,415.267,504.87999999999988,"[190.133, 212.0, 243.0, 245.5, 251.3, 260.6, 282.7, 303.067, 318.933, 331.1, 333.567, 335.7, 335.967, 367.967, 412.067, 418.467, 435.433, 436.3, 437.2, 448.567, 497.2, 522.8, 532.833, 538.033, 548.9, 553.367, 642.267, 822.6, 870.533, 989.8]"
18900,451.89336666666662,703.71429192923165,332.80177939011503,328.12679999999995,394.43299999999999,531.99700000000007,"[215.533, 230.167, 243.367, 258.933, 262.9, 286.467, 289.233, 315.8, 317.533, 332.667, 340.367, 343.867, 366.467, 378.9, 394.233, 394.633, 446.633, 453.1, 455.867, 472.533, 530.167, 536.267, 550.467, 583.533, 646.7, 681.7, 732.533, 737.6, 810.367, 948.267]"
19600,514.92219999999998,801.86640942426357,379.22004846306885,378.98320000000001,467.71699999999998,611.33319999999981,"[263.433, 282.733, 289.233, 297.333, 317.067, 338.133, 363.0, 366.5, 377.467, 379.633, 419.3, 439.667, 443.2, 445.367, 452.367, 483.067, 488.133, 491.233, 493.567, 575.433, 596.233, 646.567, 688.133, 701.467, 714.033, 773.067, 799.933, 806.467, 814.633, 901.267]"
20300,521.53210000000001,812.15972515167539,384.0879811300544,371.12300000000005,463.81650000000002,640.01299999999992,"[217.533, 242.533, 245.167, 277.467, 329.6, 337.333, 338.933, 358.467, 363.633, 374.333, 390.867, 420.9, 427.4, 437.633, 454.7, 472.933, 490.5, 545.233, 608.233, 625.533, 626.933, 670.533, 693.2, 742.8, 751.733, 752.033, 760.3, 808.933, 815.467, 1065.1]"
21000,569.61556666666672,887.03805972080318,419.49957255028392,455.15999999999997,562.98350000000005,664.64700000000005,"[220.233, 241.167, 296.733, 312.033, 322.5, 389.833, 397.733, 421.133, 447.6, 458.4, 467.533, 472.267, 498.467, 508.3, 555.467, 570.5, 601.067, 618.5, 647.3, 653.233, 663.567, 667.167, 702.2, 702.5, 738.433, 836.167, 856.767, 906.5, 955.2, 959.967]"
21700,599.2109333333334,933.1256636434822,441.29540186511178,427.00310000000002,572.03300000000002,747.11699999999996,"[271.8, 278.133, 282.8, 299.2, 301.733, 302.433, 359.3, 363.433, 404.3, 436.733, 464.967, 515.067, 523.233, 545.633, 557.533, 586.533, 601.267, 644.333, 688.7, 707.9, 745.467, 750.967, 787.733, 843.167, 852.967, 857.833, 934.8, 940.733, 1026.0, 1101.63]"
22400,657.53453333333334,1023.9505216835842,484.24845073063091,447.97000000000003,513.95000000000005,782.07299999999987,"[301.767, 321.867, 336.367, 360.233, 386.967, 410.533, 422.933, 427.0, 447.9, 448.0, 475.033, 487.0, 488.067, 496.5, 504.933, 522.967, 583.233, 637.733, 712.967, 749.233, 773.733, 801.533, 909.5, 928.7, 971.167, 1020.0, 1084.77, 1202.03, 1227.8, 1285.57]"
23100,692.41536666666661,1078.2689577166898,509.9368193950599,523.24309999999991,639.29999999999995,724.54700000000003,"[327.567, 355.2, 409.367, 422.067, 443.8, 446.433, 463.0, 499.467, 512.3, 527.933, 545.3, 548.233, 570.633, 590.5, 624.3, 654.3, 667.2, 683.9, 711.2, 723.3, 723.467, 727.067, 825.133, 843.467, 928.067, 1043.9, 1098.33, 1207.73, 1304.4, 1344.9]"
23800,753.59196666666662,1173.5366711358906,554.99099110644818,546.05679999999995,619.08349999999996,851.68009999999981,"[296.533, 339.767, 386.533, 394.0, 437.233, 451.167, 532.733, 541.9, 542.533, 547.567, 557.8, 574.3, 584.4, 599.867, 619.0, 619.167, 632.233, 657.733, 717.133, 814.033, 828.5, 905.767, 987.367, 989.633, 1078.33, 1080.3, 1266.33, 1390.83, 1410.7, 1824.37]"
24500,795.97129999999993,1239.5322018273116,586.20171156188633,560.44000000000005,769.54999999999995,932.59690000000001,"[326.867, 347.2, 372.433, 403.433, 433.9, 467.833, 477.1, 520.567, 536.5, 570.7, 571.067, 632.867, 680.967, 689.367, 753.233, 785.867, 806.967, 813.167, 858.733, 890.867, 923.467, 953.9, 995.767, 1014.37, 1084.63, 1130.37, 1168.23, 1468.4, 1505.87, 1694.5]"
25200,803.98530000000005,1252.0120626783803,592.10370892844594,577.05299999999988,773.95000000000005,943.87989999999991,"[381.967, 394.933, 422.133, 437.367, 442.8, 449.467, 455.933, 481.633, 531.133, 596.733, 611.4, 645.4, 655.067, 667.5, 766.7, 781.2, 868.833, 877.1, 891.0, 938.4, 940.9, 950.833, 970.167, 1053.7, 1207.4, 1253.03, 1256.7, 1257.3, 1461.13, 1471.7]"
25900,893.38980000000004,1391.2378824262405,657.94662427141714,682.10680000000002,891.08349999999996,977.49319999999989,"[364.467, 408.467, 435.533, 454.5, 456.867, 492.8, 634.2, 649.867, 673.333, 685.867, 720.833, 786.733, 822.2, 839.7, 858.6, 923.567, 925.167, 945.733, 954.033, 959.167, 968.333, 998.867, 1104.8, 1125.43, 1159.17, 1316.87, 1338.43, 1478.43, 1573.6, 1746.13]"
26600,977.87919999999997,1522.8096262982476,720.16976082023086,731.91300000000001,925.34999999999991,1089.8479999999997,"[374.667, 434.533, 446.633, 465.1, 474.333, 604.567, 619.867, 650.6, 722.533, 735.933, 754.733, 795.267, 843.5, 873.9, 922.233, 928.467, 953.767, 977.033, 1035.23, 1057.17, 1067.27, 1142.53, 1214.07, 1312.03, 1345.2, 1495.8, 1513.07, 1597.07, 1720.87, 2258.4]"
27300,989.25306666666665,1540.5216643988967,728.54616849608135,721.59000000000003,930.58349999999996,1213.6579999999999,"[270.167, 452.333, 507.933, 535.033, 565.3, 613.3, 696.6, 697.733, 709.9, 726.6, 747.333, 749.533, 792.733, 825.6, 892.167, 969.0, 994.267, 1051.73, 1177.03, 1180.93, 1185.77, 1278.73, 1320.87, 1321.07, 1326.83, 1501.3, 1570.7, 1573.33, 1617.5, 1826.27]"
28000,1166.7854666666667,1816.9853090902157,859.29183324264875,894.13299999999992,1201.4349999999999,1393.6979999999999,"[415.767, 585.633, 600.367, 666.767, 683.567, 685.533, 718.967, 777.8, 887.833, 896.833, 950.3, 981.867, 1032.83, 1141.83, 1191.67, 1211.2, 1239.33, 1310.17, 1340.43, 1358.83, 1392.87, 1395.63, 1509.67, 1601.27, 1619.43, 1677.9, 1677.97, 1690.17, 1800.9, 1960.23]"
28700,1244.3308333333334,1937.7434056269117,916.40096100101653,931.66989999999998,1281.75,1397.258,"[529.567, 652.467, 733.767, 738.467, 767.6, 769.1, 878.2, 888.067, 891.933, 948.7, 982.167, 1084.8, 1162.87, 1247.97, 1274.93, 1288.57, 1307.97, 1328.03, 1386.97, 1389.07, 1392.47, 1408.43, 1434.37, 1466.97, 1555.47, 1606.5, 1726.97, 1836.37, 2270.33, 2380.83]"
29400,1167.6215333333334,1818.2872800987282,859.90756362260083,852.86689999999999,1083.0799999999999,1389.2199999999996,"[531.633, 701.467, 707.667, 746.2, 804.267, 814.533, 816.633, 836.333, 850.3, 853.967, 929.533, 967.433, 974.0, 1021.0, 1056.33, 1109.83, 1150.5, 1186.03, 1225.6, 1288.53, 1349.23, 1482.53, 1493.0, 1510.73, 1517.17, 1519.7, 1614.07, 1628.93, 1696.23, 2645.27]"
30100,1259.3533333333332,1961.137305007393,927.46444433507429,1040.77,1203.3299999999999,1427.1489999999999,"[439.533, 695.7, 776.0, 816.067, 902.733, 908.767, 979.7, 1000.97, 1036.57, 1042.57, 1050.9, 1065.87, 1105.27, 1162.0, 1194.83, 1211.83, 1230.8, 1248.67, 1372.23, 1406.93, 1424.8, 1432.63, 1479.4, 1540.07, 1607.8, 1683.67, 1977.33, 1978.3, 1981.13, 2027.53]"
30800,1362.6234333333334,2121.9554330428223,1003.5188314381863,1112.8,1318.5,1579.8319999999997,"[480.867, 619.6, 769.267, 912.033, 934.433, 999.333, 1005.33, 1014.6, 1085.43, 1124.53, 1146.4, 1206.9, 1216.67, 1230.1, 1289.7, 1347.3, 1363.9, 1366.37, 1393.47, 1546.93, 1556.33, 1634.67, 1723.87, 1732.0, 1778.5, 1794.07, 1800.6, 1985.5, 2336.87, 2483.13]"
31500,1462.3963666666668,2277.3275723868364,1076.997692155338,1306.0699999999999,1461.165,1735.6110000000001,"[445.9, 768.967, 917.7, 960.267, 989.667, 1113.4, 1151.6, 1160.77, 1264.63, 1323.83, 1334.77, 1347.23, 1375.7, 1384.97, 1452.63, 1469.7, 1478.3, 1499.63, 1549.8, 1718.23, 1727.43, 1754.7, 1755.2, 1835.87, 1904.37, 1934.43, 1978.33, 2000.4, 2032.37, 2241.1]"
32200,1418.4243333333334,2208.8517978250015,1044.6140104813171,1172.3699999999999,1273.7349999999999,1570.9199999999998,"[653.233, 848.7, 923.167, 929.033, 941.567, 1053.93, 1073.2, 1084.7, 1136.53, 1187.73, 1206.27, 1213.8, 1232.23, 1255.33, 1265.6, 1281.87, 1294.47, 1305.3, 1360.27, 1369.97, 1543.8, 1634.2, 1764.43, 1834.3, 1841.37, 2069.03, 2110.1, 2205.43, 2261.8, 2671.37]"
32900,1542.7247333333332,2402.4195162842166,1136.156390499073,1288.039,1594.385,1881.4110000000001,"[524.433, 530.833, 674.933, 815.567, 862.533, 930.933, 1228.4, 1246.97, 1287.43, 1288.3, 1316.13, 1350.5, 1369.33, 1503.07, 1594.3, 1594.47, 1670.5, 1758.33, 1839.37, 1847.47, 1868.7, 1911.07, 1948.23, 1997.2, 2000.23, 2103.37, 2166.07, 2227.77, 2315.63, 2509.67]"
33600,1765.2372333333333,2748.9287548197012,1300.0281385682738,1590.252,1857.4850000000001,2038.9290000000001,"[581.2, 756.6, 837.167, 850.267, 983.633, 1236.17, 1263.17, 1428.4, 1445.87, 1652.13, 1692.8, 1727.43, 1818.77, 1824.4, 1837.47, 1877.5, 1957.77, 1998.9, 2023.0, 2032.5, 2034.87, 2048.4, 2056.2, 2182.8, 2246.27, 2282.5, 2352.2, 2416.73, 2436.87, 3075.13]"
34300,1691.412,2633.9638634673602,1245.6587434199114,1402.5199999999998,1716.2849999999999,2076.569,"[758.367, 908.633, 1018.63, 1029.13, 1055.1, 1058.73, 1147.43, 1169.7, 1310.33, 1442.03, 1488.1, 1572.13, 1597.27, 1642.07, 1703.0, 1729.57, 1796.67, 1806.57, 1913.4, 1984.93, 2071.97, 2087.3, 2128.7, 2156.87, 2170.4, 2233.5, 2238.4, 2366.57, 2533.43, 2623.43]"
35000,1952.9702333333335,3041.2773594058804,1438.2861460072954,1549.2079999999999,1818.385,2205.5909999999994,"[743.367, 984.9, 1204.03, 1257.5, 1276.93, 1298.53, 1325.4, 1395.17, 1528.53, 1558.07, 1605.63, 1609.3, 1637.97, 1647.63, 1744.97, 1891.8, 2009.73, 2093.73, 2153.67, 2160.93, 2169.93, 2288.8, 2343.33, 2414.37, 2432.3, 2454.03, 2637.03, 3462.53, 3491.57, 3767.43]"
35700,1864.0436666666667,2902.7958048808905,1372.7952098600722,1588.1600000000001,1786.55,2038.7509999999997,"[784.8, 1126.3, 1189.43, 1272.63, 1376.77, 1398.43, 1431.4, 1491.33, 1579.2, 1592.0, 1594.87, 1601.23, 1700.67, 1712.17, 1739.27, 1833.83, 1874.77, 1900.27, 1975.07, 2005.83, 2016.8, 2089.97, 2100.07, 2205.0, 2256.9, 2469.7, 2599.47, 2697.0, 2811.93, 3494.2]"
