agents,meanScore,clow,chigh,Q1,Q2,Q3,means
700,8.9822181000000008,13.987625657842354,6.6150521053235911,4.4399999999999995,7.6500000000000004,9.6466689999999975,"[0.933333, 1.93333, 2.7, 2.73333, 4.0, 4.06667, 4.1, 4.16667, 4.3, 4.5, 5.1, 5.96667, 6.06667, 7.1, 7.5, 7.8, 8.1, 8.9, 8.93333, 9.16667, 9.36667, 10.3, 10.7667, 11.4333, 12.0333, 12.1333, 18.8333, 18.9333, 28.2, 29.4]"
1400,21.264446666666668,33.114217054525426,15.660432771151987,10.916700000000001,15.96665,20.883309999999998,"[1.2, 2.6, 5.23333, 7.0, 7.9, 9.06667, 9.7, 10.5667, 10.5667, 11.0667, 11.5333, 12.6, 13.0, 13.4, 15.7, 16.2333, 16.7667, 17.1333, 17.5667, 19.1, 20.5333, 21.7, 22.0333, 24.5667, 24.5667, 34.0, 45.4, 60.5, 62.2667, 94.4333]"
2100,42.543326666666665,66.250910524276335,31.331495127445475,25.796679999999995,37.700000000000003,53.836679999999994,"[4.2, 10.9667, 11.1333, 11.5667, 12.4, 14.1333, 15.1667, 19.0333, 20.7333, 27.9667, 28.3333, 29.6667, 32.4, 37.0667, 37.4333, 37.9667, 39.2, 40.1, 46.2667, 51.0, 53.3667, 54.9333, 55.9333, 65.6667, 72.7667, 74.6, 86.2333, 88.1667, 95.4667, 102.433]"
2800,53.406656666666663,83.167911619763942,39.331912528502002,37.986699999999999,50.116700000000002,69.179999999999993,"[16.7667, 17.0, 17.5333, 19.6333, 21.4667, 27.4333, 31.4, 37.4, 37.5667, 38.1667, 38.2333, 44.1667, 44.2667, 44.4333, 49.3667, 50.8667, 55.0667, 62.3333, 65.4333, 67.5667, 68.7, 70.3, 71.5333, 74.4333, 80.9667, 81.2, 83.2, 86.0333, 90.2, 109.533]"
3500,75.278876666666676,117.22858819874534,55.439946574023665,64.759990000000002,74.766649999999998,88.299990000000008,"[29.0, 34.4, 43.5333, 50.3667, 54.2667, 55.0, 55.5333, 61.3667, 62.3333, 65.8, 67.2, 71.1333, 71.5667, 73.1333, 74.3333, 75.2, 75.5667, 76.2667, 78.6, 85.7333, 87.9, 89.2333, 90.3667, 92.5667, 95.9333, 101.6, 103.533, 103.8, 114.133, 118.967]"
4200,84.04889,130.88575641212381,61.898718173477754,73.429990000000004,86.900000000000006,97.149999999999977,"[42.4667, 49.0, 49.5, 69.0, 69.1333, 69.2667, 69.4, 72.5667, 73.0333, 73.6, 75.4667, 76.5333, 80.3333, 82.8, 86.2667, 87.5333, 90.6667, 91.8667, 91.9, 92.3333, 96.1, 99.6, 99.8, 100.0, 102.333, 102.8, 105.433, 105.467, 108.1, 109.167]"
4900,84.53555333333334,131.64361649214842,62.257126672571147,74.583309999999983,85.099999999999994,90.799999999999997,"[45.1, 50.2333, 61.2667, 65.5333, 66.4333, 67.6, 67.6333, 68.0667, 70.5, 76.3333, 77.3, 78.0, 79.0, 81.7333, 84.6667, 85.5333, 85.9667, 86.3333, 88.3, 89.9, 90.8, 90.8, 96.9667, 98.0, 98.0667, 98.6, 110.767, 119.033, 125.533, 132.067]"
5600,86.999989999999997,135.48137874274374,64.072087830135331,78.609989999999996,85.333349999999996,94.653310000000005,"[52.0333, 61.5667, 65.4, 67.2, 69.3667, 74.8667, 75.2333, 75.5, 76.5333, 79.5, 80.8, 81.7333, 82.0, 82.5667, 84.6667, 86.0, 86.4, 86.6, 87.2667, 93.7667, 94.6333, 94.7, 94.7, 97.4333, 102.3, 103.167, 106.5, 107.833, 116.0, 143.733]"
6300,94.837763333333342,147.68680931202439,69.844301153447503,82.200000000000003,87.699999999999989,101.03989999999999,"[63.1, 70.5333, 70.9333, 75.2, 79.0333, 79.7, 80.4333, 80.6333, 81.5, 82.5, 84.1667, 84.8, 85.9667, 87.0333, 87.5667, 87.8333, 91.2333, 91.4667, 95.4, 99.4667, 100.4, 102.533, 104.833, 105.2, 106.0, 110.267, 113.267, 131.833, 153.7, 158.6]"
7000,94.459986666666666,147.09851380007274,69.566083422999,82.739989999999992,87.916650000000004,101.84009999999999,"[49.7333, 67.1333, 67.6, 67.6667, 70.0333, 73.0, 74.9, 76.0667, 80.7333, 83.6, 84.1, 85.7, 87.0, 87.1, 87.6, 88.2333, 89.5, 91.3667, 93.5333, 99.8667, 101.4, 102.867, 105.133, 105.267, 116.733, 117.9, 121.6, 122.333, 149.333, 186.767]"
