agents,meanScore,clow,chigh,Q1,Q2,Q3,means
130,1.8344429233333335,2.856699828104226,1.350995420840664,0.52666679999999988,1.0833300000000001,1.6633309999999977,"[0.0, 0.0666667, 0.2, 0.266667, 0.333333, 0.366667, 0.366667, 0.433333, 0.433333, 0.566667, 0.6, 0.7, 0.866667, 0.966667, 1.03333, 1.13333, 1.16667, 1.23333, 1.4, 1.4, 1.43333, 2.2, 2.6, 2.7, 2.9, 3.6, 3.63333, 4.16667, 6.03333, 12.2333]"
260,2.7866671999999997,4.3395581350432471,2.0522713346490873,1.1833320000000001,1.5166650000000002,2.4433319999999998,"[0.1, 0.233333, 0.233333, 0.4, 0.4, 0.6, 0.9, 0.9, 1.06667, 1.23333, 1.3, 1.43333, 1.46667, 1.46667, 1.5, 1.53333, 1.66667, 1.86667, 2.03333, 2.26667, 2.43333, 2.46667, 2.86667, 3.53333, 3.56667, 4.5, 5.3, 5.66667, 6.26667, 24.4]"
390,4.8466662333333339,7.547506885896202,3.5693800032101679,1.9733299999999996,3.2333349999999998,5.7200009999999999,"[0.666667, 0.8, 1.0, 1.1, 1.23333, 1.23333, 1.53333, 1.73333, 1.83333, 2.03333, 2.03333, 2.3, 2.43333, 3.06667, 3.16667, 3.3, 3.96667, 4.1, 5.56667, 5.63333, 5.7, 5.76667, 6.26667, 7.36667, 7.53333, 8.03333, 9.46667, 9.53333, 11.6333, 25.3667]"
520,6.6022220000000003,10.281359105049036,4.8622781204693437,3.71333,5.6500000000000004,7.2433319999999997,"[1.4, 1.56667, 1.7, 2.0, 2.13333, 2.43333, 2.76667, 2.83333, 3.43333, 3.83333, 3.96667, 4.2, 4.4, 5.36667, 5.43333, 5.86667, 6.03333, 6.33333, 6.76667, 6.9, 7.23333, 7.26667, 7.76667, 8.2, 8.83333, 9.5, 12.2, 15.2, 15.2333, 27.2667]"
650,9.6022236666666672,14.953133918247625,7.0716619408263242,4.0299990000000001,6.0666700000000002,11.30668,"[1.73333, 2.36667, 2.6, 2.63333, 2.8, 3.0, 3.13333, 3.26667, 3.63333, 4.2, 4.3, 4.36667, 4.4, 5.76667, 5.86667, 6.26667, 6.96667, 7.5, 8.7, 9.6, 11.1667, 11.6333, 11.8, 13.5, 15.4333, 15.7, 16.1, 17.9667, 40.5, 41.1667]"
780,12.057780333333334,18.77706772307836,8.8800833259154608,5.3833319999999993,9.25,11.566679999999996,"[2.33333, 2.43333, 2.53333, 2.73333, 3.23333, 3.4, 4.2, 4.6, 5.26667, 5.43333, 5.93333, 5.93333, 7.73333, 8.76667, 9.06667, 9.43333, 10.0, 10.0333, 10.0667, 10.7667, 11.0667, 12.7333, 13.7667, 14.0333, 15.8667, 18.1333, 18.8667, 21.0333, 47.4667, 64.8667]"
910,13.499998333333334,21.0229723845341,9.942220440715154,7.4799999999999986,10.15,15.239989999999997,"[1.7, 1.83333, 3.46667, 3.96667, 4.86667, 4.9, 5.76667, 5.93333, 7.2, 7.6, 7.96667, 8.36667, 8.4, 8.86667, 10.1333, 10.1667, 10.9667, 11.5667, 12.8333, 14.7, 14.9, 16.0333, 16.9333, 17.3, 18.2333, 18.7, 23.6333, 28.2333, 35.2667, 64.5667]"
1040,15.717775666666666,24.47662256155602,11.575526652463186,7.9666700000000006,10.583299999999999,17.193299999999997,"[2.43333, 2.8, 3.96667, 4.3, 4.86667, 4.9, 5.03333, 7.86667, 7.96667, 7.96667, 9.03333, 9.1, 9.13333, 10.1, 10.2333, 10.9333, 12.6667, 12.9667, 13.9, 16.3667, 16.8333, 18.0333, 21.4333, 25.4333, 28.1667, 30.2333, 31.5667, 41.6333, 41.7667, 49.9]"
1170,19.830002666666665,30.880418512143329,14.604020903111419,10.933308999999998,16.566699999999997,23.063299999999987,"[1.8, 2.76667, 2.86667, 4.5, 5.06667, 5.16667, 6.76667, 7.7, 8.13333, 12.1333, 12.4, 13.7667, 14.8667, 15.7333, 16.4667, 16.6667, 17.3333, 18.0667, 18.3667, 20.6, 21.8333, 25.9333, 26.2667, 29.8667, 33.1333, 37.0, 39.2, 46.3667, 52.2, 61.9333]"
1300,21.231110666666666,33.062304321641562,15.635882111779434,11.64331,18.433349999999997,25.199989999999993,"[2.6, 4.3, 4.73333, 5.5, 9.13333, 9.53333, 9.53333, 10.2333, 10.5, 12.1333, 12.3667, 12.7667, 13.2, 14.6333, 16.9667, 19.9, 20.0333, 20.9333, 23.3, 24.1333, 24.2, 27.5333, 28.0, 28.4667, 28.6, 30.0333, 46.2667, 48.0667, 51.8667, 67.4667]"
