generation,agents,minScore,maxScore,meanScore,standardDeviation,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29
0,100,0,5,0.633333,1.09807,4.4514,0.099593,6.22778,-2.03198,-3.0596,-4.08243,-3.53271,-2.47021,-2.8992,-7.7445,9.90132,-5.52719,6.50026,-1.07672,-1.95307,-6.45411,4.48735,-3.70194,-0.818765,-1.32542,-2.78529,-2.97582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,5
1,200,1,22,6.6,3.85603,-2.51794,-1.38858,9.36726,-5.80682,-9.22495,-3.90001,-6.42604,-7.70893,-4.64267,-7.67725,9.03315,-4.29142,1.57777,-3.59928,-4.46859,-4.35803,1.50684,-3.22935,-0.015479,-1.28361,-9.69815,-7.01328,1,3,3,3,3,4,4,4,4,4,5,5,5,6,6,6,6,7,8,8,8,8,8,8,9,9,9,11,11,22
2,300,13,53,28.1667,11.5999,2.04069,-0.63604,7.50487,-6.25438,-8.80365,-11.2798,-4.73249,-11.8366,-4.53235,-6.20634,3.44314,-2.95277,-4.78388,-6.36002,-4.02668,-4.28167,0.118309,-3.48305,-1.89602,-3.53917,-15.8417,-9.80664,13,13,15,15,17,17,19,19,20,20,22,23,24,25,25,26,28,28,30,31,31,33,35,35,38,40,47,50,53,53
3,400,4,72,28.6333,14.1336,2.99434,-0.947602,4.46144,-7.56392,-7.99656,-14.4608,-4.80564,-13.378,-6.97207,-5.87658,1.67504,-1.69641,-11.4337,-5.65621,-8.30356,-3.06748,-0.456392,-4.78603,-0.973206,-3.13321,-29.0167,-11.3945,4,8,11,11,18,21,21,22,22,22,22,23,24,24,25,25,26,27,27,32,33,34,38,40,40,43,47,48,49,72
4,500,2,77,31.3667,15.4082,1.72603,-4.97944,-1.37359,-7.96704,-12.4274,-17.0212,-8.06357,-11.1973,-4.59296,-7.22743,-1.48747,-2.61604,-11.057,-9.8834,-4.6071,-2.70364,-2.14964,-5.61744,-1.40708,-3.51605,-34.0199,-11.7636,2,9,17,18,20,20,21,22,23,24,24,25,26,26,27,27,30,31,31,34,35,35,41,43,43,46,51,53,60,77
5,600,2,118,45.5,21.722,1.15011,-5.46765,-3.72175,-12.1096,-12.0868,-14.3651,-7.05938,-10.6859,-4.09906,-8.69586,-1.96089,-3.73053,-9.5512,-12.8059,-3.39481,-2.44232,-3.75491,-5.19444,-2.54758,-3.64756,-33.311,-14.594,2,16,23,25,28,29,34,36,37,38,38,39,39,42,43,44,44,45,45,45,47,49,50,56,59,62,76,77,79,118
6,700,19,126,48.2333,20.7774,0.180067,-6.59018,-6.82071,-11.0493,-11.6105,-15.0539,-7.47486,-11.0738,-7.13498,-10.5147,-0.916633,-2.34187,-8.13923,-11.415,-3.37211,-4.71938,-5.47571,-4.08638,-3.32775,-2.53747,-31.3519,-15.1382,19,26,27,31,32,34,34,35,38,40,40,41,41,42,43,43,43,44,49,52,52,52,58,58,59,62,65,72,89,126
7,800,21,190,74,33.1953,-2.5424,-5.20383,-8.57535,-12.7521,-12.5596,-12.5103,-8.50871,-11.1728,-9.3392,-11.6332,1.41676,-4.98452,-9.43949,-10.4365,-3.93631,-6.06975,-4.39495,-4.03424,-4.21901,-2.09195,-27.6591,-16.2636,21,39,40,40,44,45,48,52,56,57,59,61,64,66,66,69,72,75,80,82,82,84,90,91,95,100,104,115,133,190
8,900,20,144,67.3667,30.6296,-1.43621,-3.06723,-8.33348,-13.903,-11.594,-12.6914,-7.88273,-11.8459,-11.5201,-12.9079,1.69615,-4.78942,-7.82455,-11.1287,-3.31558,-7.49765,-4.38606,-4.70045,-4.64727,-1.88948,-26.326,-17.2253,20,26,27,29,30,42,49,50,52,54,55,55,61,62,63,64,64,65,68,70,72,79,84,85,92,100,114,116,129,144
9,1000,33,226,82.6667,45.7801,-1.40923,-3.01045,-8.88839,-13.4818,-11.455,-12.7538,-9.92081,-13.1949,-10.2987,-14.6167,-2.41287,-4.65104,-5.72866,-10.5095,-3.76362,-7.53572,-5.91722,-6.42382,-4.24965,-3.42472,-25.4644,-18.8498,33,34,37,42,42,43,44,46,46,47,48,53,57,73,82,82,84,85,86,90,96,98,102,104,115,119,135,165,166,226
10,1100,26,296,96.4333,53.8053,-3.08067,-1.01625,-9.13728,-13.7644,-10.3271,-11.8669,-8.96245,-11.421,-8.26915,-15.1206,-2.2671,-7.47266,-7.20521,-9.84959,-5.29243,-7.75772,-5.87088,-5.0828,-5.20823,-4.63846,-25.5509,-20.6772,26,34,37,42,42,45,45,55,69,72,74,76,79,83,97,98,103,110,110,111,112,114,115,118,118,133,148,160,171,296
11,1200,32,166,82,34.6171,-4.50649,-1.48118,-9.31375,-11.2841,-9.10938,-11.0853,-7.98195,-10.2864,-6.2404,-15.557,-2.07167,-6.87283,-8.41214,-8.94076,-6.22254,-5.74264,-6.67049,-6.26001,-4.94919,-3.90928,-23.5561,-22.098,32,37,39,49,49,53,55,56,57,57,63,66,68,69,70,76,77,78,90,96,98,102,104,105,106,119,133,141,149,166
12,1300,20,181,87.7667,34.3619,-3.45559,-1.68877,-10.654,-13.3131,-9.57547,-10.5257,-8.72314,-12.7783,-6.46656,-17.0324,0.3398,-7.45691,-6.83796,-7.26791,-6.47672,-4.71854,-6.42016,-5.6707,-6.61755,-4.92468,-23.5844,-23.7546,20,35,40,53,58,58,58,59,61,67,71,74,76,88,91,96,100,100,100,102,104,106,107,109,111,112,124,126,146,181
13,1400,55,209,110.467,42.6798,-4.13903,-1.59261,-10.0389,-11.8616,-10.7788,-9.00205,-7.95775,-11.7424,-7.09573,-16.3972,-0.100359,-7.53769,-5.98839,-6.11743,-7.23629,-5.51773,-6.44099,-6.37385,-9.92783,-5.97966,-24.729,-24.6323,55,57,59,63,72,74,79,82,83,89,90,90,90,96,98,101,105,109,111,117,118,118,126,140,144,179,179,183,198,209
14,1500,37,292,128.1,66.2744,-7.48722,-2.91318,-11.002,-10.8596,-10.142,-10.2833,-10.1872,-10.0574,-7.76248,-16.194,2.52269,-7.51785,-7.93449,-5.88697,-7.13025,-6.37094,-6.21886,-5.74448,-11.0304,-4.39322,-24.9557,-25.8435,37,42,46,47,55,65,68,68,69,95,100,103,114,114,121,127,130,135,139,145,150,153,155,174,197,202,213,239,248,292
15,1600,26,373,113.367,71.1751,-7.30657,-2.95781,-12.9254,-12.0685,-11.8061,-10.7877,-10.5227,-11.8644,-6.64787,-17.6752,2.0567,-7.37972,-7.92775,-6.07837,-9.63644,-6.66413,-8.95257,-6.7134,-9.85463,-4.71239,-24.6737,-27.5644,26,48,50,50,51,54,54,65,67,70,75,75,77,91,96,96,106,109,118,131,134,135,136,151,160,177,198,211,217,373
16,1700,29,272,122.433,60.4082,-8.7391,-2.34156,-15.3136,-11.9883,-10.9852,-8.61373,-10.7565,-12.4124,-7.9686,-17.862,0.529192,-7.01381,-9.07269,-6.86975,-7.03602,-6.22698,-9.79784,-5.80588,-10.0864,-3.14097,-24.9293,-29.3893,29,43,50,56,58,67,72,77,87,87,94,98,107,108,111,112,112,112,123,126,150,155,165,175,187,192,202,215,231,272
