agents,meanScore,clow,chigh,Q1,Q2,Q3,means
100,3.09111,4.8136539400232419,2.2764815422692535,1.2166689999999998,2.0833300000000001,3.2266699999999995,"[0.166667, 0.233333, 0.266667, 0.466667, 0.6, 0.633333, 0.833333, 0.9, 1.1, 1.26667, 1.3, 1.53333, 1.66667, 1.9, 2.03333, 2.13333, 2.16667, 2.26667, 2.53333, 3.13333, 3.16667, 3.36667, 4.33333, 5.7, 5.7, 7.06667, 7.13333, 7.6, 9.4, 12.1333]"
200,11.793327,18.365245811223954,8.685323795479821,4.4966689999999998,7.5833300000000001,12.999999999999996,"[0.4, 1.0, 2.13333, 2.4, 2.6, 2.76667, 2.76667, 2.96667, 4.1, 4.66667, 4.66667, 5.3, 6.6, 6.7, 7.43333, 7.73333, 8.0, 9.16667, 10.2, 12.3333, 12.7, 13.7, 17.4, 17.4, 18.4, 25.2333, 25.6333, 28.8333, 39.2333, 51.3333]"
300,23.797772000000002,37.059256691471603,17.526127735710492,11.11331,22.0167,28.666679999999992,"[3.5, 3.83333, 3.9, 5.93333, 6.23333, 7.2, 8.46667, 9.8, 9.9, 11.6333, 13.0, 13.6667, 17.5333, 20.1333, 21.9667, 22.0667, 23.5, 25.0333, 25.0333, 26.7, 28.1667, 29.8333, 31.5333, 34.5333, 38.5333, 45.4333, 48.1667, 54.1, 62.0333, 62.5667]"
400,38.671118666666665,60.220885939001306,28.479765476987438,21.416699999999999,39.433300000000003,51.006700000000002,"[4.2, 7.63333, 7.93333, 10.9, 11.1333, 12.1, 14.3, 14.5333, 18.2667, 22.7667, 27.1, 28.6333, 36.1667, 37.9667, 38.9333, 39.9333, 42.4667, 43.6, 46.4, 47.7333, 50.4667, 52.2667, 55.5667, 57.7667, 61.3667, 61.3667, 65.4333, 71.8667, 83.0667, 88.2667]"
500,55.295565666666668,86.109429149128914,40.723020083240037,33.093319999999999,56.11665,71.229989999999987,"[6.56667, 10.4667, 20.3333, 23.0667, 24.2333, 24.8667, 26.9667, 27.5667, 31.3667, 33.8333, 34.7667, 44.4333, 48.9, 53.5333, 55.8333, 56.4, 61.4667, 65.9667, 69.1667, 69.4333, 69.9, 74.3333, 74.3667, 78.9333, 81.5333, 83.2, 89.9, 92.2333, 92.2333, 133.067]"
600,74.064434333333338,115.33738888109535,54.54555732356549,60.833320000000001,73.400000000000006,89.553299999999993,"[9.63333, 14.3, 41.6333, 43.8333, 45.5, 49.4333, 49.5333, 56.8, 59.6667, 61.3333, 65.8, 68.8333, 69.0333, 69.1667, 72.4333, 74.3667, 74.5333, 80.9667, 84.0, 84.8333, 88.8333, 91.2333, 92.0, 95.1, 96.6333, 107.467, 109.233, 112.2, 112.2, 141.4]"
700,87.859989999999996,136.82062011183768,64.705444173439687,69.773300000000006,83.199999999999989,98.47999999999999,"[22.0667, 46.5333, 47.5, 48.2333, 52.4, 62.9667, 64.3667, 66.1667, 68.9333, 70.1333, 71.5333, 72.3667, 74.4333, 75.4333, 82.5333, 83.8667, 85.6667, 90.2667, 93.8667, 95.7, 98.3, 98.9, 106.133, 106.567, 113.133, 120.5, 139.867, 157.767, 159.833, 159.833]"
800,101.66661333333333,158.321086548463,74.873481926673108,80.913299999999992,101.0335,114.2499,"[41.4667, 56.2, 61.6667, 63.8667, 65.4333, 70.9667, 74.0, 78.6667, 79.9333, 81.3333, 84.1333, 90.4, 96.1667, 98.4, 100.367, 101.7, 102.633, 103.333, 103.433, 109.833, 113.4, 116.233, 121.233, 122.767, 127.8, 150.1, 152.533, 158.9, 158.9, 164.2]"
900,116.42778,181.30802266019623,85.744503488192052,98.833310000000012,111.717,135.1199,"[67.3667, 70.1333, 74.5667, 74.7667, 75.6, 77.1667, 79.3667, 97.0333, 97.9, 99.2333, 99.3, 108.0, 109.333, 110.4, 110.567, 112.867, 118.167, 121.8, 122.433, 133.867, 134.6, 136.333, 138.0, 143.3, 149.4, 157.833, 165.967, 168.4, 168.4, 170.733]"
1000,122.92442,191.42496341381309,90.529024597686089,95.613309999999998,126.41650000000001,140.3931,"[66.9, 73.5333, 80.5333, 82.6667, 85.8667, 87.4, 88.6333, 88.8, 93.0, 96.7333, 106.067, 109.567, 111.633, 119.6, 124.7, 128.133, 128.733, 134.8, 136.133, 138.567, 139.233, 143.1, 146.933, 164.633, 164.9, 166.833, 167.267, 167.267, 172.467, 173.1]"
1100,137.28225333333333,213.78380570515731,101.10300694393439,111.94310000000002,138.48349999999999,150.86689999999999,"[79.4333, 88.7667, 89.7333, 96.4333, 99.2, 101.633, 105.6, 109.533, 110.1, 112.733, 117.267, 121.0, 136.6, 137.967, 137.967, 139.0, 139.2, 143.8, 146.267, 148.167, 150.167, 152.5, 158.133, 158.167, 170.467, 173.433, 176.733, 179.267, 209.367, 229.833]"
1200,152.22888999999998,237.05956634796709,112.11061990195641,121.56319999999999,160.18349999999998,171.773,"[82.0, 93.4667, 95.1333, 98.8667, 102.7, 110.1, 113.5, 114.4, 118.367, 122.933, 127.3, 131.5, 149.9, 150.1, 154.5, 165.867, 167.367, 168.2, 170.133, 170.133, 171.533, 172.333, 174.967, 180.2, 180.633, 194.067, 195.367, 204.333, 225.4, 261.567]"
