generation,agents,minScore,maxScore,meanScore,standardDeviation,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29
0,100,0,6,2.3,1.57896,3.70234,2.26244,-1.14256,2.34808,-3.90834,0.727071,-0.43524,-6.54916,-0.291482,-0.513805,-1.99672,-0.724911,-0.20849,-5.27173,-0.253457,1.06721,-7.75292,-3.91247,-1.35144,-5.77597,2.91957,-1.88237,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,5,5,6
1,200,1,91,35.7667,21.4214,5.23542,-1.29557,-4.18414,-3.69576,-1.43865,-0.112366,1.39455,-12.7471,-0.335482,0.142735,-1.18556,-0.287518,-3.68784,-6.86402,-1.02979,-0.459065,-8.83179,-5.46068,-3.7931,-6.89466,0.758095,-8.16184,1,6,12,13,14,17,18,18,21,22,25,28,29,29,30,34,36,36,38,44,44,45,49,53,56,58,63,69,74,91
2,300,20,141,57.9333,29.8085,5.10326,0.600623,-5.31269,-0.98325,1.66158,0.185987,1.43321,-15.2656,-3.36504,-0.0182708,0.380366,-1.11568,-1.40119,-5.24056,-1.22203,-3.62846,-8.69511,-8.66588,-4.43852,-10.9019,-13.9807,-13.5895,20,22,26,29,36,36,37,38,38,42,43,43,45,45,48,48,49,51,51,58,59,75,75,81,93,94,96,98,121,141
3,400,16,133,52.0333,22.964,1.48769,0.806698,-7.881,0.35653,0.288608,1.22402,0.612593,-17.402,-2.78378,1.08445,0.458272,-2.69836,-1.8027,-10.123,-1.06766,-3.9659,-8.21974,-13.6762,-3.01237,-10.7976,-23.3231,-20.3741,16,18,29,32,33,34,38,38,42,43,44,45,47,47,48,48,49,53,54,55,55,57,57,59,60,73,79,85,90,133
4,500,13,118,64.6333,25.0702,4.15662,1.48977,-6.9593,1.8161,-2.14576,0.836942,3.82849,-17.2639,-0.833974,0.294656,-1.46628,-5.31742,-1.6512,-10.051,-1.44524,-5.29606,-7.29671,-14.9055,-4.75157,-11.5175,-29.2342,-27.6924,13,29,29,30,37,42,43,52,54,57,57,62,63,65,67,68,68,69,69,70,71,73,75,78,79,83,85,116,117,118
5,600,21,178,89.9667,40.7664,4.95031,1.2998,-2.38588,0.494991,-3.40119,-0.754726,3.86592,-15.8379,-1.22731,0.352618,-3.14314,-3.41326,-4.29881,-10.2089,-3.7898,-4.33463,-8.62507,-12.3556,-3.51894,-12.6514,-30.5574,-30.3213,21,32,47,49,50,51,59,60,62,63,64,67,73,77,83,84,85,90,98,104,108,113,118,125,126,145,148,154,165,178
6,700,31,291,110.833,63.7717,3.95222,2.2579,-1.60462,1.32732,-3.45121,0.501839,4.19157,-15.4853,0.0345165,2.06837,-3.65319,-3.43867,-3.42936,-10.261,-4.77281,-4.66476,-10.0983,-14.1291,-4.02001,-10.5457,-31.2549,-34.5707,31,32,45,46,55,65,68,68,73,75,76,78,83,85,87,89,106,107,110,119,127,141,144,147,148,181,181,195,272,291
7,800,30,312,132.233,67.5659,5.7117,3.50455,-1.14171,2.00654,-4.32844,1.0617,1.50873,-13.6464,-0.107643,2.48127,-3.212,-3.64194,-4.07571,-10.3847,-5.3415,-3.68282,-9.85098,-12.3804,-3.07889,-10.2572,-28.5733,-35.7236,30,48,52,63,64,68,79,81,81,102,103,104,107,108,112,114,117,140,152,157,160,160,170,174,185,197,226,242,259,312
8,900,47,317,136.767,70.0181,7.44726,2.94804,-2.69797,1.1018,-5.12624,2.61005,-0.968158,-12.3436,-0.643557,3.06039,-2.02453,-3.07924,-4.73293,-12.0238,-4.61556,-5.4927,-8.63312,-13.6683,-4.28575,-10.6704,-27.4375,-37.8782,47,57,59,66,67,77,80,83,90,97,98,99,107,118,121,132,142,149,156,159,162,162,162,165,168,176,190,294,303,317
9,1000,47,340,166.3,80.4595,11.7537,2.47915,-3.64405,2.61294,-4.87258,1.11171,-0.157014,-8.48551,-2.49053,2.84738,-1.16419,-3.09136,-5.14997,-13.4382,-4.78703,-5.77119,-7.45428,-12.4167,-5.99107,-9.92642,-26.1449,-40.7145,47,54,70,78,80,94,96,102,110,112,126,127,134,138,145,145,149,183,188,190,216,217,233,245,247,257,257,278,331,340
10,1100,73,1077,268.367,203.431,9.32923,3.52867,-5.40939,0.912068,-3.088,-0.117834,-1.00489,-6.52012,-2.63402,2.44568,-0.231831,-4.87848,-6.3676,-11.7143,-5.12628,-6.32966,-7.6013,-11.8746,-7.00994,-11.9572,-24.8094,-42.3838,73,78,87,93,101,111,125,133,146,156,167,176,176,191,221,236,241,261,265,267,276,302,334,367,413,457,457,481,583,1077
11,1200,63,892,359.167,202.962,8.97733,5.51563,-5.11731,1.92061,-2.66859,-0.111597,-2.37955,-6.99595,-3.0618,1.59834,-2.05664,-5.62681,-6.26714,-12.9012,-4.29493,-7.13711,-7.1267,-11.475,-7.61969,-11.8515,-24.0356,-45.0444,63,77,113,158,176,190,225,225,226,244,262,263,269,282,319,320,335,354,368,415,424,465,474,493,520,532,564,730,797,892
12,1300,112,1761,585.767,442.728,3.452,5.29694,-5.65164,-0.111818,-4.42159,-1.67443,-1.42019,-6.64439,-1.81767,1.04925,-0.506143,-7.14285,-4.61303,-12.9336,-5.15272,-6.99581,-7.80658,-12.3339,-7.28597,-13.4989,-21.8973,-48.2288,112,117,126,134,148,179,219,222,279,310,316,383,418,441,443,479,489,541,625,627,678,713,740,844,1095,1132,1200,1227,1575,1761
