generation,agents,minScore,maxScore,meanScore,standardDeviation,stepSize,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,e0,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14,e15,e16,e17,e18,e19,e20,e21
0,13,0,4,0.333333,0.802296,0.941838,-0.401179,0.0827785,-0.820496,0.833173,-0.312764,-0.311853,-0.243144,-0.569474,0.386856,-0.292233,1.13358,-0.461469,-0.713723,0.636529,0.747413,0.216971,-0.132753,-0.0592023,0.188674,0.676891,-0.803917,0.010416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,4,1.07879,1.03418,1.016,1.0104,0.996681,0.991525,0.98945,0.98945,0.98945,0.98945,0.98945,0.98945,0.98945,0.98945,0.98945,0.98945,0.98945,0.98945,0.98945,0.98945,0.98945,0.98945
1,26,0,3,0.366667,0.76489,0.901635,-0.782424,0.278929,-0.538087,0.784239,-0.580458,-0.53573,-0.408717,-0.274501,0.240696,-1.22024,1.09145,-0.36595,-0.392708,0.838373,0.501423,0.302434,0.100069,0.411602,-0.533148,1.40006,-1.36798,0.135851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,3,1.10522,1.04734,1.03261,1.02524,1.00698,1.00008,0.994314,0.991963,0.989967,0.980959,0.98065,0.979752,0.979011,0.979011,0.979011,0.979011,0.979011,0.979011,0.979011,0.979011,0.979011,0.979011
2,39,0,2,0.4,0.621455,0.884164,-1.44341,0.339585,0.118595,1.50217,-1.19407,-0.57272,-0.390982,-0.564908,-0.119028,-0.783634,0.48974,-0.538814,-0.484723,1.5833,-0.0906698,-0.0454824,-0.181226,0.561904,-0.12944,0.25938,-2.31449,-0.196448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,1.14301,1.08504,1.03883,1.03198,1.01853,1.01017,0.998935,0.990783,0.986756,0.984824,0.980573,0.977852,0.974064,0.972624,0.970837,0.969255,0.969032,0.968969,0.968682,0.968682,0.968682,0.968682
3,52,0,12,2.33333,2.45418,0.887704,-1.82396,1.04127,-0.108896,1.68542,-1.88975,-0.634411,-0.236395,-0.23357,0.513251,-0.487585,0.673475,-0.982803,-0.468331,1.29388,-0.745465,1.16688,-0.655528,0.0808172,0.222176,0.599502,-2.02619,-1.50947,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,4,4,5,7,12,1.18546,1.11926,1.07525,1.02334,1.01603,1.00883,1.00181,1.00018,0.985762,0.980037,0.977926,0.971653,0.970225,0.968691,0.965828,0.963764,0.96326,0.960465,0.96032,0.959133,0.958821,0.958554
4,65,0,8,2.5,2.06364,0.872341,-1.50624,0.419139,0.035623,1.88206,-1.29821,-0.870063,-0.682393,-0.123378,0.530867,-0.89394,0.258684,-1.18087,-0.162928,1.75421,-0.557423,0.882872,-1.00262,-0.19162,-0.2823,0.937763,-2.11109,-1.83164,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,3,3,3,3,3,3,4,4,4,4,5,5,5,6,8,1.2215,1.11337,1.06887,1.03824,1.01532,1.01063,1.00163,0.994533,0.984479,0.976445,0.971863,0.969485,0.964697,0.9627,0.958303,0.957238,0.954311,0.954095,0.953543,0.950884,0.949877,0.949027
5,78,0,5,1.73333,1.77984,0.831852,-0.729218,0.61915,-0.14171,1.21965,-1.16967,-1.43076,-0.458759,-0.56827,0.528741,-0.777151,0.303077,-1.47809,0.158323,1.32041,-1.12039,1.24966,-0.39504,0.274864,-0.314468,0.685369,-1.52423,-1.64614,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,2,3,3,3,3,4,4,4,5,5,5,1.24076,1.11168,1.06597,1.03489,1.0277,1.00675,0.995068,0.991736,0.98844,0.97853,0.967321,0.963134,0.96272,0.958534,0.953681,0.94945,0.947514,0.944381,0.944228,0.943986,0.942619,0.940181
6,91,1,10,4.8,2.23453,0.827012,-1.25512,1.04651,-0.374693,1.43306,-1.36818,-1.86962,-0.547897,-0.174916,1.11587,-2.05273,0.474865,-2.02396,-0.032439,1.07317,-1.23616,1.3632,-0.0364124,0.755148,-0.918723,0.871877,-1.86795,-1.76871,1,1,2,2,2,3,3,3,3,4,4,4,4,4,4,5,5,6,6,6,6,6,6,7,7,7,7,8,8,10,1.28093,1.11027,1.06869,1.05942,1.02483,0.999361,0.997122,0.987462,0.982278,0.981838,0.964874,0.960495,0.955804,0.952283,0.947723,0.946496,0.944361,0.938785,0.936871,0.934829,0.933743,0.930831
7,104,0,13,4.1,3.58493,0.806091,-0.708542,0.545349,-0.418164,1.36943,-1.33211,-1.18724,-0.796225,-0.777497,0.771387,-1.91141,0.528425,-1.96533,-0.31528,0.195822,-1.55177,2.02853,-0.213881,0.333288,-0.153252,0.0996415,-1.73488,-1.93858,0,0,0,0,0,1,1,1,1,2,2,3,3,3,3,4,4,4,4,4,6,6,6,6,8,8,8,10,12,13,1.2937,1.12082,1.07332,1.05055,1.02349,0.997363,0.991538,0.987155,0.973583,0.97261,0.969081,0.962187,0.953092,0.949606,0.946415,0.94246,0.939286,0.93647,0.931162,0.929142,0.926052,0.923396
8,117,0,20,7.4,5.41772,0.84851,-1.54378,-0.119966,-0.71498,1.25085,-1.19032,-1.44996,-1.14054,-1.83796,0.188508,-2.00603,0.124154,-2.266,-0.688867,-0.169773,-2.23626,3.14714,-0.550386,1.00276,-0.479435,-0.683997,-1.97993,-2.82674,0,1,1,2,2,2,3,3,3,3,3,5,5,6,7,7,7,7,8,9,10,10,11,12,13,13,15,16,18,20,1.35534,1.17011,1.07863,1.04394,1.03176,1.00901,0.993745,0.991962,0.978365,0.9698,0.965213,0.958489,0.949865,0.946216,0.942075,0.938981,0.934824,0.92899,0.926822,0.922521,0.921154,0.914505
9,130,2,27,10.1,6.57241,0.88016,-1.64546,-0.593463,-1.52109,0.443802,-1.01724,-1.48808,-0.829586,-1.46727,-0.442247,-1.56885,-0.33124,-1.94657,-0.988629,0.093278,-2.00701,2.90981,-1.59992,1.1963,-1.16637,-0.70946,-1.97649,-3.02336,2,3,4,4,4,5,5,6,6,6,6,7,7,8,8,8,9,9,9,9,11,12,13,15,17,17,18,23,25,27,1.40212,1.19086,1.08123,1.06508,1.02872,1.02317,0.998372,0.988502,0.971747,0.963453,0.957757,0.955326,0.947861,0.943405,0.938975,0.933502,0.926754,0.921449,0.920301,0.916701,0.912686,0.907584
