agents,meanScore,clow,chigh,Q1,Q2,Q3,means
13,1.2955556766666667,2.0175136722750007,0.9541260533962943,0.20000000000000001,0.58333349999999995,1.1866680000000001,"[0.0333333, 0.0333333, 0.0666667, 0.1, 0.1, 0.1, 0.133333, 0.2, 0.2, 0.2, 0.233333, 0.3, 0.333333, 0.466667, 0.466667, 0.7, 0.766667, 0.8, 0.8, 0.966667, 1.16667, 1.23333, 1.5, 2.1, 2.76667, 2.93333, 4.16667, 4.5, 5.06667, 6.43333]"
26,4.0511129666666665,6.3086256695731446,2.9834861568382567,0.43333299999999997,1.2833350000000001,3.0266699999999993,"[0.0333333, 0.0666667, 0.133333, 0.133333, 0.2, 0.233333, 0.3, 0.366667, 0.433333, 0.433333, 0.5, 0.7, 0.766667, 1.13333, 1.16667, 1.4, 1.93333, 2.0, 2.53333, 2.83333, 2.96667, 3.16667, 3.3, 3.53333, 7.63333, 7.9, 10.1667, 10.8, 26.1, 28.6667]"
39,4.6222231200000001,7.1979911854494087,3.4040864339768566,0.53999999999999981,2.98333,4.8800009999999991,"[0.0, 0.0333333, 0.0333333, 0.1, 0.1, 0.166667, 0.2, 0.366667, 0.4, 0.6, 0.633333, 1.2, 1.3, 1.66667, 2.73333, 3.23333, 3.53333, 3.6, 3.93333, 4.36667, 4.8, 5.06667, 5.6, 5.73333, 6.73333, 7.8, 9.16667, 18.7, 21.7, 25.1667]"
52,8.4166652333333332,13.106914267784592,6.1985445523267275,0.76000009999999996,4.0166649999999997,7.0666679999999982,"[0.0, 0.0333333, 0.0666667, 0.266667, 0.333333, 0.4, 0.566667, 0.633333, 0.666667, 0.8, 1.46667, 2.33333, 2.43333, 3.5, 3.8, 4.23333, 4.33333, 4.96667, 5.3, 6.83333, 6.86667, 7.53333, 10.0333, 13.1, 18.9, 20.0, 28.0, 29.7, 37.6333, 37.7667]"
65,12.014442086666666,18.709578917496966,8.8481664033177587,2.2566679999999999,4.6500000000000004,12.653299999999998,"[0.0333333, 0.0333333, 0.733333, 0.733333, 1.16667, 1.43333, 1.43333, 1.96667, 2.23333, 2.26667, 2.5, 2.63333, 3.03333, 4.3, 4.63333, 4.66667, 5.7, 5.96667, 6.43333, 7.36667, 12.5333, 12.9333, 14.8333, 15.5333, 20.5667, 23.9667, 30.9, 37.6, 38.8333, 93.4667]"
78,15.183334333333333,23.644359837191224,11.181931526194919,3.8133319999999999,5.9166650000000001,10.969999999999995,"[0.0, 0.166667, 0.633333, 0.8, 1.13333, 1.63333, 1.73333, 3.4, 3.76667, 3.83333, 4.26667, 4.66667, 4.96667, 5.33333, 5.43333, 6.4, 6.46667, 8.1, 8.1, 8.9, 10.4, 12.3, 14.1667, 23.8667, 33.8, 38.0667, 41.0, 46.1, 61.4333, 94.6333]"
91,21.864433099999999,34.048550371287199,16.102299298417368,4.6100009999999996,6.5666650000000004,16.546689999999995,"[0.0, 0.4, 0.433333, 1.3, 2.73333, 3.03333, 3.43333, 3.86667, 4.16667, 4.8, 5.53333, 5.7, 5.83333, 5.96667, 6.13333, 7.0, 7.16667, 8.73333, 8.8, 9.36667, 15.9667, 17.9, 20.4667, 30.3333, 35.4333, 40.4333, 65.0, 82.3667, 109.5, 144.133]"
104,22.26888443333333,34.678385205456038,16.400161876934312,5.8899999999999988,9.5500000000000007,26.076679999999989,"[0.0333333, 0.0666667, 0.233333, 1.4, 1.86667, 4.03333, 4.1, 5.16667, 5.4, 6.1, 6.7, 6.7, 7.93333, 8.1, 9.46667, 9.63333, 10.7, 12.4667, 17.0333, 17.9333, 24.7667, 29.1333, 39.8, 40.4, 41.9, 41.9333, 49.2, 67.3333, 90.5333, 108.0]"
117,29.995560776666665,46.710809164283404,22.090556614969135,5.0166699999999995,10.416650000000001,35.846699999999984,"[0.0333333, 0.166667, 0.333333, 1.93333, 3.76667, 4.06667, 4.36667, 4.36667, 4.66667, 5.16667, 6.56667, 7.36667, 7.4, 9.0, 10.1333, 10.7, 10.8, 17.7667, 21.6, 32.9667, 34.4667, 39.0667, 47.9, 53.7333, 60.8667, 64.7, 70.6667, 111.367, 117.733, 136.2]"
130,34.266671656666666,53.362028213682542,25.236062625206685,8.0366699999999991,15.8667,51.469999999999992,"[0.0666667, 0.233333, 1.76667, 2.76667, 3.96667, 4.86667, 5.33333, 6.2, 6.56667, 8.66667, 10.1, 10.5333, 11.8667, 13.4, 15.7667, 15.9667, 16.1, 23.2667, 25.2, 37.5333, 50.9, 52.8, 54.9, 57.9667, 71.8667, 73.3667, 79.7333, 95.1, 107.767, 163.433]"
143,37.875542123333339,58.981968474916705,27.893854488261482,8.0700009999999995,16.166650000000001,44.533309999999986,"[0.0666667, 0.566667, 3.23333, 5.23333, 5.3, 6.76667, 6.93333, 7.26667, 7.76667, 8.2, 8.83333, 11.1, 13.3333, 14.5333, 15.9, 16.4333, 21.0333, 31.0, 36.0, 38.8667, 43.1333, 47.8, 48.1667, 64.7667, 73.0, 74.4667, 80.0333, 114.167, 133.933, 198.433]"
