agents,meanScore,clow,chigh,Q1,Q2,Q3,means
100,11.013345533333334,17.150613895774455,8.110897970394733,3.0699999999999994,5.5500000000000007,7.4366679999999992,"[0.0, 0.6, 0.733333, 0.933333, 1.16667, 1.36667, 1.43333, 1.86667, 2.3, 3.4, 4.06667, 4.23333, 4.46667, 4.73333, 4.76667, 6.33333, 6.4, 6.53333, 6.7, 7.23333, 7.26667, 7.83333, 8.9, 11.2, 12.2, 16.1667, 20.6333, 24.5, 38.7667, 113.667]"
200,27.105559666666668,42.21033353260966,19.962183899649187,8.1600000000000001,20.0,31.953319999999991,"[1.6, 3.16667, 3.96667, 4.06667, 4.3, 5.56667, 5.86667, 6.26667, 7.6, 8.4, 8.96667, 10.6333, 11.2667, 12.1667, 17.7667, 22.2333, 23.9333, 28.5667, 28.6, 31.2, 31.4333, 33.1667, 35.7667, 38.4667, 46.1667, 53.7667, 64.7333, 81.9333, 85.5, 96.1]"
300,50.422214333333336,78.520366693629924,37.133987548219743,28.006700000000002,43.333300000000001,63.159999999999982,"[4.4, 7.33333, 11.2333, 12.0, 15.6, 19.2, 20.4667, 26.6667, 27.8667, 28.0667, 30.5667, 32.0, 33.3, 38.6667, 41.8333, 44.8333, 45.8667, 54.1333, 57.9333, 60.5333, 61.9, 66.1, 71.2667, 72.1, 78.8667, 84.7333, 86.8667, 108.333, 134.167, 135.833]"
400,82.986656666666661,129.23158568697198,61.116424894714953,47.806700000000006,64.866649999999993,90.826679999999996,"[9.3, 27.6, 27.6333, 32.3667, 32.4333, 35.2667, 36.3, 41.0333, 47.6667, 47.8667, 49.5667, 52.0333, 52.0333, 56.3667, 60.3, 69.4333, 72.1667, 78.0333, 78.7, 81.8667, 90.5667, 91.4333, 102.833, 118.3, 137.567, 153.3, 161.7, 183.6, 203.433, 258.9]"
500,141.67449999999999,220.62366435546542,104.33772472031902,74.013299999999987,106.15000000000001,133.23689999999999,"[10.8, 38.4667, 39.1667, 42.2333, 43.5667, 50.8667, 54.1333, 62.3333, 64.6333, 78.0333, 79.0667, 83.6667, 91.9333, 101.0, 103.233, 109.067, 116.833, 121.4, 122.467, 130.467, 133.167, 133.4, 154.4, 205.6, 215.767, 255.467, 286.467, 416.7, 442.0, 463.9]"
600,192.36779333333334,299.56617082943563,141.67135134317436,85.746690000000001,128.6335,176.20690000000002,"[22.1667, 35.1333, 51.2667, 51.2667, 55.1, 62.0667, 69.4333, 74.0667, 75.9, 89.9667, 105.467, 113.7, 123.133, 123.2, 127.967, 129.3, 145.9, 154.8, 160.5, 171.3, 176.167, 176.3, 245.233, 248.333, 314.2, 336.867, 417.167, 433.033, 550.8, 931.3]"
700,227.22780999999998,353.8521899542082,167.34438934727814,118.62679999999997,161.55000000000001,214.24989999999991,"[34.1333, 47.4, 65.6, 66.3333, 67.0667, 73.6333, 82.7667, 88.1, 110.833, 121.967, 122.667, 145.0, 145.467, 156.133, 158.767, 164.333, 178.167, 182.467, 196.1, 202.8, 208.6, 227.433, 249.7, 290.4, 365.333, 395.0, 409.367, 665.6, 770.8, 824.867]"
800,308.05559999999997,479.72186453611278,226.87089343073529,145.6968,185.31700000000001,324.86699999999996,"[66.2333, 68.1, 72.8, 74.8, 83.7, 87.4667, 93.4, 96.1, 132.233, 151.467, 152.767, 153.433, 153.533, 172.267, 181.367, 189.267, 210.0, 265.933, 268.267, 276.4, 318.867, 338.867, 342.4, 419.333, 454.533, 474.1, 742.467, 858.967, 904.4, 1438.2]"
900,413.40420666666671,643.77676247146906,304.45601935004925,156.64699999999999,255.95000000000002,471.09699999999987,"[66.0, 85.0333, 87.9333, 94.1333, 99.2333, 100.133, 121.433, 124.967, 136.767, 165.167, 172.3, 175.267, 194.167, 242.633, 255.8, 256.1, 268.4, 323.233, 385.067, 400.533, 456.367, 505.467, 534.633, 612.633, 632.333, 648.433, 817.333, 847.167, 1701.43, 1892.03]"
1000,587.66098999999997,915.13942884965536,432.78932061514348,197.0,327.68349999999998,606.38679999999977,"[75.8667, 78.9, 104.733, 104.733, 112.933, 157.633, 165.633, 166.3, 192.8, 198.8, 214.133, 261.033, 279.767, 317.367, 320.9, 334.467, 465.9, 496.667, 503.767, 572.333, 582.967, 661.033, 823.7, 882.367, 979.167, 1040.7, 1088.1, 1338.13, 2093.4, 3015.6]"
1100,861.28746666666666,1341.246286095492,634.30451211846605,293.077,548.25,700.15989999999954,"[96.8, 112.067, 128.8, 141.167, 156.5, 159.567, 181.267, 251.233, 268.367, 303.667, 340.5, 376.5, 387.067, 410.7, 521.9, 574.6, 578.567, 584.833, 593.133, 625.533, 657.4, 799.933, 939.633, 1021.03, 1058.73, 1211.93, 1289.9, 3643.67, 3648.4, 4775.23]"
1200,1059.9044666666666,1650.5440802877388,780.57815960460914,363.06319999999999,695.36650000000009,989.57410000000004,"[107.333, 140.467, 161.2, 174.133, 204.7, 224.567, 306.8, 357.267, 359.167, 364.733, 373.7, 389.7, 546.5, 549.767, 615.033, 775.7, 781.7, 854.767, 932.167, 933.2, 983.833, 1002.97, 1022.83, 1027.3, 1096.6, 1262.33, 1849.07, 2873.43, 5609.6, 5916.57]"
1300,1770.6087,2757.2935110670369,1303.9840135522052,556.52689999999996,817.91699999999992,1465.5909999999985,"[157.933, 180.5, 181.767, 190.867, 227.033, 372.9, 446.0, 452.233, 488.3, 585.767, 709.467, 709.6, 735.233, 788.467, 797.967, 837.867, 883.067, 953.033, 1131.23, 1267.03, 1309.9, 1828.87, 1990.13, 2240.17, 2358.8, 2547.5, 3934.73, 4862.47, 5264.93, 14684.5]"
1400,2521.3457666666663,3926.3843680347572,1856.8724825371423,611.11999999999989,917.84999999999991,1626.97,"[145.367, 217.233, 236.133, 285.067, 339.233, 407.967, 432.967, 443.833, 610.7, 611.3, 625.6, 697.433, 721.233, 873.667, 902.733, 932.967, 1039.57, 1083.73, 1454.27, 1488.4, 1624.87, 1631.87, 1664.77, 2406.83, 5387.43, 5607.47, 7305.8, 8533.03, 10386.8, 17542.1]"
1500,3038.5779333333335,4731.847990158124,2237.7937310480661,696.15679999999998,1333.0,2160.2089999999989,"[176.633, 257.267, 281.367, 327.967, 475.0, 479.5, 484.6, 578.867, 629.633, 724.667, 765.567, 878.767, 949.033, 1153.0, 1271.83, 1394.17, 1702.03, 1733.37, 1883.2, 1907.97, 2056.7, 2401.73, 2830.87, 3787.77, 4701.37, 6311.13, 7878.63, 10185.2, 13835.9, 19113.6]"
